time  (s)	size (kb)	%mem	%cpu
60	11806920	1	35.7
120	11926984	1.2	46.2
180	12029368	1.3	53.1
241	12176536	1.4	58.3
301	12176536	1.5	61.1
361	12176536	1.5	61.8
421	12176672	1.5	62.7
481	12176940	1.5	62.9
541	12177160	1.5	63.3
601	12187964	1.5	63.7
661	12188012	1.5	65
721	12188324	1.5	66.3
781	12188324	1.5	67.4
842	12188324	1.5	68.4
902	12188324	1.5	69.5
962	12188324	1.5	70.6
1022	12188324	1.5	71.6
1082	12188324	1.5	72.4
1143	12189028	1.5	73.1
1203	12189028	1.5	73.6
1263	12189028	1.5	74.2
1323	12189028	1.5	74.8
1383	12189028	1.5	75.3
1444	12189076	1.5	75.8
1504	12189076	1.5	76.3
1564	12189076	1.5	76.8
1624	12189076	1.5	77.2
1685	12189076	1.5	77.6
1745	12237044	1.5	77.4
1805	12312416	1.5	77.8
1866	12312416	1.5	77.8
1926	12312416	1.5	77.9
1986	12312416	1.5	78.1
2046	12312416	1.5	78.2
2106	12312416	1.5	78.3
2166	12312416	1.5	78.6
2226	12312416	1.5	78.8
2286	12312416	1.5	79
2346	12312728	1.5	79.2
2407	12312728	1.5	79.4
2467	13259608	1.6	79.4
2527	13259608	1.6	78.7
2587	13315916	1.6	78.7
2647	13334876	1.6	78.5
2707	13507764	1.6	78.7
2767	13521404	1.6	79.1
2827	13538256	1.6	79.4
2888	13596992	1.6	79.4
2948	13596992	1.6	79.2
3008	13596992	1.6	79
3068	13596992	1.6	78.9
3128	13596992	1.6	78.8
3188	13596992	1.6	78.7
3248	13596992	1.6	78.6
3308	13596992	1.6	78.4
3368	13596992	1.6	78.3
3429	13596992	1.6	78.6
3489	13596992	1.6	78.7
3549	13597144	1.6	79
3609	13597144	1.6	79.3
3670	13597144	1.6	79.5
3730	13597144	1.6	79.8
3790	13597144	1.6	80
3850	13597144	1.6	80.2
3911	13597144	1.6	80.3
3971	13597144	1.6	80.5
4031	13597144	1.6	80.6
4092	13597144	1.6	80.8
4152	13597144	1.6	81
4212	13597144	1.6	81.2
4273	13597144	1.6	81.4
4333	13597144	1.6	81.5
4393	13598132	1.6	81.5
4453	13598132	1.6	81.6
4513	13598132	1.6	81.6
4574	13598132	1.6	81.7
4634	13598132	1.6	81.8
4694	13598132	1.6	81.9
4754	13598132	1.6	82
4814	13598132	1.6	82.1
4874	13598132	1.6	82.2
4935	13598132	1.6	82.3
4995	13601576	1.6	82.3
5055	13601576	1.6	81.9
5115	13601888	1.6	81.9
5175	13601888	1.6	81.9
5235	13601888	1.6	82.1
5296	13601888	1.6	82.3
5356	13601888	1.6	82.2
5416	13601888	1.6	82.1
5476	13601888	1.6	81.9
5536	13601888	1.6	81.8
5596	13601888	1.6	81.7
5656	13601888	1.6	81.6
5717	13601888	1.6	81.4
5777	13601888	1.6	81.5
5837	13601888	1.6	81.7
5897	13601888	1.6	81.8
5958	13601888	1.6	81.9
6018	13601888	1.6	82.1
6078	13601888	1.6	82.3
6139	13601888	1.6	82.4
6199	13601888	1.6	82.5
6259	13601888	1.6	82.6
6320	13601888	1.6	82.8
6380	13601888	1.6	82.9
6440	13601888	1.6	83
6501	13601888	1.6	83.2
6561	13601888	1.6	83.3
6621	13601888	1.6	83.4
6682	13601888	1.6	83.4
6742	13603980	1.6	83.5
6802	13603980	1.6	83.5
6862	13603980	1.6	83.3
6923	13603980	1.6	83.2
6983	13603980	1.6	83.1
7043	13603980	1.6	82.9
7103	13603980	1.6	82.8
7163	13606724	1.6	82.7
7223	13606724	1.6	82.6
7283	13606724	1.6	82.5
7343	13606724	1.6	82.5
7403	13606724	1.6	82.4
7463	13606724	1.6	82.4
7523	13606724	1.6	82.3
7584	13606724	1.6	82.3
7644	13606724	1.6	82.3
7704	13606724	1.7	82.2
7764	13607448	1.7	82.1
7824	13622168	1.7	82
7884	13622168	1.7	81.7
7944	13622168	1.7	81.3
8004	13623416	1.7	81.2
8064	13623416	1.7	81.1
8124	13623416	1.7	81
8184	13623416	1.7	81.1
8245	13623416	1.7	81.1
8305	13623416	1.7	81.2
8365	13623416	1.7	81.3
8425	13623416	1.7	81.2
8485	13623416	1.7	81.2
8545	13623416	1.7	81.1
8605	13623416	1.7	81.1
8665	13623416	1.7	81.1
8725	13623416	1.7	81
8785	13623416	1.7	81
8846	13623416	1.7	81
8906	13623416	1.7	81
8966	13623416	1.7	80.9
9026	13623416	1.7	80.9
9086	13623416	1.7	80.9
9146	13623416	1.7	80.8
9206	13623416	1.7	80.7
9266	13623416	1.7	80.7
9327	13623416	1.7	80.7
9387	13623416	1.7	80.7
9447	13623416	1.7	80.8
9507	13623416	1.7	80.8
9567	13623416	1.7	80.9
9627	13623416	1.7	80.9
9688	13623416	1.7	81
9748	13623416	1.7	81
9808	13623416	1.7	81.1
9868	13623416	1.7	81.1
9929	13623416	1.7	81.1
9989	13623416	1.7	81.2
10049	13623416	1.7	81.2
10109	13623416	1.7	81.3
10170	13623416	1.7	81.3
10230	13623416	1.7	81.4
10290	13623416	1.7	81.4
10350	13623416	1.7	81.4
10410	13623416	1.7	81.4
10470	13623416	1.7	81.4
10531	13623416	1.7	81.4
10591	13623416	1.7	81.5
10651	13623416	1.7	81.5
10711	13623416	1.7	81.5
10771	13623416	1.7	81.5
10831	13623416	1.7	81.5
10892	13623416	1.7	81.5
10952	13623416	1.7	81.6
11012	13623416	1.7	81.6
11072	13623416	1.7	81.6
11132	13624564	1.7	81.6
11192	13624564	1.7	81.4
11253	13624564	1.7	81.4
11313	13624564	1.7	81.4
11373	13624564	1.7	81.5
11433	13624564	1.7	81.6
11493	13624564	1.7	81.6
11553	13624564	1.7	81.5
11613	13624564	1.7	81.5
11673	13624564	1.7	81.5
11733	13624564	1.7	81.4
11793	13624564	1.7	81.3
11853	13624564	1.7	81.2
11914	13624564	1.7	81.2
11974	13624564	1.7	81.1
12034	13624564	1.7	81.1
12094	13624564	1.7	81.2
12154	13624564	1.7	81.2
12215	13624564	1.7	81.3
12275	13624564	1.7	81.4
12335	13624564	1.7	81.4
12395	13624564	1.7	81.5
12456	13624564	1.7	81.6
12516	13624564	1.7	81.6
12576	13624564	1.7	81.7
12636	13624564	1.7	81.8
12697	13624564	1.7	81.8
12757	13624564	1.7	81.9
12817	13624564	1.7	82
12877	13624564	1.7	82
12938	13624564	1.7	82.1
12998	13624564	1.7	82.1
13058	13624564	1.7	82.1
13118	13624564	1.7	82.2
13179	13624564	1.7	82.2
13239	13624564	1.7	82.2
13299	13624564	1.7	82.2
13359	13624564	1.7	82.3
13419	13624564	1.7	82.3
13480	13624564	1.7	82.4
13540	13624564	1.7	82.4
13600	13624564	1.7	82.4
13660	13624760	1.7	82.3
13720	13624760	1.7	82.3
13780	13624760	1.7	82.3
13840	13624760	1.7	82.4
13901	13624760	1.7	82.4
13961	13624760	1.7	82.5
14021	13624760	1.7	82.4
14081	13624760	1.7	82.4
14141	13624760	1.7	82.3
14201	13624760	1.7	82.3
14261	13624760	1.7	82.3
14322	13624760	1.7	82.2
14382	13624760	1.7	82.2
14442	13624760	1.7	82.3
14502	13624760	1.7	82.4
14563	13624760	1.7	82.4
14623	13624760	1.7	82.5
14683	13624760	1.7	82.5
14744	13624760	1.7	82.6
14804	13624760	1.7	82.6
14864	13624760	1.7	82.7
14925	13624760	1.7	82.8
14985	13624760	1.7	82.8
15045	13624760	1.7	82.9
15106	13624760	1.7	82.9
15166	13624760	1.7	83
15226	13624760	1.7	83
15287	13624760	1.7	83
15347	13624760	1.7	83
15407	13624760	1.7	83
15468	13624760	1.7	83.1
15528	13624760	1.7	83.1
15588	13624760	1.7	83.1
15648	13624760	1.7	83.2
15708	13624760	1.7	83.2
15769	13624760	1.7	83.3
15829	13624760	1.7	83.3
15889	13625332	1.7	83.3
15949	13625332	1.7	83.2
16009	13625332	1.7	83.2
16070	13625332	1.7	83.2
16130	13625332	1.7	83.3
16190	13625332	1.7	83.3
16250	13627684	1.7	83.3
16310	13627684	1.7	83.3
16370	13627684	1.7	83.2
16431	13627684	1.7	83.2
16491	13627684	1.7	83.1
16551	13627684	1.7	83.1
16611	13627684	1.7	83.1
16671	13627684	1.7	83.1
16731	13627684	1.7	83.2
16792	13627684	1.7	83.2
16852	13627684	1.7	83.3
16912	13627684	1.7	83.3
16973	13627684	1.7	83.4
17033	13627684	1.7	83.4
17093	13627684	1.7	83.5
17154	13627684	1.7	83.5
17214	13627684	1.7	83.6
17276	13627684	1.7	83.6
17336	13627684	1.7	83.7
17396	13627684	1.7	83.7
17456	13627684	1.7	83.7
17517	13627684	1.7	83.7
17577	13627684	1.7	83.8
17637	13627684	1.7	83.8
17697	13627684	1.7	83.8
17758	13627684	1.7	83.8
17818	13627684	1.7	83.9
17878	13627684	1.7	83.9
17938	13627684	1.7	83.9
17998	13627684	1.7	84
18059	13627684	1.7	84
18119	13627748	1.7	84
18179	13627748	1.7	83.9
18239	13627748	1.7	83.9
18299	13627748	1.7	84
18360	13627748	1.7	84
18420	13627748	1.7	84.1
18480	13627748	1.7	84
18540	13627748	1.7	84
18601	13627748	1.7	84
18661	13627748	1.7	83.9
18721	13627748	1.7	83.9
18781	13627748	1.7	83.9
18841	13627748	1.7	83.9
18902	13627748	1.7	84
18962	13627748	1.7	84
19022	13627748	1.7	84.1
19083	13627748	1.7	84.1
19143	13627748	1.7	84.2
19203	13627748	1.7	84.2
19264	13627748	1.7	84.2
19324	13627748	1.7	84.3
19384	13627748	1.7	84.3
19445	13627748	1.7	84.4
19505	13627748	1.7	84.4
19566	13627748	1.7	84.4
19626	13627748	1.7	84.5
19686	13627748	1.7	84.5
19746	13627748	1.7	84.5
19807	13627748	1.7	84.5
19867	13627748	1.7	84.6
19927	13627748	1.7	84.6
19987	13627748	1.7	84.6
20048	13627748	1.7	84.6
20108	13627748	1.7	84.7
20168	13627748	1.7	84.7
20228	13627748	1.7	84.7
20288	13627924	1.7	84.7
20348	13628236	1.7	84.7
20409	13628236	1.7	84.7
20469	13628236	1.7	84.7
20529	13628236	1.7	84.8
20590	13628236	1.7	84.7
20650	13628236	1.7	84.7
20710	13628236	1.7	84.7
20770	13628236	1.7	84.6
20830	13628236	1.7	84.6
20891	13628236	1.7	84.6
20951	13628236	1.7	84.6
21011	13628236	1.7	84.7
21072	13628236	1.7	84.7
21132	13628236	1.7	84.7
21192	13628236	1.7	84.8
21253	13628236	1.7	84.8
21313	13628236	1.7	84.8
21373	13628236	1.7	84.9
21434	13628236	1.7	84.9
21494	13628236	1.7	84.9
21554	13628236	1.7	85
21615	13628236	1.7	85
21675	13628236	1.7	85.1
21735	13628236	1.7	85.1
21796	13628236	1.7	85.1
21856	13640044	1.7	85.1
21916	13640044	1.7	85.1
21976	13640044	1.7	85.2
22037	13640044	1.7	85.2
22097	13640044	1.7	85.2
22157	13640044	1.7	85.2
22218	13640044	1.7	85.3
22278	13640044	1.7	85.3
22338	13640044	1.7	85.3
22398	13640044	1.7	85.3
22458	13640980	1.7	85.3
22519	13640980	1.7	85.3
22579	13640980	1.7	85.3
22640	13640980	1.7	85.3
22700	13640980	1.7	85.3
22760	13640980	1.7	85.3
22820	13640980	1.7	85.3
22880	13640980	1.7	85.2
22940	13640980	1.7	85.2
23001	13640980	1.7	85.2
23061	13640980	1.7	85.2
23121	13640980	1.7	85.3
23182	13640980	1.7	85.3
23242	13640980	1.7	85.3
23302	13640980	1.7	85.4
23363	13640980	1.7	85.4
23423	13640980	1.7	85.4
23483	13640980	1.7	85.4
23544	13640980	1.7	85.5
23604	13640980	1.7	85.5
23664	13640980	1.7	85.5
23725	13640980	1.7	85.6
23785	13640980	1.7	85.6
23845	13640980	1.7	85.6
23905	13640980	1.7	85.6
23965	13640980	1.7	85.6
24026	13640980	1.7	85.7
24086	13640980	1.7	85.7
24146	13640980	1.7	85.7
24206	13640980	1.7	85.7
24267	13640980	1.7	85.8
24327	13640980	1.7	85.8
24387	13640980	1.7	85.8
24447	13641704	1.7	85.8
24507	13641704	1.7	85.8
24567	13641704	1.7	85.7
24628	13641704	1.7	85.8
24688	13641704	1.7	85.8
