time  (s)	size (kb)	%mem	%cpu
60	11862856	1	58.7
120	11974484	1.1	65.9
180	11974916	1.2	70.7
240	12075736	1.3	74.3
300	12108532	1.4	77.2
360	12203708	1.4	79.3
420	12255828	1.5	81.1
481	12256628	1.5	82.1
541	12256672	1.5	82.7
601	12268664	1.5	83.2
661	12269392	1.5	83.9
721	12269392	1.5	84.5
781	12269392	1.5	85.1
841	12269436	1.5	85.7
902	12269436	1.5	86
962	12269436	1.5	86.3
1022	12269456	1.5	86.7
1082	12269508	1.5	86.8
1142	12269508	1.5	87
1202	12269600	1.5	87.2
1263	12269648	1.5	87.4
1323	12269648	1.5	87.7
1383	12269748	1.5	87.9
1443	12269748	1.5	88.2
1503	12269748	1.5	88.3
1563	12269800	1.5	88.5
1624	12269800	1.5	88.6
1684	12269800	1.5	88.7
1744	12346564	1.5	88.8
1804	13044720	1.6	89.1
1865	13062816	1.6	88.4
1925	13088060	1.6	88.2
1985	13088060	1.6	88.3
2045	13088060	1.6	88.3
2105	13088060	1.6	88.4
2165	13088060	1.6	88.4
2225	13088060	1.6	88.5
2286	13088060	1.6	88.7
2346	13088060	1.6	88.5
2406	13088060	1.6	88.5
2466	13088060	1.6	88.3
2526	13088060	1.6	88.1
2586	13088060	1.6	88.1
2646	13088060	1.6	88
2706	13088060	1.6	88
2766	13088060	1.6	88
2827	13169196	1.6	87.8
2887	13177044	1.6	87.8
2947	13177140	1.6	87.8
3007	13203248	1.6	87.8
3067	13289484	1.6	87.9
3128	13309036	1.6	88
3189	13309036	1.6	87.9
3249	13309036	1.6	87.8
3309	13309036	1.6	87.7
3369	13309036	1.6	87.7
3429	13309036	1.6	87.7
3489	13309036	1.6	87.6
3549	13309036	1.6	87.7
3609	13309036	1.6	87.7
3669	13309036	1.6	87.7
3730	13309036	1.6	87.8
3790	13309036	1.6	87.8
3850	13309036	1.6	87.8
3910	13309036	1.6	87.8
3970	13309036	1.6	87.9
4030	13309036	1.6	87.8
4090	13309036	1.6	87.9
4150	13309036	1.6	87.9
4210	13309036	1.6	88
4271	13309036	1.6	88
4331	13309036	1.6	88.1
4391	13309036	1.6	88.1
4451	13309036	1.6	88.2
4511	13309036	1.6	88.2
4571	13309036	1.6	88.3
4631	13309036	1.6	88.3
4692	13309036	1.6	88.4
4752	13309036	1.6	88.4
4812	13309036	1.6	88.5
4872	13309036	1.6	88.5
4932	13309036	1.6	88.6
4992	13309036	1.6	88.7
5052	13309036	1.6	88.7
5113	13309036	1.6	88.8
5173	13309036	1.6	88.8
5233	13309036	1.6	88.9
5293	13309036	1.6	88.9
5353	13310852	1.6	89
5414	13312472	1.6	89
5474	13312472	1.6	88.9
5534	13312476	1.6	88.9
5594	13312476	1.6	89
5654	13312476	1.6	89
5714	13312476	1.6	89.1
5774	13312476	1.6	89.2
5835	13312476	1.6	89.2
5895	13312476	1.6	89.3
5955	13312476	1.6	89.3
6015	13312476	1.6	89.4
6075	13312476	1.6	89.4
6135	13312476	1.6	89.5
6196	13312476	1.6	89.5
6256	13312476	1.6	89.6
6316	13312476	1.6	89.6
6376	13312476	1.6	89.6
6436	13330084	1.6	89.7
6496	13337868	1.6	89.8
6557	13376488	1.6	89.8
6617	13379004	1.6	89.9
6677	13379004	1.6	89.9
6738	13379004	1.6	90
6798	13379004	1.6	90.1
6858	13379004	1.6	90.1
6919	13379004	1.6	90.2
6979	13379004	1.6	90.2
7039	13379004	1.6	90.3
7100	13379004	1.6	90.3
7160	13379004	1.6	90.4
7220	13379004	1.6	90.5
7281	13379004	1.6	90.5
7341	13379004	1.6	90.6
7401	13379004	1.6	90.6
7462	13379004	1.6	90.7
7522	13379004	1.6	90.7
7582	13379004	1.6	90.7
7643	13379004	1.6	90.8
7703	13379004	1.6	90.8
7763	13379004	1.6	90.9
7824	13379004	1.6	90.9
7884	13379004	1.6	90.9
7944	13381396	1.6	91
8004	13382644	1.6	90.9
8065	13382896	1.6	90.9
8125	13382896	1.6	90.9
8185	13382896	1.6	91
8245	13382896	1.6	91
8305	13382896	1.6	91
8366	13382896	1.6	91.1
8426	13382896	1.6	91.1
8486	13382896	1.6	91.2
8546	13382896	1.6	91.2
8607	13382896	1.6	91.3
8667	13382896	1.6	91.3
8728	13382896	1.6	91.3
8788	13382896	1.6	91.3
8849	13383600	1.6	91.4
8909	13383600	1.6	91.4
8969	13383600	1.6	91.4
9029	13383600	1.6	91.4
9090	13383600	1.6	91.5
9150	13383600	1.6	91.5
9210	13383600	1.6	91.5
9270	13383600	1.6	91.6
9330	13383600	1.6	91.6
9391	13383600	1.6	91.7
9451	13383600	1.6	91.7
9511	13383600	1.6	91.7
9571	13383600	1.6	91.7
9631	13383600	1.6	91.8
9691	13383600	1.6	91.8
9752	13383600	1.6	91.8
9812	13383600	1.6	91.9
9872	13383600	1.6	91.9
9932	13383600	1.6	91.9
9993	13383600	1.6	92
10053	13383600	1.6	92
10113	13383600	1.6	92
10173	13384192	1.6	92
10233	13384192	1.6	92
10294	13384196	1.6	92
10354	13384196	1.6	92
10414	13384196	1.6	92.1
10474	13384196	1.6	92.1
10535	13384196	1.6	92.1
10595	13384196	1.6	92.2
10655	13384196	1.6	92.2
10715	13384196	1.6	92.2
10775	13384196	1.6	92.2
10835	13384196	1.6	92.3
10896	13384196	1.6	92.3
10956	13384196	1.6	92.3
11016	13384196	1.6	92.3
11076	13384196	1.6	92.4
11137	13384196	1.6	92.4
11197	13384196	1.6	92.4
11257	13384196	1.6	92.4
11318	13384196	1.6	92.5
11378	13384196	1.6	92.5
11438	13384196	1.6	92.5
11498	13384196	1.6	92.5
11559	13384196	1.6	92.6
11619	13384196	1.6	92.6
11679	13384196	1.6	92.6
11740	13384196	1.6	92.6
11800	13384196	1.6	92.6
11860	13384196	1.6	92.7
11921	13384196	1.6	92.7
11981	13384196	1.6	92.7
12041	13384196	1.6	92.7
12102	13384196	1.6	92.7
12162	13384196	1.6	92.7
12222	13384196	1.6	92.7
12282	13384196	1.6	92.8
12342	13384196	1.6	92.8
12403	13384196	1.6	92.8
12463	13384280	1.6	92.8
12523	13384280	1.6	92.8
12583	13384280	1.6	92.8
12644	13384280	1.6	92.8
12704	13384280	1.6	92.8
12764	13384280	1.6	92.9
12824	13384280	1.6	92.9
12885	13384280	1.6	92.9
12945	13384280	1.6	92.9
13005	13384280	1.6	93
13065	13384280	1.6	93
13125	13384280	1.6	93
13185	13384284	1.6	93
13246	13384284	1.6	93
13306	13384284	1.6	93
13366	13384284	1.6	93.1
13426	13384284	1.6	93.1
13487	13384284	1.6	93.1
13547	13384284	1.6	93.1
13607	13384284	1.6	93.1
13668	13384284	1.6	93.2
13728	13384284	1.6	93.2
13788	13384284	1.6	93.2
13849	13384284	1.6	93.2
13909	13384284	1.6	93.2
13969	13384284	1.6	93.3
14030	13384284	1.6	93.3
14090	13397340	1.6	93.3
14150	13400748	1.6	93.3
14210	13400748	1.6	93.3
14271	13400748	1.6	93.3
14331	13400748	1.6	93.3
14392	13400748	1.6	93.3
14452	13400748	1.6	93.3
14512	13400748	1.6	93.3
14572	13400748	1.6	93.3
14633	13400748	1.6	93.3
14693	13400748	1.6	93.3
14753	13401996	1.6	93.3
14814	13403248	1.6	93.2
14874	13403248	1.6	93.2
14934	13403248	1.6	93.2
14994	13403248	1.6	93.2
15054	13403248	1.6	93.2
15114	13403248	1.6	93.2
15174	13403248	1.6	93.2
15235	13403248	1.6	93.2
15295	13403248	1.6	93.2
15355	13403248	1.6	93.2
15416	13403248	1.6	93.2
15476	13403248	1.6	93.3
15536	13403248	1.6	93.3
15596	13403248	1.6	93.3
15657	13403248	1.6	93.3
15717	13403248	1.6	93.3
15778	13403248	1.6	93.3
15838	13403248	1.6	93.3
15898	13403248	1.6	93.4
15958	13403248	1.6	93.4
16019	13403248	1.6	93.4
16079	13403248	1.6	93.4
16139	13403248	1.6	93.4
16199	13403248	1.6	93.4
16260	13403248	1.6	93.4
16320	13403248	1.6	93.4
16380	13403248	1.6	93.5
16441	13403248	1.6	93.5
16501	13403248	1.6	93.5
16561	13403248	1.6	93.5
16622	13403248	1.6	93.5
16682	13403248	1.6	93.5
16742	13403248	1.6	93.5
16802	13403248	1.6	93.5
16862	13403248	1.6	93.5
16923	13403248	1.6	93.5
16983	13403252	1.6	93.5
17043	13403252	1.6	93.5
17104	13403252	1.6	93.5
17164	13403252	1.6	93.5
17224	13403252	1.6	93.6
17285	13403252	1.6	93.6
17345	13403252	1.6	93.6
17405	13403252	1.6	93.6
17465	13403252	1.6	93.6
17526	13403252	1.6	93.6
17586	13403252	1.6	93.6
17646	13403252	1.6	93.6
17707	13403252	1.6	93.6
17767	13403252	1.6	93.7
17827	13403252	1.6	93.7
17888	13403252	1.6	93.7
17948	13403252	1.6	93.7
18008	13403252	1.6	93.7
18068	13403252	1.6	93.7
18129	13403252	1.6	93.7
