Result of /data/leuven/370/vsc37064/new_queries_named_graph_openml/query_2.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
dataset                                                                           task
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145853
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/145976
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/116
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/120
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/121
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/122
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/123
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/124
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/125
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/126
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/127
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/128
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/129
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/130
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/131
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/158
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/159
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/160
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/161
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/162
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/163
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/164
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/165
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/166
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/167
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/168
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/169
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/170
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1702
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/171
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1710
http://w3id.org/mlsea/openml/dataset/10                                                                                  http://w3id.org/mlsea/openml/task/1711
