Result of /data/leuven/370/vsc37064/new_queries_named_graph_pwc/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

Adapting Deep Learning for Sentiment Classification of Code-Switched Informal Short Text                                                                                  Asim Karim                                                                                  implemenation of Adapting Deep Learning for Sentiment Classification of Code-Switched Informal Short Text
Benchmarking Graph Neural Networks                                                                                  Chaitanya K. Joshi                                                                                  implemenation of Benchmarking Graph Neural Networks
An Empirical Investigation of Catastrophic Forgetting in Gradient-Based Neural Networks                                                                                  Da Xiao                                                                                  implemenation of An Empirical Investigation of Catastrophic Forgetting in Gradient-Based Neural Networks
Benchmarking Neural Network Robustness to Common Corruptions and Perturbations                                                                                  Dan Hendrycks                                                                                  implemenation of Benchmarking Neural Network Robustness to Common Corruptions and Perturbations
Benchmarking Neural Network Robustness to Common Corruptions and Surface Variations                                                                                  Dan Hendrycks                                                                                  implemenation of Benchmarking Neural Network Robustness to Common Corruptions and Surface Variations
DDD20 End-to-End Event Camera Driving Dataset: Fusing Frames and Events with Deep Learning for Improved Steering Prediction                                                                                  Daniel Neil                                                                                  implemenation of DDD20 End-to-End Event Camera Driving Dataset: Fusing Frames and Events with Deep Learning for Improved Steering Prediction
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  Daxin Jiang                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
Beyond Synthetic Noise: Deep Learning on Controlled Noisy Labels                                                                                  Di Huang                                                                                  implemenation of Beyond Synthetic Noise: Deep Learning on Controlled Noisy Labels
Deep Learning for Segmentation using an Open Large-Scale Dataset in 2D Echocardiography                                                                                  Jan D'hooge                                                                                  implemenation of Deep Learning for Segmentation using an Open Large-Scale Dataset in 2D Echocardiography
DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification                                                                                  Jennifer Spragg                                                                                  implemenation of DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification
A Large Contextual Dataset for Classification, Detection and Counting of Cars with Deep Learning                                                                                  Kofi Boakye                                                                                  implemenation of A Large Contextual Dataset for Classification, Detection and Counting of Cars with Deep Learning
CosmoFlow: Using Deep Learning to Learn the Universe at Scale                                                                                  Lawrence Meadows                                                                                  implemenation of CosmoFlow: Using Deep Learning to Learn the Universe at Scale
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  Long Zhou                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification                                                                                  Manu Goyal                                                                                  implemenation of DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification
A Neural Network Approach to Context-Sensitive Generation of Conversational Responses                                                                                  Margaret Mitchell                                                                                  implemenation of A Neural Network Approach to Context-Sensitive Generation of Conversational Responses
Crowd counting via scale-adaptive convolutional neural network                                                                                  Miaojing Shi                                                                                  implemenation of Crowd counting via scale-adaptive convolutional neural network
DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification                                                                                  Neil D. Reeves                                                                                  implemenation of DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification
An ecologically motivated image dataset for deep learning yields better models of human vision                                                                                  Nikolaus Kriegeskorte                                                                                  implemenation of An ecologically motivated image dataset for deep learning yields better models of human vision
A Comprehensive Study on Deep Learning-based Methods for Sign Language Recognition                                                                                  Petros Daras                                                                                  implemenation of A Comprehensive Study on Deep Learning-based Methods for Sign Language Recognition
Crowd counting via scale-adaptive convolutional neural network                                                                                  Qiaobo Chen                                                                                  implemenation of Crowd counting via scale-adaptive convolutional neural network
DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification                                                                                  Satyan Rajbhandari                                                                                  implemenation of DFUNet: Convolutional Neural Networks for Diabetic Foot Ulcer Classification
Assessment of Deep Learning-based Heart Rate Estimation using Remote Photoplethysmography under Different Illuminations                                                                                  Ze Yang                                                                                  implemenation of Assessment of Deep Learning-based Heart Rate Estimation using Remote Photoplethysmography under Different Illuminations
BIKED: A Dataset for Computational Bicycle Design with Machine Learning Benchmarks                                                                                  Faez Ahmed                                                                                  implemenation of BIKED: A Dataset for Computational Bicycle Design with Machine Learning Benchmarks
A Neural Network Approach to Context-Sensitive Generation of Conversational Responses                                                                                  Michel Galley                                                                                  implemenation of A Neural Network Approach to Context-Sensitive Generation of Conversational Responses
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  Ming Gong                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
Applying Deep Learning to Answer Selection: A Study and An Open Task                                                                                  Minwei Feng                                                                                  implemenation of Applying Deep Learning to Answer Selection: A Study and An Open Task
AstroVision: Towards Autonomous Feature Detection and Description for Missions to Small Bodies Using Deep Learning                                                                                  Panagiotis Tsiotras                                                                                  implemenation of AstroVision: Towards Autonomous Feature Detection and Description for Missions to Small Bodies Using Deep Learning
Deep Learning for Segmentation using an Open Large-Scale Dataset in 2D Echocardiography                                                                                  Pierre-Marc Jodoin                                                                                  implemenation of Deep Learning for Segmentation using an Open Large-Scale Dataset in 2D Echocardiography
'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?                                                                                  R. Stuart Geiger                                                                                  implemenation of 'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?
Blockchain-Federated-Learning and Deep Learning Models for COVID-19 detection using CT Imaging                                                                                  Rajesh Kumar                                                                                  implemenation of Blockchain-Federated-Learning and Deep Learning Models for COVID-19 detection using CT Imaging
Choquet Integral and Coalition Game-based Ensemble of Deep Learning Models for COVID-19 Screening from Chest X-ray Images                                                                                  Ram Sarkar                                                                                  implemenation of Choquet Integral and Coalition Game-based Ensemble of Deep Learning Models for COVID-19 Screening from Chest X-ray Images
Artist Similarity with Graph Neural Networks                                                                                  Sergio Oramas                                                                                  implemenation of Artist Similarity with Graph Neural Networks
CosmoFlow: Using Deep Learning to Learn the Universe at Scale                                                                                  Shirley Ho                                                                                  implemenation of CosmoFlow: Using Deep Learning to Learn the Universe at Scale
Challenges in Representation Learning: A report on three machine learning contests                                                                                  Dong-Hyun Lee                                                                                  implemenation of Challenges in Representation Learning: A report on three machine learning contests
A Comprehensive Study on Deep Learning-based Methods for Sign Language Recognition                                                                                  Georgios Th. Papadopoulos                                                                                  implemenation of A Comprehensive Study on Deep Learning-based Methods for Sign Language Recognition
Deep Learning for Classical Japanese Literature                                                                                  Mikel Bober-Irizar                                                                                  implemenation of Deep Learning for Classical Japanese Literature
AxCell: Automatic Extraction of Results from Machine Learning Papers                                                                                  Marcin Kardas                                                                                  implemenation of AxCell: Automatic Extraction of Results from Machine Learning Papers
CrossedWires: A Dataset of Syntactically Equivalent but Semantically Disparate Deep Learning Models                                                                                  Arvind Ramanathan                                                                                  implemenation of CrossedWires: A Dataset of Syntactically Equivalent but Semantically Disparate Deep Learning Models
Biometric Face Presentation Attack Detection with Multi-Channel Convolutional Neural Network                                                                                  Sebastien Marcel                                                                                  implemenation of Biometric Face Presentation Attack Detection with Multi-Channel Convolutional Neural Network
Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?                                                                                  Elias B. Issa                                                                                  implemenation of Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?
Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?                                                                                  Jonathan Prescott-Roy                                                                                  implemenation of Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?
Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?                                                                                  Kailyn Schmidt                                                                                  implemenation of Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?
Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?                                                                                  Rishi Rajalingham                                                                                  implemenation of Brain-Score: Which Artificial Neural Network for Object Recognition is most Brain-Like?
CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation                                                                                  JunJie Huang                                                                                  implemenation of CodeXGLUE: A Machine Learning Benchmark Dataset for Code Understanding and Generation
Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset                                                                                  Liming Zheng                                                                                  implemenation of Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset
Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset                                                                                  Peter Z Fulé                                                                                  implemenation of Aerial Imagery Pile burn detection using Deep Learning: the FLAME dataset
A Convolutional Neural Network for Point Cloud Instance Segmentation in Cluttered Scene Trained by Synthetic Data Without Color                                                                                  Yajun Xu                                                                                  implemenation of A Convolutional Neural Network for Point Cloud Instance Segmentation in Cluttered Scene Trained by Synthetic Data Without Color
An ecologically motivated image dataset for deep learning yields better models of human vision                                                                                  Emer C. Jones                                                                                  implemenation of An ecologically motivated image dataset for deep learning yields better models of human vision
An ecologically motivated image dataset for deep learning yields better models of human vision                                                                                  Johannes Mehrer                                                                                  implemenation of An ecologically motivated image dataset for deep learning yields better models of human vision
Deep Learning for Suicide and Depression Identification with Unsupervised Label Correction                                                                                  Viraaj Reddi                                                                                  implemenation of Deep Learning for Suicide and Depression Identification with Unsupervised Label Correction
BIKED: A Dataset for Computational Bicycle Design with Machine Learning Benchmarks                                                                                  Brent Curry                                                                                  implemenation of BIKED: A Dataset for Computational Bicycle Design with Machine Learning Benchmarks
Automatic code generation from sketches of mobile applications in end-user development using Deep Learning                                                                                  Christiane Gresse von Wangenheim                                                                                  implemenation of Automatic code generation from sketches of mobile applications in end-user development using Deep Learning
Automatic code generation from sketches of mobile applications in end-user development using Deep Learning                                                                                  Daniel Baulé                                                                                  implemenation of Automatic code generation from sketches of mobile applications in end-user development using Deep Learning
Assessment of Deep Learning-based Heart Rate Estimation using Remote Photoplethysmography under Different Illuminations                                                                                  Haofei Wang                                                                                  implemenation of Assessment of Deep Learning-based Heart Rate Estimation using Remote Photoplethysmography under Different Illuminations
Automatic code generation from sketches of mobile applications in end-user development using Deep Learning                                                                                  Jean C. R. Hauck                                                                                  implemenation of Automatic code generation from sketches of mobile applications in end-user development using Deep Learning
BIKED: A Dataset for Computational Bicycle Design with Machine Learning Benchmarks                                                                                  Lyle Regenwetter                                                                                  implemenation of BIKED: A Dataset for Computational Bicycle Design with Machine Learning Benchmarks
A Machine Learning Surrogate Modeling Benchmark for Temperature Field Reconstruction of Heat-Source Systems                                                                                  Xiaoqian Chen                                                                                  implemenation of A Machine Learning Surrogate Modeling Benchmark for Temperature Field Reconstruction of Heat-Source Systems
A Dataset and System for Real-Time Gun Detection in Surveillance Video Using Deep Learning                                                                                  Delong Qi                                                                                  implemenation of A Dataset and System for Real-Time Gun Detection in Surveillance Video Using Deep Learning
A Dataset and System for Real-Time Gun Detection in Surveillance Video Using Deep Learning                                                                                  Weijun Tan                                                                                  implemenation of A Dataset and System for Real-Time Gun Detection in Surveillance Video Using Deep Learning
A Dataset and System for Real-Time Gun Detection in Surveillance Video Using Deep Learning                                                                                  Zhifu Liu                                                                                  implemenation of A Dataset and System for Real-Time Gun Detection in Surveillance Video Using Deep Learning
AGAR a microbial colony dataset for deep learning detection                                                                                  Adam Loch                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
AGAR a microbial colony dataset for deep learning detection                                                                                  Agata Hanas                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
AGAR a microbial colony dataset for deep learning detection                                                                                  Agnieszka Pawlak                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?                                                                                  Dominique Cope                                                                                  implemenation of 'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?
A Convolutional Neural Network for Point Cloud Instance Segmentation in Cluttered Scene Trained by Synthetic Data Without Color                                                                                  Fuyuki Tokuda                                                                                  implemenation of A Convolutional Neural Network for Point Cloud Instance Segmentation in Cluttered Scene Trained by Synthetic Data Without Color
AGAR a microbial colony dataset for deep learning detection                                                                                  Grzegorz Guła                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?                                                                                  Jenny Weng                                                                                  implemenation of 'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?
AGAR a microbial colony dataset for deep learning detection                                                                                  Justyna Roszkowiak                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?                                                                                  Marsha Lotosh                                                                                  implemenation of 'Garbage In, Garbage Out' Revisited: What Do Machine Learning Application Papers Report About Human-Labeled Training Data?
'CADSketchNet' -- An Annotated Sketch dataset for 3D CAD Model Retrieval with Deep Neural Networks                                                                                  Shubham Dhayarkar                                                                                  implemenation of 'CADSketchNet' -- An Annotated Sketch dataset for 3D CAD Model Retrieval with Deep Neural Networks
AGAR a microbial colony dataset for deep learning detection                                                                                  Tomasz Bonus                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
AGAR a microbial colony dataset for deep learning detection                                                                                  Tomasz Golan                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
AGAR a microbial colony dataset for deep learning detection                                                                                  Zuzanna Drulis-Kawa                                                                                  implemenation of AGAR a microbial colony dataset for deep learning detection
Choquet Integral and Coalition Game-based Ensemble of Deep Learning Models for COVID-19 Screening from Chest X-ray Images                                                                                  Pratik Bhowal                                                                                  implemenation of Choquet Integral and Coalition Game-based Ensemble of Deep Learning Models for COVID-19 Screening from Chest X-ray Images
Classification of anomalous gait using Machine Learning techniques and embedded sensors                                                                                  C. M. S. Figueiredo                                                                                  implemenation of Classification of anomalous gait using Machine Learning techniques and embedded sensors
Classification of anomalous gait using Machine Learning techniques and embedded sensors                                                                                  T. R. D. Sa                                                                                  implemenation of Classification of anomalous gait using Machine Learning techniques and embedded sensors
