query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out
1342,17,1676,2424,180,38,20,2153,27,2403,4212,154,247,235,320,32,4855,46,64,89,32,24,1175,100,627,226,2061,32,51,2028,34,17,35,308,280,23,45,19,100,29,898,2009,38
30,17,1589,2459,24,19,19,2111,69,83,1653,116,234,225,294,17,4483,18,34,19,17,16,602,19,623,219,2030,19,45,1992,20,17,32,287,170,18,42,17,89,19,888,1945,26
32,16,1587,2409,23,17,17,2079,20,86,1662,118,240,223,294,17,4493,20,33,20,17,18,598,17,610,220,2038,17,45,1993,21,16,33,278,167,19,45,18,85,18,909,1992,25
35,17,1586,2375,25,17,17,2068,19,86,1631,116,229,222,292,16,4458,19,34,20,19,29,620,20,631,227,2067,19,43,1979,18,16,32,290,170,18,43,18,85,17,934,1969,28
31,16,1590,2447,23,18,18,2101,22,85,1649,117,229,215,293,17,4512,19,33,19,17,17,642,18,630,220,2055,19,45,1965,18,17,33,286,168,19,48,19,84,21,895,1941,26
32,17,1589,2384,23,17,18,2103,20,88,1723,128,241,226,295,17,4461,19,33,22,19,18,597,19,632,222,2067,19,45,2009,18,17,34,285,171,18,45,19,87,17,928,1951,26
38,18,1587,2403,25,17,18,2079,19,87,1637,124,235,214,294,17,4547,21,34,20,19,17,628,18,648,228,2050,20,45,2022,20,17,34,296,171,18,44,18,86,19,888,1969,27
32,16,1587,2437,23,18,17,2091,20,88,1659,121,236,217,293,17,4523,19,33,20,18,17,601,19,608,225,2074,18,44,1976,18,18,34,279,165,18,41,20,85,16,906,1925,24
31,16,1590,2395,23,18,19,2105,21,84,1659,118,229,224,294,16,4532,18,33,19,17,16,605,17,614,219,2012,19,46,2005,20,18,34,284,170,18,44,18,85,18,885,1963,26
34,15,1590,2427,24,17,18,2096,20,89,1637,117,233,221,291,15,4522,19,34,23,18,18,598,19,636,226,2051,19,47,2040,19,17,34,287,172,17,44,18,87,18,907,1963,128



SQ - 1,3,10,12,30,33,41
IQ - 4,8,11,13,14,15,17,19,23,25,26,27,29,35,37,39,42,43
CQ - 34



Queries that have results:1,3,4,8,10,11,12,13,14,15,17,19,23,25,26,27,29,30,33,34,35,37,39,41,42,43

Query ID	Average Time (ms) Standard Deviation (ms) CV
 query_1         163.7 392.772975 2.40 
 query_3        1597.1  26.337995 0.02
 query_4        2416.0  26.076810 0.01
 query_8        2098.6  22.244999 0.01
query_10         317.9 695.035603 2.19
query_11        1912.2 766.987588 0.40
query_12         122.9  11.004090 0.09
query_13         235.3   5.640035 0.02
query_14         222.2   5.810336 0.03
query_15         296.0   8.074652 0.03
query_17        4538.6 109.150538 0.02
query_19          36.5   9.178780 0.25
query_23         666.6 170.077747 0.26
query_25         625.9  11.810588 0.02
query_26         223.2   3.370460 0.02
query_27        2050.5  18.128707 0.01
query_29          45.6   2.059126 0.05
query_30        2000.9  23.067076 0.01
query_33          33.5   0.921954 0.03
query_34         288.0   8.246211 0.03
query_35         180.4  33.260186 0.18
query_37          44.1   1.813836 0.04
query_39          87.3   4.450843 0.05
query_41         903.8  15.822768 0.02
query_42        1962.7  23.289697 0.01
query_43          37.4  30.427619 0.81




category  average_time     std_dev
 SSP        888.73       1087.36


# IQ,SQ, and CQ values I combined it with pwc and OpenML
SQ          741.291667     663.97912
IQ          46385.775676 160409.288389
CQ          13246.9     15159.314587
