query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out
4234,96,1903,15915,291468,2239,1601,3439,3622,12304,8280,2575,1422337,1108793,8137,2137,10629,261,589,50295,200,82,2726,2836,747,875302,3148,7755,1107,2549,6000,42454,84,660,51605,7659,180,9112,199,211,1477,2402,66
1198,105,1823,14165,264772,2312,1472,3880,3358,1797,2280,1854,1110026,881840,6362,1904,7588,296,144,54039,91,60,1496,2646,908,863662,3482,9226,1465,3185,6295,49199,103,695,60021,9553,138,10789,237,308,1743,2886,68
1049,129,1829,11924,247378,1359,1120,3567,2648,1355,2241,3212,1546285,1272113,6048,2653,8927,282,110,61256,108,111,1823,1750,1037,956710,4387,10587,1588,3524,7266,64777,118,859,66864,10334,158,12413,255,376,2111,3201,66
465,124,1825,6466,190101,1910,1819,2833,2892,1144,2453,1626,857440,780380,3688,1368,6313,207,93,44102,121,54,1332,1614,755,700759,2840,7905,1134,2626,5159,39610,86,648,47485,8053,124,9345,208,250,1583,2556,54
624,107,1835,7116,194813,1411,718,2917,1549,579,2075,1228,684650,654362,2986,1251,6226,240,114,42452,109,49,1609,646,750,654171,2969,7905,1139,2638,5164,37813,83,589,33677,8135,150,9478,224,268,1604,2477,61
359,99,1830,8363,207084,1594,892,3109,1321,739,2091,1037,721105,740424,2799,1386,6388,220,99,47443,118,60,1261,967,843,667537,3269,8156,1224,2861,5219,40959,92,590,39702,8000,129,8521,208,260,1591,2541,58
350,1134,1852,8108,186803,1509,780,3350,2274,1107,2204,1115,729865,733828,3972,1844,5998,465,544,52990,158,83,1432,9729,726,678400,3679,7533,1210,2592,4884,38404,90,644,42793,7441,117,8172,173,244,1359,2398,63
352,99,1823,9671,226686,1904,1059,3536,2122,901,2145,824,713276,655668,2659,1219,6107,214,94,51545,116,71,1127,683,976,807700,3505,9802,1498,3252,5933,39223,110,690,58846,9430,95,9754,249,240,2029,2958,67
277,236,1860,6958,225501,606,991,3458,543,1481,2696,862,770884,739826,2996,1592,6782,208,110,49899,78,73,1140,663,952,727873,3562,9254,1408,3099,6007,51053,103,752,38166,9405,155,9731,250,165,1849,2996,79



     Query	           Average Time(ms)
query_1_time.out	1090.0
query_2_time.out	223.0
query_3_time.out	1846.6
query_4_time.out	10139.1
query_5_time.out	225048.8
query_6_time.out	1620.5
query_7_time.out	1138.1
query_8_time.out	3251.9
query_9_time.out	2355.0
query_10_time.out	2290.6
query_11_time.out	2661.6
query_12_time.out	1629.3
query_13_time.out	1017741.8
query_14_time.out	892929.6
query_15_time.out	3667.3
query_16_time.out	1555.4
query_17_time.out	7051.6
query_18_time.out	283.2
query_19_time.out	205.0
query_20_time.out	49398.6
query_21_time.out	122.6
query_22_time.out	73.6
query_23_time.out	1550.8
query_24_time.out	1611.2
query_25_time.out	844.0
query_26_time.out	747.0
query_27_time.out	3459.2
query_28_time.out	8663.6
query_29_time.out	1360.2
query_30_time.out	5402.0
query_31_time.out	45199.5
query_32_time.out	97.7
query_33_time.out	669.2
query_34_time.out	47487.2
query_35_time.out	8651.0
query_36_time.out	140.3
query_37_time.out	9602.8
query_38_time.out	222.0
query_39_time.out	246.7
query_40_time.out	1682.9
query_41_time.out	2642.4
query_42_time.out	66.3
query_43_time.out	68.1
