time  (s)	size (kb)	%mem	%cpu
60	11894372	1	53.9
120	11897632	1.1	61.8
180	12023008	1.2	67.1
240	12023956	1.3	71.1
300	12124908	1.3	73.9
360	12126316	1.4	76.1
420	12252672	1.5	78.2
480	12303372	1.5	79.8
540	12303372	1.5	80
600	12315956	1.5	79.9
661	12330380	1.5	80.1
721	12330380	1.5	80.3
781	12330380	1.5	80.3
841	12330380	1.5	80.4
901	12330380	1.5	80.3
962	12330380	1.5	80
1022	12330420	1.5	79.8
1082	12330532	1.5	79.6
1142	12330604	1.5	79.6
1202	12330704	1.5	79.8
1262	12330760	1.5	80
1323	12330764	1.5	80.3
1383	12331556	1.5	80.3
1443	12332240	1.5	80.7
1503	12332308	1.5	80.7
1563	12332308	1.5	79
1623	12332424	1.5	79.3
1684	12332424	1.5	79.5
1744	12332468	1.5	79.8
1804	12332476	1.5	80.1
1864	12332476	1.5	80.5
1924	12332476	1.5	80.8
1984	12332656	1.5	81.1
2045	12332656	1.5	81.2
2105	12332656	1.5	81.3
2165	12332660	1.5	81.5
2225	12332740	1.5	81.5
2285	12332740	1.5	81.5
2345	12332740	1.5	81.7
2405	12332740	1.5	81.9
2465	12332740	1.5	82.1
2526	12332740	1.5	82.3
2586	12427856	1.5	82.3
2646	12451772	1.5	82.5
2707	13027720	1.6	82.9
2767	13049560	1.6	82.8
2827	13070728	1.6	83
2887	13070728	1.6	83.2
2948	13070728	1.6	83.4
3008	13070728	1.6	83.7
3068	13070728	1.6	83.8
3128	13070728	1.6	84
3188	13070728	1.6	84.1
3249	13070728	1.6	84.2
3309	13070728	1.6	84.3
3369	13070728	1.6	84.4
3429	13070728	1.6	84.4
3489	13070728	1.6	84.5
3549	13070728	1.6	84.6
3610	13070728	1.6	84.7
3670	13070728	1.6	84.7
3730	13154968	1.6	84.6
3790	13165888	1.6	84.7
3850	13175320	1.6	84.8
3910	13203432	1.6	84.9
3971	13245988	1.6	85
4031	13245988	1.6	85
4091	13245988	1.6	85.1
4151	13245988	1.6	85.2
4211	13245988	1.6	85.3
4271	13245988	1.6	85.3
4332	13245988	1.6	85.4
4392	13245988	1.6	85.5
4452	13245988	1.6	85.6
4512	13245988	1.6	85.7
4572	13245988	1.6	85.7
4632	13245988	1.6	85.8
4692	13245988	1.6	85.9
4752	13245988	1.6	86
4813	13245988	1.6	86
4873	13245988	1.6	86
4933	13245988	1.6	86
4993	13245988	1.6	86.1
5053	13245988	1.6	86.1
5113	13245988	1.6	86.2
5173	13245988	1.6	86.2
5233	13245988	1.6	86.3
5294	13245988	1.6	86.4
5354	13245988	1.6	86.5
5414	13245988	1.6	86.5
5474	13245988	1.6	86.6
5534	13245988	1.6	86.6
5594	13245988	1.6	86.7
5654	13245988	1.6	86.8
5715	13245988	1.6	86.8
5775	13245988	1.6	86.8
5835	13245988	1.6	86.9
5895	13245988	1.6	87
5955	13245988	1.6	87
6016	13245988	1.6	87.1
6076	13250248	1.6	87.2
6136	13250248	1.6	87.3
6196	13258360	1.6	87.3
6257	13258360	1.6	87.4
6317	13258360	1.6	87.5
6378	13258360	1.6	87.6
6438	13258360	1.6	87.6
6498	13258360	1.6	87.8
6559	13258360	1.6	87.8
6619	13258360	1.6	87.9
6679	13258360	1.6	88
6739	13258360	1.6	88.1
6799	13258360	1.6	88.1
6859	13258360	1.6	88.2
6920	13258360	1.6	88.2
6980	13258360	1.6	88.3
7040	13285676	1.6	88.4
7101	13285676	1.6	88.4
7161	13285676	1.6	88.5
7222	13285676	1.6	88.6
7282	13285676	1.6	88.6
7342	13338632	1.6	88.7
7403	13338632	1.6	88.7
7463	13338632	1.6	88.7
7523	13338632	1.6	88.7
7583	13338632	1.6	88.6
7643	13338632	1.6	88.6
7703	13338632	1.6	88.6
7763	13338632	1.6	88.6
7824	13338632	1.6	88.6
7884	13338632	1.6	88.6
7944	13338632	1.6	88.6
8004	13338632	1.6	88.6
8064	13338632	1.6	88.7
8124	13338632	1.6	88.7
8184	13338632	1.6	88.7
8244	13338632	1.6	88.7
8305	13338632	1.6	88.7
8365	13338632	1.6	88.7
8425	13338632	1.6	88.8
8485	13338632	1.6	88.8
8545	13338632	1.6	88.8
8605	13338632	1.6	88.8
8665	13338632	1.6	88.8
8725	13338632	1.6	88.9
8786	13338632	1.6	88.9
8846	13338632	1.6	88.9
8906	13338632	1.6	89
8966	13338632	1.6	89
9026	13338632	1.6	89
9086	13338632	1.6	89.1
9147	13338632	1.6	89.1
9207	13338632	1.6	89.1
9267	13338632	1.6	89.1
9327	13338632	1.6	89.2
9387	13338632	1.6	89.1
9448	13338632	1.6	89.1
9508	13338632	1.6	89.1
9568	13338632	1.6	89.1
9628	13338632	1.6	89.1
9688	13338632	1.6	89.1
9748	13338632	1.6	89.1
9809	13338632	1.6	89.1
9869	13338632	1.6	89.2
9929	13338632	1.6	89.2
9989	13338632	1.6	89.1
10049	13338632	1.6	89.1
10109	13338632	1.6	89.1
10170	13338632	1.6	89.1
10230	13338632	1.6	89.1
10291	13340724	1.6	89.2
10351	13342504	1.6	89.2
10411	13342504	1.6	89.2
10472	13342508	1.6	89.3
10532	13342508	1.6	89.3
10592	13342508	1.6	89.3
10652	13342508	1.6	89.4
10713	13342508	1.6	89.4
10773	13342508	1.6	89.5
10833	13342508	1.6	89.5
10893	13342508	1.6	89.5
10953	13342508	1.6	89.5
11013	13342508	1.6	89.5
11073	13342508	1.6	89.6
11134	13342508	1.6	89.6
11194	13342508	1.6	89.6
11254	13342508	1.6	89.7
11314	13342508	1.6	89.7
11374	13342508	1.6	89.7
11435	13342508	1.6	89.7
11495	13342508	1.6	89.8
11555	13342508	1.6	89.8
11616	13342508	1.6	89.9
11676	13342508	1.6	89.9
11736	13342508	1.6	89.9
11796	13342508	1.6	90
11857	13342508	1.6	90
11917	13342508	1.6	90
11977	13342508	1.6	90.1
12037	13342508	1.6	90.1
12098	13342508	1.6	90.1
12158	13342508	1.6	90.2
12218	13342508	1.6	90.2
12279	13342508	1.6	90.2
12339	13342508	1.6	90.2
12399	13342508	1.6	90.3
12460	13342508	1.6	90.3
12520	13342508	1.6	90.3
12580	13342508	1.6	90.3
12640	13342508	1.6	90.3
12701	13342508	1.6	90.4
12761	13342508	1.6	90.4
12821	13342508	1.6	90.4
12882	13342508	1.6	90.4
12942	13342508	1.6	90.4
13002	13342508	1.6	90.5
13063	13342508	1.6	90.5
13123	13342508	1.6	90.5
13183	13342508	1.6	90.5
13243	13343676	1.6	90.5
13303	13345020	1.6	90.6
13364	13345932	1.6	90.6
13424	13348324	1.6	90.6
13484	13349236	1.6	90.6
13544	13349236	1.6	90.6
13605	13349236	1.6	90.6
13665	13349236	1.6	90.7
13725	13349236	1.6	90.7
13786	13349236	1.6	90.7
13846	13349236	1.6	90.8
13906	13351940	1.6	90.8
13967	13352580	1.6	90.8
14027	13352580	1.6	90.8
14087	13352580	1.6	90.8
14147	13352580	1.6	90.8
14208	13352580	1.6	90.7
14268	13352584	1.6	90.7
14329	13352584	1.6	90.7
14389	13352584	1.6	90.7
14449	13352584	1.6	90.7
14509	13352584	1.6	90.7
14570	13352584	1.6	90.7
14630	13352584	1.6	90.7
14690	13352584	1.6	90.8
14751	13352584	1.6	90.8
14811	13352584	1.6	90.8
14871	13352584	1.6	90.8
14932	13352584	1.6	90.8
14992	13352584	1.6	90.8
15053	13352584	1.6	90.9
15113	13352584	1.6	90.9
15173	13352584	1.6	90.9
15233	13352584	1.6	90.9
15294	13352584	1.6	90.9
15354	13352584	1.6	91
15415	13352584	1.6	91
15475	13352584	1.6	91
15535	13352584	1.6	91
15596	13352584	1.6	91
15656	13352584	1.6	91
15716	13352584	1.6	91.1
15776	13352584	1.6	91.1
15836	13352584	1.6	91.1
15896	13360040	1.6	91.1
15956	13360040	1.6	91.1
16016	13360040	1.6	91.2
16077	13360040	1.6	91.2
16137	13360040	1.6	91.2
16197	13360040	1.6	91.2
16257	13360040	1.6	91.3
16318	13360040	1.6	91.3
16378	13360040	1.6	91.3
16439	13360040	1.6	91.3
16499	13360040	1.6	91.3
16559	13360040	1.6	91.4
16619	13360040	1.6	91.4
16679	13360040	1.6	91.4
16740	13360040	1.6	91.4
16801	13360040	1.6	91.4
16861	13360040	1.6	91.5
16921	13360040	1.6	91.5
16981	13360040	1.6	91.5
17042	13360040	1.6	91.5
17102	13360040	1.6	91.5
17162	13360040	1.6	91.6
17222	13360040	1.6	91.6
17283	13360040	1.6	91.6
17343	13360040	1.6	91.6
17403	13360040	1.6	91.6
17464	13360040	1.6	91.6
17524	13360040	1.6	91.7
17584	13360040	1.6	91.7
17645	13360040	1.6	91.7
17706	13360040	1.6	91.7
17766	13360040	1.6	91.7
17826	13360040	1.6	91.8
17886	13360040	1.6	91.8
17947	13360040	1.6	91.8
18007	13360040	1.6	91.8
18067	13360040	1.6	91.8
