Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_10.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
model                                                                             modelName
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/pwc/model/Data-Efficient%20Image%20Recognition%20with%20Contrastive%20Predictive%20Coding/%20ResNet%20v2%20101                                                                                   ResNet v2 101
http://w3id.org/mlsea/pwc/model/AViD%20Dataset%3A%20Anonymized%20Videos%20from%20Diverse%20Countries/%282%2B1%29D%20ResNet-50                                                                                  (2+1)D ResNet-50
http://w3id.org/mlsea/pwc/model/Sound-based%20drone%20fault%20classification%20using%20multitask%20learning/1DCNN-ResNet                                                                                  1DCNN-ResNet
http://w3id.org/mlsea/pwc/model/AViD%20Dataset%3A%20Anonymized%20Videos%20from%20Diverse%20Countries/2D%20ResNet-50                                                                                  2D ResNet-50
http://w3id.org/mlsea/pwc/model/Audio-Visual%20Speech%20and%20Gesture%20Recognition%20by%20Sensors%20of%20Mobile%20Devices/2DCNN%20%2B%20BiLSTM%20%2B%20ResNet%20%2B%20MLF                                                                                  2DCNN + BiLSTM + ResNet + MLF
http://w3id.org/mlsea/pwc/model/High-Order%20Attention%20Models%20for%20Visual%20Question%20Answering/3-Modalities%3A%20Unary%20%2B%20Pairwise%20%2B%20Ternary%20%28ResNet%29                                                                                  3-Modalities: Unary + Pairwise + Ternary (ResNet)
http://w3id.org/mlsea/pwc/model/Discriminative%20Multi-modality%20Speech%20Recognition/3D%20Conv%20%2B%20P3D-ResNet50%20%2B%20TCN                                                                                  3D Conv + P3D-ResNet50 + TCN
http://w3id.org/mlsea/pwc/model/Mutual%20Information%20Maximization%20for%20Effective%20Lip%20Reading/3D%20Conv%20%2B%20ResNet-18%20%2B%20Bi-GRU                                                                                  3D Conv + ResNet-18 + Bi-GRU
http://w3id.org/mlsea/pwc/model/Can%20We%20Read%20Speech%20Beyond%20the%20Lips%3F%20Rethinking%20RoI%20Selection%20for%20Deep%20Visual%20Speech%20Recognition/3D%20Conv%20%2B%20ResNet-18%20%2B%20Bi-GRU%20%28Face%20Cutout%29                                                                                  3D Conv + ResNet-18 + Bi-GRU (Face Cutout)
http://w3id.org/mlsea/pwc/model/Multi-modality%20Associative%20Bridging%20through%20Memory%3A%20Speech%20Sound%20Recollected%20from%20Face%20Video/3D%20Conv%20%2B%20ResNet-18%20%2B%20Bi-GRU%20%2B%20Visual-Audio%20Memory                                                                                  3D Conv + ResNet-18 + Bi-GRU + Visual-Audio Memory
http://w3id.org/mlsea/pwc/model/Can%20We%20Read%20Speech%20Beyond%20the%20Lips%3F%20Rethinking%20RoI%20Selection%20for%20Deep%20Visual%20Speech%20Recognition/3D%20Conv%20%2B%20ResNet-18%20%2B%20Bi-GRU%28Face%20Cutout%29                                                                                  3D Conv + ResNet-18 + Bi-GRU(Face Cutout)
http://w3id.org/mlsea/pwc/model/Training%20Strategies%20for%20Improved%20Lip-reading/3D%20Conv%20%2B%20ResNet-18%20%2B%20DC-TCN%20%2B%20KD%20%28Ensemble%29%20%28Word%20Boundary%29                                                                                  3D Conv + ResNet-18 + DC-TCN + KD (Ensemble) (Word Boundary)
