Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_2.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
dataset                                                                           task
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/pwc/dataset/OASIS%203                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761492                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761526                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761528                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761612                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761642                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761725                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761846                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1761992                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762009                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762062                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762207                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762768                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762773                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762782                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762815                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762914                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762917                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762949                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1762959                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763081                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763091                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763132                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763241                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763309                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763375                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763441                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763456                                                                                  http://w3id.org/mlsea/openml/task/3917
http://w3id.org/mlsea/kaggle/dataset/1763523                                                                                  http://w3id.org/mlsea/openml/task/3917
