Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_25.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
softwareName                                                                      requirement
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

$ texttt{RGESolver}$ : a $ texttt{C++}$ library to perform Renormalization Group evolution in the Standard Model Effective Theory software                                                                                  none
$ texttt{Spglib}$: a software library for crystal symmetry search software                                                                                  none
$i$QIST: An open source continuous-time quantum Monte Carlo impurity solver toolkit software                                                                                  none
$Λ$-Split: A Privacy-Preserving Split Computing Framework for Cloud-Powered Generative AI software                                                                                  pytorch
$μ text{KG}$: A Library for Multi-source Knowledge Graph Embeddings and Applications software                                                                                  pytorch
$μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning software                                                                                  pytorch
$ξ$-torch: differentiable scientific computing library software                                                                                  pytorch
$ρ$-CP: Open Source Dislocation Density Based Crystal Plasticity Framework for Simulating Temperature- and Strain Rate-Dependent Deformation software                                                                                  none
$ρ$-Diffusion: A diffusion-based density estimation framework for computational physics software                                                                                  pytorch
'Don't Get Too Technical with Me': A Discourse Structure-Based Framework for Science Journalism software                                                                                  pytorch
'Skimming-Perusal' Tracking: A Framework for Real-Time and Robust Long-term Tracking software                                                                                  tf
(Mis)align: A Simple Dynamic Framework for Modeling Interpersonal Coordination software                                                                                  none
21cmfish: Fisher-matrix framework for fast parameter forecasts from the cosmic 21-cm signal software                                                                                  none
2D-Shapley: A Framework for Fragmented Data Valuation software                                                                                  none
3D-Speaker-Toolkit: An Open Source Toolkit for Multi-modal Speaker Verification and Diarization software                                                                                  pytorch
3DB: A Framework for Debugging Computer Vision Models software                                                                                  pytorch
A 3D explainability framework to uncover learning patterns and crucial sub-regions in variable sulci recognition software                                                                                  tf
A Background-Agnostic Framework with Adversarial Training for Abnormal Event Detection in Video software                                                                                  none
A Batch Learning Framework for Scalable Personalized Ranking software                                                                                  tf
A Bayes Factor Framework for Unified Parameter Estimation and Hypothesis Testing software                                                                                  none
A Bayesian Agent-Based Framework for Argument Exchange Across Networks software                                                                                  none
A Bayesian Calibration Framework for EDGES software                                                                                  none
A Bayesian Evaluation Framework for Subjectively Annotated Visual Recognition Tasks software                                                                                  tf
A Bayesian Framework for Information-Theoretic Probing software                                                                                  pytorch
A Bayesian Framework for Persistent Homology software                                                                                  none
A Bayesian Multiscale Deep Learning Framework for Flows in Random Media software                                                                                  pytorch
A Bayesian Optimization Framework for Finding Local Optima in Expensive Multi-Modal Functions software                                                                                  pytorch
A Bayesian framework for case-cohort Cox regression: application to dietary epidemiology software                                                                                  none
A Bayesian framework for measuring association and its application to emotional dynamics in Web discourse software                                                                                  none
A Bayesian generative neural network framework for epidemic inference problems software                                                                                  pytorch
A Bayesian generative neural network framework for epidemic inference problems software                                                                                  none
A Benchmark Set of Highly-efficient CUDA and OpenCL Kernels and its Dynamic Autotuning with Kernel Tuning Toolkit software                                                                                  none
A Benchmark for Automatic Medical Consultation System: Frameworks, Tasks and Datasets software                                                                                  pytorch
A Bi-Level Framework for Learning to Solve Combinatorial Optimization on Graphs software                                                                                  pytorch
A Bimanual Teleoperation Framework for Light Duty Underwater Vehicle-Manipulator Systems software                                                                                  none
