Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_8.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        publicationDate
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

Efficient Sharpness-aware Minimization for Molecular Graph Transformer Models                                                                                  Ying Wang                                                                                  2024-05-07 00:00:00
Efficient Sharpness-aware Minimization for Molecular Graph Transformer Models                                                                                  Ninghao Liu                                                                                  2024-05-07 00:00:00
Efficient Sharpness-aware Minimization for Molecular Graph Transformer Models                                                                                  Xin Wang                                                                                  2024-05-07 00:00:00
Efficient Sharpness-aware Minimization for Molecular Graph Transformer Models                                                                                  Yili Wang                                                                                  2024-05-07 00:00:00
Efficient Sharpness-aware Minimization for Molecular Graph Transformer Models                                                                                  Kaixiong Zhou                                                                                  2024-05-07 00:00:00
AG-NeRF: Attention-guided Neural Radiance Fields for Multi-height Large-scale Outdoor Scene Rendering                                                                                  Xiaohan Zhang                                                                                  2024-04-18 00:00:00
AG-NeRF: Attention-guided Neural Radiance Fields for Multi-height Large-scale Outdoor Scene Rendering                                                                                  Qi Liu                                                                                  2024-04-18 00:00:00
AG-NeRF: Attention-guided Neural Radiance Fields for Multi-height Large-scale Outdoor Scene Rendering                                                                                  Baozhu Zhao                                                                                  2024-04-18 00:00:00
AG-NeRF: Attention-guided Neural Radiance Fields for Multi-height Large-scale Outdoor Scene Rendering                                                                                  Jingfeng Guo                                                                                  2024-04-18 00:00:00
Computer-Aided Diagnosis of Thoracic Diseases in Chest X-rays using hybrid CNN-Transformer Architecture                                                                                  Sonit Singh                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Qiang Wu                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Jun Shen                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  BinBin Yong                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Qingguo Zhou                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Hongjin Song                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Songtao Huang                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Tianqi Jiang                                                                                  2024-04-18 00:00:00
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting                                                                                  Akbar Telikani                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Richard Zhang                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Taesung Park                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Zongze Wu                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Daniel Cohen-Or                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Eli Shechtman                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Michaël Gharbi                                                                                  2024-04-18 00:00:00
Lazy Diffusion Transformer for Interactive Image Editing                                                                                  Yotam Nitzan                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Hang Yan                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Xuanjing Huang                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Tao Gui                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Tao Ji                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Yuanbin Wu                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Jie Wang                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Qi Zhang                                                                                  2024-04-18 00:00:00
Length Generalization of Causal Transformers without Position Encoding                                                                                  Xiaoling Wang                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Zeming Li                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Xiaoqin Zhang                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Jin Gao                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Liang Li                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Weiming Hu                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Shubo Lin                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Yutong Kou                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Congxuan Zhang                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Shaoru Wang                                                                                  2024-04-18 00:00:00
Observation, Analysis, and Solution: Exploring Strong Lightweight Vision Transformers via Masked Image Modeling Pre-Training                                                                                  Yizheng Wang                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Jiawei Chen                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Sheng Zhou                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Can Wang                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Shen Han                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Chanfei Su                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Bohao Wang                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Yuqing Yuan                                                                                  2024-04-18 00:00:00
SIGformer: Sign-aware Graph Transformer for Recommendation                                                                                  Sirui Chen                                                                                  2024-04-18 00:00:00
SNP: Structured Neuron-level Pruning to Preserve Attention Scores                                                                                  KyungHwan Shim                                                                                  2024-04-18 00:00:00
SNP: Structured Neuron-level Pruning to Preserve Attention Scores                                                                                  Jaewoong Yun                                                                                  2024-04-18 00:00:00
SNP: Structured Neuron-level Pruning to Preserve Attention Scores                                                                                  Shinkook Choi                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Chenhui Li                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Tianyi Liang                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Changbo Wang                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Sicheng Song                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Yifei HUANG                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Shiqi Jiang                                                                                  2024-04-18 00:00:00
TextCenGen: Attention-Guided Text-Centric Background Adaptation for Text-to-Image Generation                                                                                  Jiangqi Liu                                                                                  2024-04-18 00:00:00
Transformer tricks: Removing weights for skipless transformers                                                                                  Nils Graef                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Shu Guo                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Cheng Ji                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Yong Zhao                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Qian Li                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Yuntao Wei                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Qianren Mao                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  JianXin Li                                                                                  2024-04-18 00:00:00
Variational Multi-Modal Hypergraph Attention Network for Multi-Modal Relation Extraction                                                                                  Shangguang Wang                                                                                  2024-04-18 00:00:00
When Medical Imaging Met Self-Attention: A Love Story That Didn't Quite Work Out                                                                                  Gideon Stein                                                                                  2024-04-18 00:00:00
When Medical Imaging Met Self-Attention: A Love Story That Didn't Quite Work Out                                                                                  Niklas Penzel                                                                                  2024-04-18 00:00:00
When Medical Imaging Met Self-Attention: A Love Story That Didn't Quite Work Out                                                                                  Tristan Piater                                                                                  2024-04-18 00:00:00
When Medical Imaging Met Self-Attention: A Love Story That Didn't Quite Work Out                                                                                  Joachim Denzler                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Hua Wei                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Hangyu Mao                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Rui Zhao                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Jiaming Lu                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Xuantang Xiong                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Ziyue Li                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Jingqing Ruan                                                                                  2024-04-18 00:00:00
X-Light: Cross-City Traffic Signal Control Using Transformer on Transformer as Meta Multi-Agent Reinforcement Learner                                                                                  Haoyuan Jiang                                                                                  2024-04-18 00:00:00
CarcassFormer: An End-to-end Transformer-based Framework for Simultaneous Localization, Segmentation and Classification of Poultry Carcass Defect                                                                                  Arthur F. A. Fernandes                                                                                  2024-04-17 00:00:00
CarcassFormer: An End-to-end Transformer-based Framework for Simultaneous Localization, Segmentation and Classification of Poultry Carcass Defect                                                                                  Michael T. Kidd                                                                                  2024-04-17 00:00:00
CarcassFormer: An End-to-end Transformer-based Framework for Simultaneous Localization, Segmentation and Classification of Poultry Carcass Defect                                                                                  Ngan Le                                                                                  2024-04-17 00:00:00
CarcassFormer: An End-to-end Transformer-based Framework for Simultaneous Localization, Segmentation and Classification of Poultry Carcass Defect                                                                                  Minh Tran                                                                                  2024-04-17 00:00:00
CarcassFormer: An End-to-end Transformer-based Framework for Simultaneous Localization, Segmentation and Classification of Poultry Carcass Defect                                                                                  Sang Truong                                                                                  2024-04-17 00:00:00
Learning from Unlabelled Data with Transformers: Domain Adaptation for Semantic Segmentation of High Resolution Aerial Images                                                                                  Bertrand Le Saux                                                                                  2024-04-17 00:00:00
Learning from Unlabelled Data with Transformers: Domain Adaptation for Semantic Segmentation of High Resolution Aerial Images                                                                                  Francesco Pro                                                                                  2024-04-17 00:00:00
Learning from Unlabelled Data with Transformers: Domain Adaptation for Semantic Segmentation of High Resolution Aerial Images                                                                                  Irene Amerini                                                                                  2024-04-17 00:00:00
Learning from Unlabelled Data with Transformers: Domain Adaptation for Semantic Segmentation of High Resolution Aerial Images                                                                                  Nikolaos Dionelis                                                                                  2024-04-17 00:00:00
Learning from Unlabelled Data with Transformers: Domain Adaptation for Semantic Segmentation of High Resolution Aerial Images                                                                                  Luca Maiano                                                                                  2024-04-17 00:00:00
MoA: Mixture-of-Attention for Subject-Context Disentanglement in Personalized Image Generation                                                                                  Kfir Aberman                                                                                  2024-04-17 00:00:00
MoA: Mixture-of-Attention for Subject-Context Disentanglement in Personalized Image Generation                                                                                  Sergey Tulyakov                                                                                  2024-04-17 00:00:00
MoA: Mixture-of-Attention for Subject-Context Disentanglement in Personalized Image Generation                                                                                  Kuan-Chieh Wang                                                                                  2024-04-17 00:00:00
MoA: Mixture-of-Attention for Subject-Context Disentanglement in Personalized Image Generation                                                                                  Yuwei Fang                                                                                  2024-04-17 00:00:00
MoA: Mixture-of-Attention for Subject-Context Disentanglement in Personalized Image Generation                                                                                  Daniil Ostashev                                                                                  2024-04-17 00:00:00
Multilateral Temporal-view Pyramid Transformer for Video Inpainting Detection                                                                                  Yuezun Li                                                                                  2024-04-17 00:00:00
Multilateral Temporal-view Pyramid Transformer for Video Inpainting Detection                                                                                  Junyu Dong                                                                                  2024-04-17 00:00:00
Multilateral Temporal-view Pyramid Transformer for Video Inpainting Detection                                                                                  Bo Peng                                                                                  2024-04-17 00:00:00
Multilateral Temporal-view Pyramid Transformer for Video Inpainting Detection                                                                                  Ying Zhang                                                                                  2024-04-17 00:00:00
