query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out,query_45_time.out,query_46_time.out,query_47_time.out,query_48_time.out,query_49_time.out,query_50_time.out,query_51_time.out,query_52_time.out,query_53_time.out
838,271,2636,5213,233631,262,101,3508,1171,10416,4851,355278,727873,607511,4101,1315,11641,364,118,36261,174,165,3649,434,867,648872,4197,8787,1526,2333,8497,39205,215,835,66557,7608,460,8826,237,273,1038,2273,73,62909,10647,2776,15630,6347,1328,20523,89044,73292,74619
128,100,2488,3099,244447,206,533,3242,1060,335,1953,569795,729347,819455,6076,1298,9118,314,717,31631,350,187,1592,220,811,796484,3192,8220,1880,2094,7093,37791,300,1031,30699,7524,170,8259,203,240,1032,2294,53,45752,10319,2134,12223,6025,1336,9655,94976,75700,75421
493,96,2030,3180,219621,220,600,2645,279,861,1916,627982,586526,526310,3895,1292,12880,460,68,29988,172,346,1269,157,716,550646,4348,7724,1135,2232,7444,36266,288,801,24016,7517,135,8041,196,241,1011,2290,57,49428,10930,2003,12787,6073,1345,10376,87657,73479,73884
177,110,2252,3016,200115,218,108,2622,246,527,1920,366050,622867,656539,4924,1208,11870,556,110,29606,132,229,1300,192,796,628635,3330,8003,1458,1991,6103,35338,362,653,25403,7501,94,8139,192,234,968,2217,70,60337,8703,1880,10339,5933,1298,9738,81270,72390,72941
219,55,1909,3013,198102,208,93,2467,356,543,1845,303971,580411,500471,3324,1058,9755,226,68,29282,177,143,1238,188,792,488784,2603,7437,1104,1933,5880,34781,266,599,19315,7409,102,8173,198,230,980,2232,55,55027,8171,1926,8626,6260,1298,8429,83101,72055,72200
380,105,1879,3008,199569,222,103,2410,251,344,1858,281335,552238,555383,4095,1078,10137,234,77,29444,155,161,1046,158,815,558607,3583,7343,1181,2263,5791,34815,474,597,21444,7354,143,7774,186,229,987,2229,65,55062,8232,1953,8349,5892,1264,8000,83024,72222,72371
208,54,1643,3006,197781,203,94,3117,336,292,1841,271450,564006,498209,2701,1094,9846,238,69,28983,558,182,1081,160,790,487275,2444,7197,1114,1931,5988,34593,428,607,19028,7439,102,7683,185,237,970,2229,55,52743,8310,1933,9690,5867,1290,7330,78838,72726,71400
195,108,1924,2980,198550,204,94,2680,274,327,1847,238376,527207,550277,3016,1085,8667,223,69,29248,161,103,1823,165,805,540012,3282,7509,1522,1969,5868,34898,269,601,20624,7394,117,7631,184,231,984,2226,57,55949,8323,2006,8553,5873,1287,8919,81580,72367,72554
246,109,2640,3682,243449,244,110,2888,486,497,1822,248579,542615,580935,3872,1114,10938,238,75,29088,120,111,1080,172,801,678459,4750,9146,1418,2371,7044,42872,320,715,26498,9076,154,9286,226,281,1144,2730,59,60536,9533,2284,7471,7134,1619,7231,95265,87437,87942
212,95,1824,3708,241954,236,113,2939,324,291,2221,304663,630212,607530,2519,1289,9575,263,83,35688,173,152,1309,217,961,600231,2952,8853,1370,2314,6801,40881,605,696,23125,8961,121,9368,227,270,1153,2715,59,61085,9828,2278,6421,6911,1594,7339,94624,87542,88053


Query ID	Average Time (ms) Standard Deviation (ms) CV
 query_1         309.6    203.370204 0.66
 query_2         110.3     57.124513 0.52
 query_3        2122.5    339.662259 0.16
 query_4        3390.5    661.965294 0.20
 query_5      217721.9  20024.204810 0.09
 query_6         222.3     18.536720 0.08
 query_7         194.9    186.518873 0.96
 query_8        2851.8    336.221296 0.12
 query_9         478.3    326.246854 0.68
query_10        1443.3   2995.500795 2.08
query_11        2207.4    888.094725 0.40
query_12      356747.9 127757.264506 0.36
query_13      606330.2  68447.800696 0.11
query_14      590262.0  90025.639899 0.15
query_15        3852.3   1014.792003 0.26
query_16        1183.1    101.649840 0.09
query_17       10442.7   1274.446550 0.12
query_18         311.6    109.041460 0.35
query_19         145.4    191.288891 1.32
query_20       30921.9   2629.186317 0.09
query_21         217.2    128.449835 0.59
query_22         177.9     65.874806 0.37
query_23        1538.7    739.768890 0.48
query_24         206.3     79.043090 0.38
query_25         815.4     59.704606 0.07
query_26      597800.5  89858.538879 0.15
query_27        3468.1    718.015522 0.21
query_28        8021.9    664.423878 0.08
query_29        1370.8    233.413710 0.17
query_30        2143.1    168.662651 0.08
query_31        6650.9    842.370518 0.13
query_32       37144.0   2793.458967 0.08
query_33         352.7    112.090187 0.32
query_34         713.5    133.369599 0.19
query_35       27670.9  13396.994427 0.48
query_36        7778.3    624.569620 0.08
query_37         159.8    102.714945 0.64
query_38        8318.0    600.166144 0.07
query_39         203.4     18.515939 0.09
query_40         246.6     18.927229 0.08
query_41        1026.7     65.080028 0.06
query_42        2343.5    191.347459 0.08
query_43          60.3      6.419502 0.11
query_44       55882.8   5229.616846 0.09
query_45        9299.6   1027.085410 0.11
query_46        2117.3    258.282423 0.12
query_47       10008.9   2655.725793 0.27
query_48        6231.5    427.070076 0.07
query_49        1365.9    122.656798 0.09
query_50        9754.0   3741.272484 0.38
query_51       86937.9   5953.667096 0.07
query_52       75921.0   5869.626922 0.08
query_53       76138.5   6036.689875 0.08




category  average_time          std_dev
SSP        1942.025            894.0552
SSK        1183.1                 0
SSO       35168.330769       35451.7158
MultiSource  103647.478261    30646.9300
SQ          36566.15        40411.7651
IQ         70983.62       26744.5985
CQ        29089.68      3558.1869
