Result of /data/leuven/370/vsc37064/new_queries_named_graph_type_split/query_22.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
measure                                                                           measureName
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/pwc/evaluationMeasure/%09%20ACCURACY                                                                                  	 ACCURACY
http://w3id.org/mlsea/pwc/evaluationMeasure/%25%20Dev%20Accuracy                                                                                  % Dev Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/%25%20Test%20Accuracy                                                                                  % Test Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/%25%20Test%20Accuracy%20%28Raw%20Data%29                                                                                  % Test Accuracy (Raw Data)
http://w3id.org/mlsea/pwc/evaluationMeasure/%25%20Train%20Accuracy                                                                                  % Train Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/%28Recall%4010%2BRecall%4050%29%2F2                                                                                  (Recall@10+Recall@50)/2
http://w3id.org/mlsea/pwc/evaluationMeasure/%28Recall%405%2BRecall_subset%401%29%2F2                                                                                  (Recall@5+Recall_subset@1)/2
http://w3id.org/mlsea/pwc/evaluationMeasure/1-of-100%20Accuracy                                                                                  1-of-100 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/10-stage%20average%20accuracy                                                                                  10-stage average accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/14%20gestures%20accuracy                                                                                  14 gestures accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/16x16%20Accuracy                                                                                  16x16 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/1%3A1%20Accuracy                                                                                  1:1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/1%3A3%20Accuracy                                                                                  1:3 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/2-Class%20Accuracy                                                                                  2-Class Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/24x24%20Accuracy                                                                                  24x24 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/28%20gestures%20accuracy                                                                                  28 gestures accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/3-class%20test%20accuracy                                                                                  3-class test accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/3-fold%20Accuracy                                                                                  3-fold Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/32x32%20Accuracy                                                                                  32x32 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/3%3A1%20Accuracy                                                                                  3:1 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/48x48%20Accuracy                                                                                  48x48 Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/5-class%20test%20accuracy                                                                                  5-class test accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/ACCURACY                                                                                  ACCURACY
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy                                                                                  Accuracy
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20                                                                                  Accuracy 
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28%25%20%29                                                                                  Accuracy (% )
http://w3id.org/mlsea/pwc/evaluationMeasure/Accuracy%20%28%25%29                                                                                  Accuracy (%)
