Result of /data/leuven/370/vsc37064/new_queries_named_graph_type_split/query_3.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
work                                                                              title                                                                             abstract
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/pwc/scientificWork/%24%20mathbf%7B%28N%2CK%29%7D%24-Puzzle%3A%20A%20Cost-Efficient%20Testbed%20for%20Benchmarking%20Reinforcement%20Learning%20Algorithms%20in%20Generative%20Language%20Model                                                                                  $ mathbf{(N,K)}$-Puzzle: A Cost-Efficient Testbed for Benchmarking Reinforcement Learning Algorithms in Generative Language Model                                                                                  Recent advances in reinforcement learning (RL) algorithms aim to enhance the performance of language models at scale. Yet, there is a noticeable absence of a cost-effective and standardized testbed tailored to evaluating and comparing these algorithms. To bridge this gap, we present a generalized version of the 24-Puzzle: the $(N,K)$-Puzzle, which challenges language models to reach a target value $K$ with $N$ integers. We evaluate the effectiveness of established RL algorithms such as Proximal Policy Optimization (PPO), alongside novel approaches like Identity Policy Optimization (IPO) and Direct Policy Optimization (DPO).
http://w3id.org/mlsea/pwc/scientificWork/%24%20textit%7BL%2BM-24%7D%24%3A%20Building%20a%20Dataset%20for%20Language%20%2B%20Molecules%20%40%20ACL%202024                                                                                  $ textit{L+M-24}$: Building a Dataset for Language + Molecules @ ACL 2024                                                                                  Language-molecule models have emerged as an exciting direction for molecular discovery and understanding. However, training these models is challenging due to the scarcity of molecule-language pair datasets. At this point, datasets have been released which are 1) small and scraped from existing databases, 2) large but noisy and constructed by performing entity linking on the scientific literature, and 3) built by converting property prediction datasets to natural language using templates. In this document, we detail the $ textit{L+M-24}$ dataset, which has been created for the Language + Molecules Workshop shared task at ACL 2024. In particular, $ textit{L+M-24}$ is designed to focus on three key benefits of natural language in molecule design: compositionality, functionality, and abstraction.
http://w3id.org/mlsea/pwc/scientificWork/%24%20texttt%7BLM%7D%5E%20texttt%7B2%7D%24%3A%20A%20Simple%20Society%20of%20Language%20Models%20Solves%20Complex%20Reasoning                                                                                  $ texttt{LM}^ texttt{2}$: A Simple Society of Language Models Solves Complex Reasoning                                                                                  Despite demonstrating emergent reasoning abilities, Large Language Models (LLMS) often lose track of complex, multi-step reasoning. Existing studies show that providing guidance via decomposing the original question into multiple subproblems elicits more robustness in LLM reasoning -- a decomposer generates the subproblems, and a solver solves each of these subproblems. However, these techniques fail to accommodate coordination between the decomposer and the solver modules (either in a single model or different specialized ones) -- the decomposer does not keep track of the ability of the solver to follow the decomposed reasoning. In this paper, we propose LM2 to address these challenges. LM2 modularizes the decomposition, solution, and verification into three different language models. The decomposer module identifies the key concepts necessary to solve the problem and generates step-by-step subquestions according to the reasoning requirement. The solver model generates the solution to the subproblems that are then checked by the verifier module; depending upon the feedback from the verifier, the reasoning context is constructed using the subproblems and the solutions. These models are trained to coordinate using policy learning. Exhaustive experimentation suggests the superiority of LM2 over existing methods on in- and out-domain reasoning problems, outperforming the best baselines by $8.1 %$ on MATH, $7.71 %$ on JEEBench, and $9.7 %$ on MedQA problems (code available at https://github.com/LCS2-IIITD/Language_Model_Multiplex).
http://w3id.org/mlsea/pwc/scientificWork/%24%20texttt%7Bimmrax%7D%24%3A%20A%20Parallelizable%20and%20Differentiable%20Toolbox%20for%20Interval%20Analysis%20and%20Mixed%20Monotone%20Reachability%20in%20JAX                                                                                  $ texttt{immrax}$: A Parallelizable and Differentiable Toolbox for Interval Analysis and Mixed Monotone Reachability in JAX                                                                                  We present an implementation of interval analysis and mixed monotone interval reachability analysis as function transforms in Python, fully composable with the computational framework JAX. The resulting toolbox inherits several key features from JAX, including computational efficiency through Just-In-Time Compilation, GPU acceleration for quick parallelized computations, and Automatic Differentiability. We demonstrate the toolbox's performance on several case studies, including a reachability problem on a vehicle model controlled by a neural network, and a robust closed-loop optimal control problem for a swinging pendulum.
http://w3id.org/mlsea/pwc/scientificWork/%24%28%CE%B5%2C%20u%29%24-Adaptive%20Regret%20Minimization%20in%20Heavy-Tailed%20Bandits                                                                                  $(ε, u)$-Adaptive Regret Minimization in Heavy-Tailed Bandits                                                                                  Heavy-tailed distributions naturally arise in several settings, from finance to telecommunications. While regret minimization under subgaussian or bounded rewards has been widely studied, learning with heavy-tailed distributions only gained popularity over the last decade. In this paper, we consider the setting in which the reward distributions have finite absolute raw moments of maximum order $1+ epsilon$, uniformly bounded by a constant $u<+ infty$, for some $ epsilon in (0,1]$. In this setting, we study the regret minimization problem when $ epsilon$ and $u$ are unknown to the learner and it has to adapt. First, we show that adaptation comes at a cost and derive two negative results proving that the same regret guarantees of the non-adaptive case cannot be achieved with no further assumptions. Then, we devise and analyze a fully data-driven trimmed mean estimator and propose a novel adaptive regret minimization algorithm, AdaR-UCB, that leverages such an estimator. Finally, we show that AdaR-UCB is the first algorithm that, under a known distributional assumption, enjoys regret guarantees nearly matching those of the non-adaptive heavy-tailed case.
http://w3id.org/mlsea/pwc/scientificWork/%24%CE%B1%24-Divergence%20Loss%20Function%20for%20Neural%20Density%20Ratio%20Estimation                                                                                  $α$-Divergence Loss Function for Neural Density Ratio Estimation                                                                                  Recently, neural networks have produced state-of-the-art results for density-ratio estimation (DRE), a fundamental technique in machine learning. However, existing methods bear optimization issues that arise from the loss functions of DRE: a large sample requirement of Kullback--Leibler (KL)-divergence, vanishing of train loss gradients, and biased gradients of the loss functions. Thus, an $ alpha$-divergence loss function ($ alpha$-Div) that offers concise implementation and stable optimization is proposed in this paper. Furthermore, technical justifications for the proposed loss function are presented. The stability of the proposed loss function is empirically demonstrated and the estimation accuracy of DRE tasks is investigated. Additionally, this study presents a sample requirement for DRE using the proposed loss function in terms of the upper bound of $L_1$ error, which connects a curse of dimensionality as a common problem in high-dimensional DRE tasks.
http://w3id.org/mlsea/pwc/scientificWork/%24C%5E%2A%24-Algebraic%20Machine%20Learning%3A%20Moving%20in%20a%20New%20Direction                                                                                  $C^*$-Algebraic Machine Learning: Moving in a New Direction                                                                                  Machine learning has a long collaborative tradition with several fields of mathematics, such as statistics, probability and linear algebra. We propose a new direction for machine learning research: $C^*$-algebraic ML $-$ a cross-fertilization between $C^*$-algebra and machine learning. The mathematical concept of $C^*$-algebra is a natural generalization of the space of complex numbers. It enables us to unify existing learning strategies, and construct a new framework for more diverse and information-rich data models. We explain why and how to use $C^*$-algebras in machine learning, and provide technical considerations that go into the design of $C^*$-algebraic learning models in the contexts of kernel methods and neural networks. Furthermore, we discuss open questions and challenges in $C^*$-algebraic ML and give our thoughts for future development and applications.
http://w3id.org/mlsea/pwc/scientificWork/%24L_0%24%20Regularization%20of%20Field-Aware%20Factorization%20Machine%20through%20Ising%20Model                                                                                  $L_0$ Regularization of Field-Aware Factorization Machine through Ising Model                                                                                  We examined the use of the Ising model as an $L_0$ regularization method for field-aware factorization machines (FFM). This approach improves generalization performance and has the advantage of simultaneously determining the best feature combinations for each of several groups. We can deepen the interpretation and understanding of the model from the similarities and differences in the features selected in each group.
http://w3id.org/mlsea/pwc/scientificWork/%27Task%20Success%27%20is%20not%20Enough%3A%20Investigating%20the%20Use%20of%20Video-Language%20Models%20as%20Behavior%20Critics%20for%20Catching%20Undesirable%20Agent%20Behaviors                                                                                  'Task Success' is not Enough: Investigating the Use of Video-Language Models as Behavior Critics for Catching Undesirable Agent Behaviors                                                                                  Large-scale generative models are shown to be useful for sampling meaningful candidate solutions, yet they often overlook task constraints and user preferences. Their full power is better harnessed when the models are coupled with external verifiers and the final solutions are derived iteratively or progressively according to the verification feedback. In the context of embodied AI, verification often solely involves assessing whether goal conditions specified in the instructions have been met. Nonetheless, for these agents to be seamlessly integrated into daily life, it is crucial to account for a broader range of constraints and preferences beyond bare task success (e.g., a robot should grasp bread with care to avoid significant deformations). However, given the unbounded scope of robot tasks, it is infeasible to construct scripted verifiers akin to those used for explicit-knowledge tasks like the game of Go and theorem proving. This begs the question: when no sound verifier is available, can we use large vision and language models (VLMs), which are approximately omniscient, as scalable Behavior Critics to catch undesirable robot behaviors in videos? To answer this, we first construct a benchmark that contains diverse cases of goal-reaching yet undesirable robot policies. Then, we comprehensively evaluate VLM critics to gain a deeper understanding of their strengths and failure modes. Based on the evaluation, we provide guidelines on how to effectively utilize VLM critiques and showcase a practical way to integrate the feedback into an iterative process of policy refinement. The dataset and codebase are released at: https://guansuns.github.io/pages/vlm-critic.
http://w3id.org/mlsea/pwc/scientificWork/%27The%20Roller%20Conduction%20Effect%27%20from%20the%20A-share%20Data%20Evidence                                                                                  'The Roller Conduction Effect' from the A-share Data Evidence                                                                                  In the post-epidemic era, consumption recovery has obvious time and space transmission laws, and there are different valuation criteria for consumption segments. Using the A-share data of the consumption recovery stage from January to April 2022, this paper quantitatively compares the rotation effect between different consumption sectors when the valuation returns to the reasonable range. According to the new classification of 'sensory-based consumption', it interprets the internal logic of digital consumption as A consumption upgrade tool and a higher valuation target, and expounds the 'the roller conduction effect'. The law of consumption recovery and valuation return period is explained from the perspective of time and space conduction. The study found that in the early stage of consumption recovery, the recovery of consumer confidence was slow. In this period, A-shares were mainly dominated by the stock capital game, and there was an obvious plate rotation law in the game. Being familiar with this law has strong significance, which not only helps policy makers to adjust the direction of policy guidance, but also helps financial investors to make better investment strategies. The disadvantage of this paper is that it has not yet studied the roller conduction effect of the global financial market, and more rigorous mathematical models are still needed to support the definition of stock funds, which is also the main direction of the author's future research.
http://w3id.org/mlsea/pwc/scientificWork/%27This%20is%20not%20a%20data%20problem%27%3A%20Algorithms%20and%20Power%20in%20Public%20Higher%20Education%20in%20Canada                                                                                  'This is not a data problem': Algorithms and Power in Public Higher Education in Canada                                                                                  Algorithmic decision-making is increasingly being adopted across public higher education. The expansion of data-driven practices by post-secondary institutions has occurred in parallel with the adoption of New Public Management approaches by neoliberal administrations. In this study, we conduct a qualitative analysis of an in-depth ethnographic case study of data and algorithms in use at a public college in Ontario, Canada. We identify the data, algorithms, and outcomes in use at the college. We assess how the college's processes and relationships support those outcomes and the different stakeholders' perceptions of the college's data-driven systems. In addition, we find that the growing reliance on algorithmic decisions leads to increased student surveillance, exacerbation of existing inequities, and the automation of the faculty-student relationship. Finally, we identify a cycle of increased institutional power perpetuated by algorithmic decision-making, and driven by a push towards financial sustainability.
http://w3id.org/mlsea/pwc/scientificWork/%27Understanding%20AI%27%3A%20Semantic%20Grounding%20in%20Large%20Language%20Models                                                                                  'Understanding AI': Semantic Grounding in Large Language Models                                                                                  Do LLMs understand the meaning of the texts they generate? Do they possess a semantic grounding? And how could we understand whether and what they understand? I start the paper with the observation that we have recently witnessed a generative turn in AI, since generative models, including LLMs, are key for self-supervised learning. To assess the question of semantic grounding, I distinguish and discuss five methodological ways. The most promising way is to apply core assumptions of theories of meaning in philosophy of mind and language to LLMs. Grounding proves to be a gradual affair with a three-dimensional distinction between functional, social and causal grounding. LLMs show basic evidence in all three dimensions. A strong argument is that LLMs develop world models. Hence, LLMs are neither stochastic parrots nor semantic zombies, but already understand the language they generate, at least in an elementary sense.
http://w3id.org/mlsea/pwc/scientificWork/%27What%27s%20my%20model%20inside%20of%3F%27%3A%20Exploring%20the%20role%20of%20environments%20for%20grounded%20natural%20language%20understanding                                                                                  'What's my model inside of?': Exploring the role of environments for grounded natural language understanding                                                                                  In contrast to classical cognitive science which studied brains in isolation, ecological approaches focused on the role of the body and environment in shaping cognition. Similarly, in this thesis we adopt an ecological approach to grounded natural language understanding (NLU) research. Grounded language understanding studies language understanding systems situated in the context of events, actions and precepts in naturalistic/simulated virtual environments. Where classic research tends to focus on designing new models and optimization methods while treating environments as given, we explore the potential of environment design for improving data collection and model development. We developed novel training and annotation approaches for procedural text understanding based on text-based game environments. We also drew upon embodied cognitive linguistics literature to propose a roadmap for grounded NLP research, and to inform the development of a new benchmark for measuring the progress of large language models on challenging commonsense reasoning tasks. We leveraged the richer supervision provided by text-based game environments to develop Breakpoint Transformers, a novel approach to modeling intermediate semantic information in long narrative or procedural texts. Finally, we integrated theories on the role of environments in collective human intelligence to propose a design for AI-augmented 'social thinking environments' for knowledge workers like scientists.
http://w3id.org/mlsea/pwc/scientificWork/%28Empirical%29%20Bayes%20Approaches%20to%20Parallel%20Trends                                                                                  (Empirical) Bayes Approaches to Parallel Trends                                                                                  We consider Bayes and Empirical Bayes (EB) approaches for dealing with violations of parallel trends. In the Bayes approach, the researcher specifies a prior over both the pre-treatment violations of parallel trends $ delta_{pre}$ and the post-treatment violations $ delta_{post}$. The researcher then updates their posterior about the post-treatment bias $ delta_{post}$ given an estimate of the pre-trends $ delta_{pre}$. This allows them to form posterior means and credible sets for the treatment effect of interest, $ tau_{post}$. In the EB approach, the prior on the violations of parallel trends is learned from the pre-treatment observations. We illustrate these approaches in two empirical applications.
http://w3id.org/mlsea/pwc/scientificWork/%28Not%29%20Understanding%20Latin%20Poetic%20Style%20with%20Deep%20Learning                                                                                  (Not) Understanding Latin Poetic Style with Deep Learning                                                                                  This article summarizes some mostly unsuccessful attempts to understand authorial style by examining the attention of various neural networks (LSTMs and CNNs) trained on a corpus of classical Latin verse that has been encoded to include sonic and metrical features. Carefully configured neural networks are shown to be extremely strong authorship classifiers, so it is hoped that they might therefore teach `traditional' readers something about how the authors differ in style. Sadly their reasoning is, so far, inscrutable. While the overall goal has not yet been reached, this work reports some useful findings in terms of effective ways to encode and embed verse, the relative strengths and weaknesses of the neural network families, and useful (and not so useful) techniques for designing and inspecting NN models in this domain. This article suggests that, for poetry, CNNs are better choices than LSTMs -- they train more quickly, have equivalent accuracy, and (potentially) offer better interpretability. Based on a great deal of experimentation, it also suggests that simple, trainable embeddings are more effective than domain-specific schemes, and stresses the importance of techniques to reduce overfitting, like dropout and batch normalization.
