Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_17.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         abstract                                                                          authorName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

 #ActuallyDepressed: Characterization of Depressed Tumblr Users' Online Behavior from Rules Generation Machine Learning Technique                                                                                                                                                                    Aileen Joan Vicente
 #ActuallyDepressed: Characterization of Depressed Tumblr Users' Online Behavior from Rules Generation Machine Learning Technique                                                                                                                                                                    Czarina Rae Cahutay
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Adrian Iftene
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Amar
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Constantin Scutaru
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Cristina S{ ^ i}rbu
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Diana ab{ u{a}}{ textcommabelow{t}}
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Iuliana Alex Fle{ textcommabelow{s}}can-Lovin-Arseni
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Larisa Alexa
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Nichita Herciu
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Ramona Andreea Turcu
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  S ei
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  Tr
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  ra
 #WarTeam at SemEval-2017 Task 6: Using Neural Networks for Discovering Humorous Tweets                                                                                  This paper presents the participation of { #}WarTeam in Task 6 of SemEval2017 with a system classifying humor by comparing and ranking tweets. The training data consists of annotated tweets from the @midnight TV show. { #}WarTeam{'}s system uses a neural network (TensorFlow) having inputs from a Na{ ' i}ve Bayes humor classifier and a sentiment analyzer.                                                                                  ra Maria
 'Etude de l'apprentissage par transfert de syst `emes de traduction automatique neuronaux (Study on transfer learning in neural machine translation )                                                                                  L{'}apprentissage par transfert est une solution au probl{ `e}me de l{'}apprentissage de syst{ `e}mes de traduction automatique neuronaux pour des paires de langues peu dot{ 'e}es. Dans cet article, nous proposons une analyse de cette m{ 'e}thode. Nous souhaitons { 'e}valuer l{'}impact de la quantit{ 'e} de donn{ 'e}es et celui de la proximit{ 'e} des langues impliqu{ 'e}es pour obtenir le meilleur transfert possible. Nous prenons en compte ces deux param{ `e}tres non seulement pour une t{ ^a}che de traduction {``}classique{''} mais { 'e}galement lorsque les corpus de donn{ 'e}es font d{ 'e}faut. Enfin, il s{'}agit de proposer une approche o{ `u} volume de donn{ 'e}es et proximit{ 'e} des langues sont combin{ 'e}es afin de ne plus avoir { `a} trancher entre ces deux { 'e}l{ 'e}ments.                                                                                  Lo{ ' i}c Barrault
 'Etude de l'apprentissage par transfert de syst `emes de traduction automatique neuronaux (Study on transfer learning in neural machine translation )                                                                                  L{'}apprentissage par transfert est une solution au probl{ `e}me de l{'}apprentissage de syst{ `e}mes de traduction automatique neuronaux pour des paires de langues peu dot{ 'e}es. Dans cet article, nous proposons une analyse de cette m{ 'e}thode. Nous souhaitons { 'e}valuer l{'}impact de la quantit{ 'e} de donn{ 'e}es et celui de la proximit{ 'e} des langues impliqu{ 'e}es pour obtenir le meilleur transfert possible. Nous prenons en compte ces deux param{ `e}tres non seulement pour une t{ ^a}che de traduction {``}classique{''} mais { 'e}galement lorsque les corpus de donn{ 'e}es font d{ 'e}faut. Enfin, il s{'}agit de proposer une approche o{ `u} volume de donn{ 'e}es et proximit{ 'e} des langues sont combin{ 'e}es afin de ne plus avoir { `a} trancher entre ces deux { 'e}l{ 'e}ments.                                                                                  Adrien Bardet
 'Etude de l'apprentissage par transfert de syst `emes de traduction automatique neuronaux (Study on transfer learning in neural machine translation )                                                                                  L{'}apprentissage par transfert est une solution au probl{ `e}me de l{'}apprentissage de syst{ `e}mes de traduction automatique neuronaux pour des paires de langues peu dot{ 'e}es. Dans cet article, nous proposons une analyse de cette m{ 'e}thode. Nous souhaitons { 'e}valuer l{'}impact de la quantit{ 'e} de donn{ 'e}es et celui de la proximit{ 'e} des langues impliqu{ 'e}es pour obtenir le meilleur transfert possible. Nous prenons en compte ces deux param{ `e}tres non seulement pour une t{ ^a}che de traduction {``}classique{''} mais { 'e}galement lorsque les corpus de donn{ 'e}es font d{ 'e}faut. Enfin, il s{'}agit de proposer une approche o{ `u} volume de donn{ 'e}es et proximit{ 'e} des langues sont combin{ 'e}es afin de ne plus avoir { `a} trancher entre ces deux { 'e}l{ 'e}ments.                                                                                  Fethi Bougares
 'Etude des r 'eseaux de neurones r 'ecurrents pour 'etiquetage de s 'equences (A study of Recurrent Neural Networks for Sequence Labelling)                                                                                  Dans cet article nous { 'e}tudions plusieurs types de r{ 'e}seaux neuronaux r{ 'e}currents (RNN) pour l{'}{ 'e}tiquetage de s{ 'e}quences. Nous proposons deux nouvelles variantes de RNN et nous les comparons aux variantes plus classiques de type Jordan et Elman. Nous expliquons en d{ 'e}tails quels sont les avantages de nos nouvelles variantes par rapport aux autres RNN. Nous { 'e}valuons tous les mod{ `e}les, les nouvelles variantes ainsi que les RNN existants, sur deux t{ ^a}ches de compr{ 'e}hension de la parole : ATIS et MEDIA. Les r{ 'e}sultats montrent que nos nouvelles variantes de RNN sont plus efficaces que les autres.                                                                                  Isabelle Tellier
 'Etude des r 'eseaux de neurones r 'ecurrents pour 'etiquetage de s 'equences (A study of Recurrent Neural Networks for Sequence Labelling)                                                                                  Dans cet article nous { 'e}tudions plusieurs types de r{ 'e}seaux neuronaux r{ 'e}currents (RNN) pour l{'}{ 'e}tiquetage de s{ 'e}quences. Nous proposons deux nouvelles variantes de RNN et nous les comparons aux variantes plus classiques de type Jordan et Elman. Nous expliquons en d{ 'e}tails quels sont les avantages de nos nouvelles variantes par rapport aux autres RNN. Nous { 'e}valuons tous les mod{ `e}les, les nouvelles variantes ainsi que les RNN existants, sur deux t{ ^a}ches de compr{ 'e}hension de la parole : ATIS et MEDIA. Les r{ 'e}sultats montrent que nos nouvelles variantes de RNN sont plus efficaces que les autres.                                                                                  Marco Dinarelli
 'Evaluation de l'apprentissage incr 'emental par analogie (Incremental Learning From Scratch Using Analogical Reasoning )                                                                                  Cet article examine l{'}utilisation du raisonnement analogique dans le contexte de l{'}apprentissage incr{ 'e}mental. Le probl{ `e}me d{'}apprentissage sous-jacent d{ 'e}velopp{ 'e} est le transfert de requ{ ^e}tes formul{ 'e}es en langue naturelle vers des commandes dans un langage de programmation. Nous y explorons deux questions principales : Comment se comporte le raisonnement par analogie dans le contexte de l{'}apprentissage incr{ 'e}mental ? De quelle mani{ `e}re la s{ 'e}quence d{'}apprentissage influence-t-elle la performance globale ? Pour y r{ 'e}pondre, nous proposons un protocole exp{ 'e}rimental simulant deux utilisateurs et diff{ 'e}rentes s{ 'e}quences d{'}apprentissage. Nous montrons que l{'}ordre dans la s{ 'e}quence d{'}apprentissage incr{ 'e}mental n{'}a d{'}influence notable que sous des conditions sp{ 'e}cifiques. Nous constatons { 'e}galement la compl{ 'e}mentarit{ 'e} de l{'}apprentissage incr{ 'e}mental avec l{'}analogie pour un nombre d{'}exemples d{'}apprentissage minimal.                                                                                  Sophie Rosset
 'Evaluation de l'apprentissage incr 'emental par analogie (Incremental Learning From Scratch Using Analogical Reasoning )                                                                                  Cet article examine l{'}utilisation du raisonnement analogique dans le contexte de l{'}apprentissage incr{ 'e}mental. Le probl{ `e}me d{'}apprentissage sous-jacent d{ 'e}velopp{ 'e} est le transfert de requ{ ^e}tes formul{ 'e}es en langue naturelle vers des commandes dans un langage de programmation. Nous y explorons deux questions principales : Comment se comporte le raisonnement par analogie dans le contexte de l{'}apprentissage incr{ 'e}mental ? De quelle mani{ `e}re la s{ 'e}quence d{'}apprentissage influence-t-elle la performance globale ? Pour y r{ 'e}pondre, nous proposons un protocole exp{ 'e}rimental simulant deux utilisateurs et diff{ 'e}rentes s{ 'e}quences d{'}apprentissage. Nous montrons que l{'}ordre dans la s{ 'e}quence d{'}apprentissage incr{ 'e}mental n{'}a d{'}influence notable que sous des conditions sp{ 'e}cifiques. Nous constatons { 'e}galement la compl{ 'e}mentarit{ 'e} de l{'}apprentissage incr{ 'e}mental avec l{'}analogie pour un nombre d{'}exemples d{'}apprentissage minimal.                                                                                  Gabriel Illouz
 'Evaluation de l'apprentissage incr 'emental par analogie (Incremental Learning From Scratch Using Analogical Reasoning )                                                                                  Cet article examine l{'}utilisation du raisonnement analogique dans le contexte de l{'}apprentissage incr{ 'e}mental. Le probl{ `e}me d{'}apprentissage sous-jacent d{ 'e}velopp{ 'e} est le transfert de requ{ ^e}tes formul{ 'e}es en langue naturelle vers des commandes dans un langage de programmation. Nous y explorons deux questions principales : Comment se comporte le raisonnement par analogie dans le contexte de l{'}apprentissage incr{ 'e}mental ? De quelle mani{ `e}re la s{ 'e}quence d{'}apprentissage influence-t-elle la performance globale ? Pour y r{ 'e}pondre, nous proposons un protocole exp{ 'e}rimental simulant deux utilisateurs et diff{ 'e}rentes s{ 'e}quences d{'}apprentissage. Nous montrons que l{'}ordre dans la s{ 'e}quence d{'}apprentissage incr{ 'e}mental n{'}a d{'}influence notable que sous des conditions sp{ 'e}cifiques. Nous constatons { 'e}galement la compl{ 'e}mentarit{ 'e} de l{'}apprentissage incr{ 'e}mental avec l{'}analogie pour un nombre d{'}exemples d{'}apprentissage minimal.                                                                                  Vincent Letard
