Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_3.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
work                                                                              title                                                                             abstract
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/pwc/scientificWork/%24%20text%7BR%7D%5E2%24-Bench%3A%20Benchmarking%20the%20Robustness%20of%20Referring%20Perception%20Models%20under%20Perturbations                                                                                  $ text{R}^2$-Bench: Benchmarking the Robustness of Referring Perception Models under Perturbations                                                                                  Referring perception, which aims at grounding visual objects with multimodal referring guidance, is essential for bridging the gap between humans, who provide instructions, and the environment where intelligent systems perceive. Despite progress in this field, the robustness of referring perception models (RPMs) against disruptive perturbations is not well explored. This work thoroughly assesses the resilience of RPMs against various perturbations in both general and specific contexts. Recognizing the complex nature of referring perception tasks, we present a comprehensive taxonomy of perturbations, and then develop a versatile toolbox for synthesizing and evaluating the effects of composite disturbances. Employing this toolbox, we construct $ text{R}^2$-Bench, a benchmark for assessing the Robustness of Referring perception models under noisy conditions across five key tasks. Moreover, we propose the $ text{R}^2$-Agent, an LLM-based agent that simplifies and automates model evaluation via natural language instructions. Our investigation uncovers the vulnerabilities of current RPMs to various perturbations and provides tools for assessing model robustness, potentially promoting the safe and resilient integration of intelligent systems into complex real-world scenarios.
http://w3id.org/mlsea/pwc/scientificWork/%24%CE%BB%24-models%3A%20Effective%20Decision-Aware%20Reinforcement%20Learning%20with%20Latent%20Models                                                                                  $λ$-models: Effective Decision-Aware Reinforcement Learning with Latent Models                                                                                  The idea of decision-aware model learning, that models should be accurate where it matters for decision-making, has gained prominence in model-based reinforcement learning. While promising theoretical results have been established, the empirical performance of algorithms leveraging a decision-aware loss has been lacking, especially in continuous control problems. In this paper, we present a study on the necessary components for decision-aware reinforcement learning models and we showcase design choices that enable well-performing algorithms. To this end, we provide a theoretical and empirical investigation into algorithmic ideas in the field. We highlight that empirical design decisions established in the MuZero line of works, most importantly the use of a latent model, are vital to achieving good performance for related algorithms. Furthermore, we show that the MuZero loss function is biased in stochastic environments and establish that this bias has practical consequences. Building on these findings, we present an overview of which decision-aware loss functions are best used in what empirical scenarios, providing actionable insights to practitioners in the field.
http://w3id.org/mlsea/pwc/scientificWork/%24H%24-Consistency%20Guarantees%20for%20Regression                                                                                  $H$-Consistency Guarantees for Regression                                                                                  We present a detailed study of $H$-consistency bounds for regression. We first present new theorems that generalize the tools previously given to establish $H$-consistency bounds. This generalization proves essential for analyzing $H$-consistency bounds specific to regression. Next, we prove a series of novel $H$-consistency bounds for surrogate loss functions of the squared loss, under the assumption of a symmetric distribution and a bounded hypothesis set. This includes positive results for the Huber loss, all $ ell_p$ losses, $p geq 1$, the squared $ epsilon$-insensitive loss, as well as a negative result for the $ epsilon$-insensitive loss used in squared Support Vector Regression (SVR). We further leverage our analysis of $H$-consistency for regression and derive principled surrogate losses for adversarial regression (Section 5). This readily establishes novel algorithms for adversarial regression, for which we report favorable experimental results in Section 6.
http://w3id.org/mlsea/pwc/scientificWork/%24L%5E%2ALM%24%3A%20Learning%20Automata%20from%20Examples%20using%20Natural%20Language%20Oracles                                                                                  $L^*LM$: Learning Automata from Examples using Natural Language Oracles                                                                                  Expert demonstrations have proven an easy way to indirectly specify complex tasks. Recent algorithms even support extracting unambiguous formal specifications, e.g. deterministic finite automata (DFA), from demonstrations. Unfortunately, these techniques are generally not sample efficient. In this work, we introduce $L^*LM$, an algorithm for learning DFAs from both demonstrations and natural language. Due to the expressivity of natural language, we observe a significant improvement in the data efficiency of learning DFAs from expert demonstrations. Technically, $L^*LM$ leverages large language models to answer membership queries about the underlying task. This is then combined with recent techniques for transforming learning from demonstrations into a sequence of labeled example learning problems. In our experiments, we observe the two modalities complement each other, yielding a powerful few-shot learner.
http://w3id.org/mlsea/pwc/scientificWork/%27According%20to%20...%27%3A%20Prompting%20Language%20Models%20Improves%20Quoting%20from%20Pre-Training%20Data                                                                                  'According to ...': Prompting Language Models Improves Quoting from Pre-Training Data                                                                                  Large Language Models (LLMs) may hallucinate and generate fake information, despite pre-training on factual data. Inspired by the journalistic device of 'according to sources', we propose according-to prompting: directing LLMs to ground responses against previously observed text. To quantify this grounding, we propose a novel evaluation metric (QUIP-Score) that measures the extent to which model-produced answers are directly found in underlying text corpora. We illustrate with experiments on three corpora (Wikipedia, PubMed, and the U.S. legal tax code) that these prompts improve grounding under our metrics, with the additional benefit of often improving end-task performance. Furthermore, prompts that ask the model to decrease grounding (or to ground to other corpora) indeed decrease QUIP-Score, indicating the ability of LLMs to increase or decrease grounded generations on request.
http://w3id.org/mlsea/pwc/scientificWork/%27Bayesian%20anchoring%27%20and%20the%20fourfold%20pattern%20of%20risk%20attitudes                                                                                  'Bayesian anchoring' and the fourfold pattern of risk attitudes                                                                                  Experiments on decision making under uncertainty are known to display a classical pattern of risk aversion and risk seeking referred to as 'fourfold pattern' (or 'reflection effect') , but recent experiments varying the speed and order of mental processing have brought to light a more nuanced phenomenology. We model experiments though a Bayesian formalization of the anchor-and-adjust heuristic observed in empirical studies on cognitive bias. Using only elementary assumptions on constrained information processing, we are able to infer three separate effects found in recent observations: (1) the reported enhancement of the fourfold pattern for quicker decision processes; (2) the observed decrease of fluctuations for slower decision-making trials; (3) the reported dependence of the outcome on the order in which options are processed. The application of Bayesian modeling offers a solution to recent empirical riddles by bridging two heretofore separate domains of experimental inquiry on bounded rationality.
http://w3id.org/mlsea/pwc/scientificWork/%27Don%27t%20forget%20to%20put%20the%20milk%20back%21%27%20Dataset%20for%20Enabling%20Embodied%20Agents%20to%20Detect%20Anomalous%20Situations                                                                                  'Don't forget to put the milk back!' Dataset for Enabling Embodied Agents to Detect Anomalous Situations                                                                                  Home robots intend to make their users lives easier. Our work assists in this goal by enabling robots to inform their users of dangerous or unsanitary anomalies in their home. Some examples of these anomalies include the user leaving their milk out, forgetting to turn off the stove, or leaving poison accessible to children. To move towards enabling home robots with these abilities, we have created a new dataset, which we call SafetyDetect. The SafetyDetect dataset consists of 1000 anomalous home scenes, each of which contains unsafe or unsanitary situations for an agent to detect. Our approach utilizes large language models (LLMs) alongside both a graph representation of the scene and the relationships between the objects in the scene. Our key insight is that this connected scene graph and the object relationships it encodes enables the LLM to better reason about the scene -- especially as it relates to detecting dangerous or unsanitary situations. Our most promising approach utilizes GPT-4 and pursues a categorization technique where object relations from the scene graph are classified as normal, dangerous, unsanitary, or dangerous for children. This method is able to correctly identify over 90% of anomalous scenarios in the SafetyDetect Dataset. Additionally, we conduct real world experiments on a ClearPath TurtleBot where we generate a scene graph from visuals of the real world scene, and run our approach with no modification. This setup resulted in little performance loss. The SafetyDetect Dataset and code will be released to the public upon this papers publication.
http://w3id.org/mlsea/pwc/scientificWork/%27In%20Dialogues%20We%20Learn%27%3A%20Towards%20Personalized%20Dialogue%20Without%20Pre-defined%20Profiles%20through%20In-Dialogue%20Learning                                                                                  'In Dialogues We Learn': Towards Personalized Dialogue Without Pre-defined Profiles through In-Dialogue Learning                                                                                  Personalized dialogue systems have gained significant attention in recent years for their ability to generate responses in alignment with different personas. However, most existing approaches rely on pre-defined personal profiles, which are not only time-consuming and labor-intensive to create but also lack flexibility. We propose In-Dialogue Learning (IDL), a fine-tuning framework that enhances the ability of pre-trained large language models to leverage dialogue history to characterize persona for completing personalized dialogue generation tasks without pre-defined profiles. Our experiments on three datasets demonstrate that IDL brings substantial improvements, with BLEU and ROUGE scores increasing by up to 200% and 247%, respectively. Additionally, the results of human evaluations further validate the efficacy of our proposed method.
http://w3id.org/mlsea/pwc/scientificWork/1st%20Place%20Solution%20for%20ICCV%202023%20OmniObject3D%20Challenge%3A%20Sparse-View%20Reconstruction                                                                                  1st Place Solution for ICCV 2023 OmniObject3D Challenge: Sparse-View Reconstruction                                                                                  In this report, we present the 1st place solution for ICCV 2023 OmniObject3D Challenge: Sparse-View Reconstruction. The challenge aims to evaluate approaches for novel view synthesis and surface reconstruction using only a few posed images of each object. We utilize Pixel-NeRF as the basic model, and apply depth supervision as well as coarse-to-fine positional encoding. The experiments demonstrate the effectiveness of our approach in improving sparse-view reconstruction quality. We ranked first in the final test with a PSNR of 25.44614.
http://w3id.org/mlsea/pwc/scientificWork/2AFC%20Prompting%20of%20Large%20Multimodal%20Models%20for%20Image%20Quality%20Assessment                                                                                  2AFC Prompting of Large Multimodal Models for Image Quality Assessment                                                                                  While abundant research has been conducted on improving high-level visual understanding and reasoning capabilities of large multimodal models~(LMMs), their visual quality assessment~(IQA) ability has been relatively under-explored. Here we take initial steps towards this goal by employing the two-alternative forced choice~(2AFC) prompting, as 2AFC is widely regarded as the most reliable way of collecting human opinions of visual quality. Subsequently, the global quality score of each image estimated by a particular LMM can be efficiently aggregated using the maximum a posterior estimation. Meanwhile, we introduce three evaluation criteria: consistency, accuracy, and correlation, to provide comprehensive quantifications and deeper insights into the IQA capability of five LMMs. Extensive experiments show that existing LMMs exhibit remarkable IQA ability on coarse-grained quality comparison, but there is room for improvement on fine-grained quality discrimination. The proposed dataset sheds light on the future development of IQA models based on LMMs. The codes will be made publicly available at https://github.com/h4nwei/2AFC-LMMs.
http://w3id.org/mlsea/pwc/scientificWork/360%C2%B0REA%3A%20Towards%20A%20Reusable%20Experience%20Accumulation%20with%20360%C2%B0%20Assessment%20for%20Multi-Agent%20System                                                                                  360°REA: Towards A Reusable Experience Accumulation with 360° Assessment for Multi-Agent System                                                                                  Large language model agents have demonstrated remarkable advancements across various complex tasks. Recent works focus on optimizing the agent team or employing self-reflection to iteratively solve complex tasks. Since these agents are all based on the same LLM, only conducting self-evaluation or removing underperforming agents does not substantively enhance the capability of the agents. We argue that a comprehensive evaluation and accumulating experience from evaluation feedback is an effective approach to improving system performance. In this paper, we propose Reusable Experience Accumulation with 360{ deg} Assessment (360{ deg}REA), a hierarchical multi-agent framework inspired by corporate organizational practices. The framework employs a novel 360{ deg} performance assessment method for multi-perspective performance evaluation with fine-grained assessment. To enhance the capability of agents in addressing complex tasks, we introduce dual-level experience pool for agents to accumulate experience through fine-grained assessment. Extensive experiments on complex task datasets demonstrate the effectiveness of 360{ deg}REA.
http://w3id.org/mlsea/pwc/scientificWork/360DVD%3A%20Controllable%20Panorama%20Video%20Generation%20with%20360-Degree%20Video%20Diffusion%20Model                                                                                  360DVD: Controllable Panorama Video Generation with 360-Degree Video Diffusion Model                                                                                  360-degree panoramic videos recently attract more interest in both studies and applications, courtesy of the heightened immersive experiences they engender. Due to the expensive cost of capturing 360-degree panoramic videos, generating desirable panoramic videos by given prompts is urgently required. Recently, the emerging text-to-video (T2V) diffusion methods demonstrate notable effectiveness in standard video generation. However, due to the significant gap in content and motion patterns between panoramic and standard videos, these methods encounter challenges in yielding satisfactory 360-degree panoramic videos. In this paper, we propose a controllable panorama video generation pipeline named 360-Degree Video Diffusion model (360DVD) for generating panoramic videos based on the given prompts and motion conditions. Concretely, we introduce a lightweight module dubbed 360-Adapter and assisted 360 Enhancement Techniques to transform pre-trained T2V models for 360-degree video generation. We further propose a new panorama dataset named WEB360 consisting of 360-degree video-text pairs for training 360DVD, addressing the absence of captioned panoramic video datasets. Extensive experiments demonstrate the superiority and effectiveness of 360DVD for panorama video generation. The code and dataset will be released soon.
http://w3id.org/mlsea/pwc/scientificWork/3D%20Cooperative%20Localization%20in%20UAV%20Systems%3A%20CRLB%20Analysis%20and%20Security%20Solutions                                                                                  3D Cooperative Localization in UAV Systems: CRLB Analysis and Security Solutions                                                                                  This paper presents a robust and secure framework for achieving accurate and reliable cooperative localization in multiple unmanned aerial vehicle (UAV) systems. The Cramer-Rao low bound (CRLB) for the three-dimensional (3D) cooperative localization network is derived, with particular attention given to the non-uniform spatial distribution of anchor nodes. Challenges of mobility and security threats are addressed, corresponding solutions are brought forth and numerically assessed . The proposed solution incorporates two key components: the Mobility Adaptive Gradient Descent (MAGD) and Time-evolving Anomaly Detection (TAD). The MAGD adapts the gradient descent algorithm to handle the configuration changes in cooperative localization systems, ensuring accurate localization in dynamic scenarios. The TAD cooperates with reputation propagation (RP) scheme to detect and mitigate potential attacks by identifying malicious data, enhancing the security and resilience of the cooperative localization.
http://w3id.org/mlsea/pwc/scientificWork/3D%20Directed%20Formation%20Control%20with%20Global%20Shape%20Convergence%20using%20Bispherical%20Coordinates                                                                                  3D Directed Formation Control with Global Shape Convergence using Bispherical Coordinates                                                                                  In this paper, we present a novel 3D formation control scheme for directed graphs in a leader-follower configuration, achieving (almost) global convergence to the desired shape. Specifically, we introduce three controlled variables representing bispherical coordinates that uniquely describe the formation in 3D. Acyclic triangulated directed graphs (a class of minimally acyclic persistent graphs) are used to model the inter-agent sensing topology, while the agents' dynamics are governed by single-integrator model. Our analysis demonstrates that the proposed decentralized formation controller ensures (almost) global asymptotic stability while avoiding potential shape ambiguities in the final formation. Furthermore, the control laws are implementable in arbitrarily oriented local coordinate frames of follower agents using only low-cost onboard vision sensors, making it suitable for practical applications. Finally, we validate our formation control approach by a simulation study.
http://w3id.org/mlsea/pwc/scientificWork/3D%20Face%20Reconstruction%20Using%20A%20Spectral-Based%20Graph%20Convolution%20Encoder                                                                                  3D Face Reconstruction Using A Spectral-Based Graph Convolution Encoder                                                                                  Monocular 3D face reconstruction plays a crucial role in avatar generation, with significant demand in web-related applications such as generating virtual financial advisors in FinTech. Current reconstruction methods predominantly rely on deep learning techniques and employ 2D self-supervision as a means to guide model learning. However, these methods encounter challenges in capturing the comprehensive 3D structural information of the face due to the utilization of 2D images for model training purposes. To overcome this limitation and enhance the reconstruction of 3D structural features, we propose an innovative approach that integrates existing 2D features with 3D features to guide the model learning process. Specifically, we introduce the 3D-ID Loss, which leverages the high-dimensional structure features extracted from a Spectral-Based Graph Convolution Encoder applied to the facial mesh. This approach surpasses the sole reliance on the 3D information provided by the facial mesh vertices coordinates. Our model is trained using 2D-3D data pairs from a combination of datasets and achieves state-of-the-art performance on the NoW benchmark.
