Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_0 data-type                                                                                  1083
FCFP6_1024_0 number of missing values                                                                                  1083
FCFP6_1024_99 data-type                                                                                  1083
FCFP6_1024_99 number of missing values                                                                                  1083
FCFP6_1024_999 data-type                                                                                  1083
FCFP6_1024_999 number of missing values                                                                                  1083
FCFP6_1024_1000 data-type                                                                                  1083
FCFP6_1024_1000 number of missing values                                                                                  1083
FCFP6_1024_1001 data-type                                                                                  1083
FCFP6_1024_1001 number of missing values                                                                                  1083
FCFP6_1024_1002 data-type                                                                                  1083
FCFP6_1024_1002 number of missing values                                                                                  1083
FCFP6_1024_1003 data-type                                                                                  1083
FCFP6_1024_1003 number of missing values                                                                                  1083
FCFP6_1024_1004 data-type                                                                                  1083
FCFP6_1024_1004 number of missing values                                                                                  1083
FCFP6_1024_1005 data-type                                                                                  1083
FCFP6_1024_1005 number of missing values                                                                                  1083
FCFP6_1024_1006 data-type                                                                                  1083
FCFP6_1024_1006 number of missing values                                                                                  1083
FCFP6_1024_1007 data-type                                                                                  1083
FCFP6_1024_1007 number of missing values                                                                                  1083
FCFP6_1024_1008 data-type                                                                                  1083
FCFP6_1024_1008 number of missing values                                                                                  1083
FCFP6_1024_100 data-type                                                                                  1083
FCFP6_1024_100 number of missing values                                                                                  1083
FCFP6_1024_1009 data-type                                                                                  1083
FCFP6_1024_1009 number of missing values                                                                                  1083
FCFP6_1024_1010 data-type                                                                                  1083
FCFP6_1024_1010 number of missing values                                                                                  1083
FCFP6_1024_1011 data-type                                                                                  1083
FCFP6_1024_1011 number of missing values                                                                                  1083
FCFP6_1024_1012 data-type                                                                                  1083
FCFP6_1024_1012 number of missing values                                                                                  1083
FCFP6_1024_1013 data-type                                                                                  1083
FCFP6_1024_1013 number of missing values                                                                                  1083
FCFP6_1024_1014 data-type                                                                                  1083
FCFP6_1024_1014 number of missing values                                                                                  1083
FCFP6_1024_1015 data-type                                                                                  1083
FCFP6_1024_1015 number of missing values                                                                                  1083
FCFP6_1024_1016 data-type                                                                                  1083
FCFP6_1024_1016 number of missing values                                                                                  1083
FCFP6_1024_1017 data-type                                                                                  1083
FCFP6_1024_1017 number of missing values                                                                                  1083
FCFP6_1024_1018 data-type                                                                                  1083
FCFP6_1024_1018 number of missing values                                                                                  1083
FCFP6_1024_1019 data-type                                                                                  1083
FCFP6_1024_1019 number of missing values                                                                                  1083
FCFP6_1024_1020 data-type                                                                                  1083
FCFP6_1024_1020 number of missing values                                                                                  1083
FCFP6_1024_1021 data-type                                                                                  1083
FCFP6_1024_1021 number of missing values                                                                                  1083
FCFP6_1024_1022 data-type                                                                                  1083
FCFP6_1024_1022 number of missing values                                                                                  1083
FCFP6_1024_1023 data-type                                                                                  1083
FCFP6_1024_1023 number of missing values                                                                                  1083
MEDIAN_PXC50 data-type                                                                                  1083
MEDIAN_PXC50 number of missing values                                                                                  1083
FCFP6_1024_102 data-type                                                                                  1083
FCFP6_1024_102 number of missing values                                                                                  1083
