Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicated_grouped/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

A Contrast Based Feature Selection Algorithm for High-dimensional Data set in Machine Learning                                                                                  Chunxu Cao                                                                                  implemenation of A Contrast Based Feature Selection Algorithm for High-dimensional Data set in Machine Learning
A Contrast Based Feature Selection Algorithm for High-dimensional Data set in Machine Learning                                                                                  Qiang Zhang                                                                                  implemenation of A Contrast Based Feature Selection Algorithm for High-dimensional Data set in Machine Learning
A Deep Learning Approach to Radar-based QPE                                                                                  Chiao-Wei Chang                                                                                  implemenation of A Deep Learning Approach to Radar-based QPE
A Deep Learning Approach to Radar-based QPE                                                                                  Hung-Chi Kuo                                                                                  implemenation of A Deep Learning Approach to Radar-based QPE
A Deep Learning Approach to Radar-based QPE                                                                                  Jung-Lien Chu                                                                                  implemenation of A Deep Learning Approach to Radar-based QPE
A Deep Learning Approach to Radar-based QPE                                                                                  Shih-Hao Su                                                                                  implemenation of A Deep Learning Approach to Radar-based QPE
A Deep Learning Approach to Radar-based QPE                                                                                  Ting-Shuo Yo                                                                                  implemenation of A Deep Learning Approach to Radar-based QPE
A Deep Learning Representation of Spatial Interaction Model for Resilient Spatial Planning of Community Business Clusters                                                                                  Haiyan Hao                                                                                  implemenation of A Deep Learning Representation of Spatial Interaction Model for Resilient Spatial Planning of Community Business Clusters
A Deep Learning Representation of Spatial Interaction Model for Resilient Spatial Planning of Community Business Clusters                                                                                  Yan Wang                                                                                  implemenation of A Deep Learning Representation of Spatial Interaction Model for Resilient Spatial Planning of Community Business Clusters
A Framework for Strategic Discovery of Credible Neural Network Surrogate Models under Uncertainty                                                                                  Danial Faghihi                                                                                  implemenation of A Framework for Strategic Discovery of Credible Neural Network Surrogate Models under Uncertainty
A Framework for Strategic Discovery of Credible Neural Network Surrogate Models under Uncertainty                                                                                  Kathryn A. Farrell-Maupin                                                                                  implemenation of A Framework for Strategic Discovery of Credible Neural Network Surrogate Models under Uncertainty
A Framework for Strategic Discovery of Credible Neural Network Surrogate Models under Uncertainty                                                                                  Pratyush Kumar Singh                                                                                  implemenation of A Framework for Strategic Discovery of Credible Neural Network Surrogate Models under Uncertainty
A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity                                                                                  Mouli Chakraborty                                                                                  implemenation of A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity
A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity                                                                                  Anshu Mukherjee                                                                                  implemenation of A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity
A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity                                                                                  Subhash Chandra                                                                                  implemenation of A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity
A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity                                                                                  Ioannis Krikidis                                                                                  implemenation of A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity
A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity                                                                                  Avishek Nag                                                                                  implemenation of A Machine Learning Approach for Optimizing Hybrid Quantum Noise Clusters for Gaussian Quantum Channel Capacity
A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data                                                                                  Iqra Bano                                                                                  implemenation of A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data
A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data                                                                                  Muhammad Shafique                                                                                  implemenation of A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data
A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data                                                                                  Rachmad Vidya Wicaksana Putra                                                                                  implemenation of A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data
A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data                                                                                  Alberto Marchisio                                                                                  implemenation of A Methodology to Study the Impact of Spiking Neural Network Parameters considering Event-Based Automotive Data
A Novel Feature Learning-based Bio-inspired Neural Network for Real-time Collision-free Rescue of Multi-Robot Systems                                                                                  Simon X. Yang                                                                                  implemenation of A Novel Feature Learning-based Bio-inspired Neural Network for Real-time Collision-free Rescue of Multi-Robot Systems
A Novel Feature Learning-based Bio-inspired Neural Network for Real-time Collision-free Rescue of Multi-Robot Systems                                                                                  Junfei Li                                                                                  implemenation of A Novel Feature Learning-based Bio-inspired Neural Network for Real-time Collision-free Rescue of Multi-Robot Systems
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Clayton A. Harper                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Duncan L. MacFarlane                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Elena R. Henderson                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Hiva Shahoei                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Jessie M. Henderson                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  William V. Oxford                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Eric C. Larson                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks                                                                                  Mitchell A. Thornton                                                                                  implemenation of A Photonic Physically Unclonable Function's Resilience to Multiple-Valued Machine Learning Attacks
A Physics-embedded Deep Learning Framework for Cloth Simulation                                                                                  Zhiwei Zhao                                                                                  implemenation of A Physics-embedded Deep Learning Framework for Cloth Simulation
A Sentiment Analysis of Medical Text Based on Deep Learning                                                                                  Yinan Chen                                                                                  implemenation of A Sentiment Analysis of Medical Text Based on Deep Learning
A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network                                                                                  Xinyu Liu                                                                                  implemenation of A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network
A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network                                                                                  Jianlin Xia                                                                                  implemenation of A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network
A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network                                                                                  Zhiqiang Cai                                                                                  implemenation of A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network
A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network                                                                                  Tong Ding                                                                                  implemenation of A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network
A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network                                                                                  Min Liu                                                                                  implemenation of A Structure-Guided Gauss-Newton Method for Shallow ReLU Neural Network
A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models                                                                                  Guang Cheng                                                                                  implemenation of A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models
A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models                                                                                  Namjoon Suh                                                                                  implemenation of A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models
A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding                                                                                  Bruna Junqueira                                                                                  implemenation of A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding
A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding                                                                                  Bruno Aristimunha                                                                                  implemenation of A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding
A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding                                                                                  Raphael Y. de Camargo                                                                                  implemenation of A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding
A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding                                                                                  Sylvain Chevallier                                                                                  implemenation of A Systematic Evaluation of Euclidean Alignment with Deep Learning for EEG Decoding
A Two-Stage Training Method for Modeling Constrained Systems With Neural Networks                                                                                  C. Coelho                                                                                  implemenation of A Two-Stage Training Method for Modeling Constrained Systems With Neural Networks
A Two-Stage Training Method for Modeling Constrained Systems With Neural Networks                                                                                  L. L. Ferrás                                                                                  implemenation of A Two-Stage Training Method for Modeling Constrained Systems With Neural Networks
A Two-Stage Training Method for Modeling Constrained Systems With Neural Networks                                                                                  M. Fernanda P. Costa                                                                                  implemenation of A Two-Stage Training Method for Modeling Constrained Systems With Neural Networks
A backward differential deep learning-based algorithm for solving high-dimensional nonlinear backward stochastic differential equations                                                                                  Long Teng                                                                                  implemenation of A backward differential deep learning-based algorithm for solving high-dimensional nonlinear backward stochastic differential equations
A backward differential deep learning-based algorithm for solving high-dimensional nonlinear backward stochastic differential equations                                                                                  Lorenc Kapllani                                                                                  implemenation of A backward differential deep learning-based algorithm for solving high-dimensional nonlinear backward stochastic differential equations
A comparative analysis of deep learning models for lung segmentation on X-ray images                                                                                  Bartosz Chrostowski                                                                                  implemenation of A comparative analysis of deep learning models for lung segmentation on X-ray images
A comparative analysis of deep learning models for lung segmentation on X-ray images                                                                                  Jakub Bilski                                                                                  implemenation of A comparative analysis of deep learning models for lung segmentation on X-ray images
A comparative analysis of deep learning models for lung segmentation on X-ray images                                                                                  Jakub Drak Sbahi                                                                                  implemenation of A comparative analysis of deep learning models for lung segmentation on X-ray images
A comparative analysis of deep learning models for lung segmentation on X-ray images                                                                                  Przemysław Biecek                                                                                  implemenation of A comparative analysis of deep learning models for lung segmentation on X-ray images
A comparative analysis of deep learning models for lung segmentation on X-ray images                                                                                  Weronika Hryniewska-Guzik                                                                                  implemenation of A comparative analysis of deep learning models for lung segmentation on X-ray images
A neural network-based approach to hybrid systems identification for control                                                                                  Bartolomeo Stellato                                                                                  implemenation of A neural network-based approach to hybrid systems identification for control
A neural network-based approach to hybrid systems identification for control                                                                                  Filippo Fabiani                                                                                  implemenation of A neural network-based approach to hybrid systems identification for control
A neural network-based approach to hybrid systems identification for control                                                                                  Daniele Masti                                                                                  implemenation of A neural network-based approach to hybrid systems identification for control
A neural network-based approach to hybrid systems identification for control                                                                                  Paul J. Goulart                                                                                  implemenation of A neural network-based approach to hybrid systems identification for control
A novel hybrid time-varying graph neural network for traffic flow forecasting                                                                                  Bao-Lin Ye                                                                                  implemenation of A novel hybrid time-varying graph neural network for traffic flow forecasting
A novel hybrid time-varying graph neural network for traffic flow forecasting                                                                                  Ben Ao Dai                                                                                  implemenation of A novel hybrid time-varying graph neural network for traffic flow forecasting
A physics-informed neural network method for the approximation of slow invariant manifolds for the general class of stiff systems of ODEs                                                                                  Constantinos Siettos                                                                                  implemenation of A physics-informed neural network method for the approximation of slow invariant manifolds for the general class of stiff systems of ODEs
A physics-informed neural network method for the approximation of slow invariant manifolds for the general class of stiff systems of ODEs                                                                                  Lucia Russo                                                                                  implemenation of A physics-informed neural network method for the approximation of slow invariant manifolds for the general class of stiff systems of ODEs
A physics-informed neural network method for the approximation of slow invariant manifolds for the general class of stiff systems of ODEs                                                                                  Dimitrios G. Patsatzis                                                                                  implemenation of A physics-informed neural network method for the approximation of slow invariant manifolds for the general class of stiff systems of ODEs
A two-stage algorithm in evolutionary product unit neural networks for classification                                                                                  Antonio J. Tallón-Ballesteros                                                                                  implemenation of A two-stage algorithm in evolutionary product unit neural networks for classification
A two-stage algorithm in evolutionary product unit neural networks for classification                                                                                  César Hervás-Martínez                                                                                  implemenation of A two-stage algorithm in evolutionary product unit neural networks for classification
ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles                                                                                  Afrina Kabir Zinia                                                                                  implemenation of ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles
ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles                                                                                  Mahedi Kamal                                                                                  implemenation of ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles
ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles                                                                                  Md. Abu Syed                                                                                  implemenation of ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles
ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles                                                                                  Md. Mahbubur Rahman                                                                                  implemenation of ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles
ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles                                                                                  Tasnim Fariha                                                                                  implemenation of ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles
ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles                                                                                  Fahim Hasan Khan                                                                                  implemenation of ANNA: A Deep Learning Based Dataset in Heterogeneous Traffic for Autonomous Vehicles
Accelerated Sampling of Rare Events using a Neural Network Bias Potential                                                                                  Xinru Hua                                                                                  implemenation of Accelerated Sampling of Rare Events using a Neural Network Bias Potential
Accelerated Sampling of Rare Events using a Neural Network Bias Potential                                                                                  Wei Cai                                                                                  implemenation of Accelerated Sampling of Rare Events using a Neural Network Bias Potential
