time  (s)	size (kb)	%mem	%cpu
60	11510368	0.8	24
121	11510468	0.8	38.2
181	11510468	0.8	48
242	11510468	0.8	55
302	11510468	0.8	60.4
362	11510468	0.8	64.6
423	11520752	0.8	67.9
483	11540220	0.8	70.8
544	11540248	0.8	73.1
604	11540276	0.8	75.1
665	11543132	0.8	76.8
725	11543408	0.8	78.3
786	11543896	0.8	79.6
846	11543896	0.8	80.8
907	11543896	0.8	81.7
967	11543896	0.8	82.7
1028	11543900	0.8	83.6
1088	11544192	0.8	84.3
1148	11548016	0.8	85
1209	11552964	0.8	85.6
1269	11557744	0.8	86.2
1330	11563872	0.8	86.7
1390	11576640	0.8	87.1
1450	11580780	0.8	87.6
1511	11580780	0.8	88
1571	11580780	0.8	88.4
1632	11580780	0.8	88.8
1692	11580780	0.8	89.1
1752	11580780	0.8	89.5
1813	11580780	0.8	89.7
1873	11580780	0.8	90
1934	11580780	0.8	90.3
1994	11580780	0.8	90.6
2055	11580780	0.8	90.8
2115	11580780	0.8	91
2176	11580780	0.8	91.2
2236	11580780	0.8	91.5
2297	11580780	0.8	91.6
2357	11580780	0.8	91.8
2418	11580780	0.8	92
2478	11580780	0.8	92.2
2539	11580780	0.8	92.3
2599	11580944	0.8	92.5
2660	11581396	0.8	92.7
2720	11581516	0.8	92.8
2780	11584036	0.8	92.9
2841	11584252	0.8	93.1
2901	11615848	0.8	93.2
2961	11615848	0.8	93.3
3022	11615848	0.8	93.4
3082	11615848	0.8	93.5
3143	11615848	0.8	93.6
3203	11615848	0.8	93.7
3263	11615848	0.8	93.8
3324	11615848	0.8	93.9
3384	11615848	0.8	94
3445	11615848	0.8	94.1
3505	11615848	0.8	94.2
3566	11615848	0.8	94.3
3626	11615848	0.8	94.4
3687	11615848	0.8	94.4
3747	11655196	0.8	94.5
3808	11655196	0.8	94.6
3868	11655196	0.8	94.7
3928	11655196	0.8	94.7
3989	11655196	0.8	94.8
4049	11655196	0.8	94.9
4109	11655196	0.8	94.9
4170	11655200	0.8	95
4230	11657208	0.8	95
