query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out,query_45_time.out,query_46_time.out,query_47_time.out,query_48_time.out,query_49_time.out,query_50_time.out,query_51_time.out,query_52_time.out,query_53_time.out
3587,1447,1784,3761,384734,247,156,3243,2010,8697,6218,3663,1500685,1378367,40158,1952,216711,277,808,58472,77,124,3457,4893,778,1000162,150310,17099,1511,6811,6272,36762,807,836,142073,8938,1087,17083,783,261,1666,2520,54,48491,5042,3079,7463,5958,582,110744,5361,552,587
796,984,2003,3476,358463,227,112,2503,745,527,3320,2176,858251,800620,11642,1380,90350,1797,3032,48417,78,67,1954,1747,798,672656,97302,14160,1532,6262,4802,29334,133,896,96942,8824,513,14482,542,274,1241,2349,74,40010,4331,1916,2734,5004,452,79542,2027,560,561
391,818,3877,4501,363816,203,308,2631,1600,273,3036,792,963225,1084288,23046,1984,225723,243,687,48335,81,66,1591,3098,746,902360,123926,16647,1415,3460,5018,23944,933,636,164907,8556,1559,42413,22641,149,1154,2318,28,240410,11019,2069,7599,4066,359,241235,4344,285,524
301,1090,1759,3438,351769,219,109,2511,680,1456,2423,2068,861317,912706,17224,1220,156113,193,466,52297,144,66,3219,3653,766,747035,109415,17542,1335,7246,5791,26095,120,1149,97502,8611,337,16552,614,257,1158,2129,26,45284,4743,1606,3476,4734,453,83230,1909,455,300
592,493,1720,3177,356105,248,135,2731,774,895,3247,887,703811,863037,19849,3218,111227,373,762,46717,78,54,2889,2235,756,718333,83797,15770,1173,6228,5515,26630,129,755,94171,8535,548,13207,1237,244,1166,2375,58,40802,3901,1843,2925,4591,441,93836,3800,452,544
1859,1305,1726,3349,328108,202,119,2519,700,819,2773,1638,731603,905005,33439,4222,187083,303,1304,51099,100,124,7318,2584,692,1069526,106300,23038,1135,6656,4147,20738,144,2055,131639,8590,427,18738,1672,126,1436,2371,67,52529,4700,1327,5208,3678,432,96685,2851,318,528
354,1700,1730,3209,334867,196,349,2476,459,548,2197,1159,658166,871651,34456,1070,157025,309,1168,57184,121,44,5879,2498,755,1735893,354824,49186,1147,4642,11518,17323,119,354,329301,8200,6991,25394,1064,134,4240,2330,81,64275,6424,2158,5486,4034,438,108330,2681,265,859
573,765,1862,4086,189894,142,83,2226,250,689,2907,1335,635217,738724,14068,1423,73291,561,247,54020,168,172,1066,2621,901,766103,49647,18874,3382,4321,6297,70564,496,1258,141830,10340,251,31054,978,379,1765,3582,187,104594,10541,3330,3899,11585,634,210086,3665,286,639
162,393,1711,2955,182602,150,117,2246,276,280,1586,646,501688,448962,4265,886,30177,115,250,38267,66,32,829,610,679,471610,25826,8953,1012,2826,3610,16525,95,312,36099,7879,68,6848,136,116,979,2020,28,18546,2281,1311,550,2622,347,39846,1107,272,270
162,361,1714,2934,181607,144,471,2223,234,296,1567,417,492474,447971,4265,966,37817,92,314,38413,45,22,762,938,683,474283,28670,8714,1009,2706,3572,24991,71,293,39708,7941,68,6960,121,114,976,1977,33,18632,2266,1391,673,2866,349,39815,1106,269,284






SSP - 1,3,4,8,10,11,17,23,25,33,34,37,39,42,43,46
SSK - 16
SSO - 9,12,18,19,20,21,24,28,31,32,36,38,40
MultiSource - 2,5,6,7,13,14,15,22,26,27,29,30,35,41,44,45,47,48,49,50,51,52,53

SQ - 1,2,3,6,10,12,16,30,33,41
IQ - 4,5,7,8,9,11,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,35,36,37,38,39,40,42,43
CQ - 31,32,34,44,45,46,47,48,49,50,51,52,53





Query ID	Average Time (ms) Standard Deviation (ms) CV
 query_1         877.7   1017.475901 1.16
 query_2         935.6    432.652794 0.46
 query_3        1988.6    635.398489 0.32
 query_4        3488.6    473.901931 0.14
 query_5      303196.5  78945.658960 0.26
 query_6         197.8     38.188480 0.19
 query_7         195.9    125.085131 0.64
 query_8        2530.9    288.168510 0.11
 query_9         772.8    560.224562 0.72
query_10        1448.0   2440.405499 1.69
query_11        2927.4   1247.330045 0.43
query_12        1478.1    916.251106 0.62
query_13      790643.7 277244.026778 0.35
query_14      845133.1 260519.007938 0.31
query_15       20241.2  11885.193215 0.59
query_16        1832.1   1031.612568 0.56
query_17      128551.7  67032.990633 0.52
query_18         426.3    474.104219 1.11
query_19         903.8    789.547820 0.87
query_20       49322.1   6552.950686 0.13
query_21          95.8     35.865861 0.37
query_22          77.1     45.224883 0.59
query_23        2896.4   2088.951996 0.72
query_24        2487.7   1186.710921 0.48
query_25         755.4     62.309229 0.08
query_26      855796.1 347666.818587 0.41
query_27      113001.7  89370.970089 0.79
query_28       18998.3  10859.993398 0.57
query_29        1465.1    664.027627 0.45
query_30        5115.8   1642.638780 0.32
query_31        5654.2   2171.038176 0.38
query_32       29290.6  14842.545443 0.51
query_33         304.7    306.108821 1.00
query_34         854.4    510.934281 0.60
query_35      127417.2  78462.591670 0.62
query_36        8641.4    655.391822 0.08
query_37        1184.9   1984.385822 1.67
query_38       19273.1  10440.043098 0.54
query_39        2978.8   6569.731392 2.21
query_40         205.4     85.449634 0.42
query_41        1578.1    922.486580 0.58
query_42        2397.1    427.071528 0.18
query_43          63.6     45.451513 0.71
query_44       67357.3  62141.863788 0.92
query_45        5524.8   2878.985231 0.52
query_46        2003.0    666.951872 0.33
query_47        4001.3   2337.246245 0.58
query_48        4913.8   2412.587275 0.49
query_49         448.7     89.953377 0.20
query_50      110334.9  62587.904744 0.57
query_51        2885.1   1332.761003 0.46
query_52         371.4    114.441426 0.31
query_53         509.6    173.615207 0.34



category  average_time       std_dev
SSP       9703.2        16872.9270
SSK       1832.1               0  
SSO       10580.738462    6193.9028
MultiSource    141797.469565      113046.4116
SQ           1575.65              1145.8578
IQ         110202.3               98479.1218
CQ       18011.47                 24847.1898
