Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

A Guide to Constraining Effective Field Theories with Machine Learning                                                                                  Gilles Louppe                                                                                  implemenation of A Guide to Constraining Effective Field Theories with Machine Learning
A Guide to Constraining Effective Field Theories with Machine Learning                                                                                  Johann Brehmer                                                                                  implemenation of A Guide to Constraining Effective Field Theories with Machine Learning
A Guide to Constraining Effective Field Theories with Machine Learning                                                                                  Juan Pavez                                                                                  implemenation of A Guide to Constraining Effective Field Theories with Machine Learning
A Guide to Constraining Effective Field Theories with Machine Learning                                                                                  Kyle Cranmer                                                                                  implemenation of A Guide to Constraining Effective Field Theories with Machine Learning
Active Learning for Convolutional Neural Networks: A Core-Set Approach                                                                                  Ozan Sener                                                                                  implemenation of Active Learning for Convolutional Neural Networks: A Core-Set Approach
Active Learning for Convolutional Neural Networks: A Core-Set Approach                                                                                  Silvio Savarese                                                                                  implemenation of Active Learning for Convolutional Neural Networks: A Core-Set Approach
Algorithms for Semantic Segmentation of Multispectral Remote Sensing Imagery using Deep Learning                                                                                  Ronald Kemker                                                                                  implemenation of Algorithms for Semantic Segmentation of Multispectral Remote Sensing Imagery using Deep Learning
Algorithms for Semantic Segmentation of Multispectral Remote Sensing Imagery using Deep Learning                                                                                  Carl Salvaggio                                                                                  implemenation of Algorithms for Semantic Segmentation of Multispectral Remote Sensing Imagery using Deep Learning
Algorithms for Semantic Segmentation of Multispectral Remote Sensing Imagery using Deep Learning                                                                                  Christopher Kanan                                                                                  implemenation of Algorithms for Semantic Segmentation of Multispectral Remote Sensing Imagery using Deep Learning
An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification                                                                                  Shiwen Shen                                                                                  implemenation of An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification
An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification                                                                                  Alex A. T. Bui                                                                                  implemenation of An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification
An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification                                                                                  Denise R. Aberle                                                                                  implemenation of An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification
An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification                                                                                  Simon X. Han                                                                                  implemenation of An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification
An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification                                                                                  Willliam Hsu                                                                                  implemenation of An Interpretable Deep Hierarchical Semantic Convolutional Neural Network for Lung Nodule Malignancy Classification
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Cho-Jui Hsieh                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Jin-Feng Yi                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Pin-Yu Chen                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Chun-Chen Tu                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Pai-Shun Ting                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Shin-Ming Cheng                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  Sijia Liu                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks                                                                                  huan zhang                                                                                  implemenation of AutoZOOM: Autoencoder-based Zeroth Order Optimization Method for Attacking Black-box Neural Networks
A Neural Network Architecture Combining Gated Recurrent Unit (GRU) and Support Vector Machine (SVM) for Intrusion Detection in Network Traffic Data                                                                                  Abien Fred Agarap                                                                                  implemenation of A Neural Network Architecture Combining Gated Recurrent Unit (GRU) and Support Vector Machine (SVM) for Intrusion Detection in Network Traffic Data
A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction                                                                                  Shamil Chollampatt                                                                                  implemenation of A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction
A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction                                                                                  Hwee Tou Ng                                                                                  implemenation of A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction
A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series                                                                                  Alexandre Gramfort                                                                                  implemenation of A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series
A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series                                                                                  Gilles Wainrib                                                                                  implemenation of A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series
A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series                                                                                  Mathieu Galtier                                                                                  implemenation of A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series
A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series                                                                                  Pierrick Arnal                                                                                  implemenation of A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series
A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series                                                                                  Stanislas Chambon                                                                                  implemenation of A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series
A guide to convolution arithmetic for deep learning                                                                                  Vincent Dumoulin                                                                                  implemenation of A guide to convolution arithmetic for deep learning
A guide to convolution arithmetic for deep learning                                                                                  Francesco Visin                                                                                  implemenation of A guide to convolution arithmetic for deep learning
An Architecture Combining Convolutional Neural Network (CNN) and Support Vector Machine (SVM) for Image Classification                                                                                  Abien Fred Agarap                                                                                  implemenation of An Architecture Combining Convolutional Neural Network (CNN) and Support Vector Machine (SVM) for Image Classification
A Theoretically Grounded Application of Dropout in Recurrent Neural Networks                                                                                  Yarin Gal                                                                                  implemenation of A Theoretically Grounded Application of Dropout in Recurrent Neural Networks
A Theoretically Grounded Application of Dropout in Recurrent Neural Networks                                                                                  Zoubin Ghahramani                                                                                  implemenation of A Theoretically Grounded Application of Dropout in Recurrent Neural Networks
ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs                                                                                  Bing Xiang                                                                                  implemenation of ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs
ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs                                                                                  Bo-Wen Zhou                                                                                  implemenation of ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs
ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs                                                                                  Hinrich Schütze                                                                                  implemenation of ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs
ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs                                                                                  Wenpeng Yin                                                                                  implemenation of ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs
About Pyramid Structure in Convolutional Neural Networks                                                                                  Alfredo Petrosino                                                                                  implemenation of About Pyramid Structure in Convolutional Neural Networks
About Pyramid Structure in Convolutional Neural Networks                                                                                  Ihsan Ullah                                                                                  implemenation of About Pyramid Structure in Convolutional Neural Networks
A Primer on Neural Network Models for Natural Language Processing                                                                                  Yoav Goldberg                                                                                  implemenation of A Primer on Neural Network Models for Natural Language Processing
A Comprehensive guide to Bayesian Convolutional Neural Network with Variational Inference                                                                                  Felix Laumann                                                                                  implemenation of A Comprehensive guide to Bayesian Convolutional Neural Network with Variational Inference
A Comprehensive guide to Bayesian Convolutional Neural Network with Variational Inference                                                                                  Marcus Liwicki                                                                                  implemenation of A Comprehensive guide to Bayesian Convolutional Neural Network with Variational Inference
A Comprehensive guide to Bayesian Convolutional Neural Network with Variational Inference                                                                                  Kumar Shridhar                                                                                  implemenation of A Comprehensive guide to Bayesian Convolutional Neural Network with Variational Inference
A Brain-inspired Algorithm for Training Highly Sparse Neural Networks                                                                                  Mykola Pechenizkiy                                                                                  implemenation of A Brain-inspired Algorithm for Training Highly Sparse Neural Networks
A Brain-inspired Algorithm for Training Highly Sparse Neural Networks                                                                                  Raymond Veldhuis                                                                                  implemenation of A Brain-inspired Algorithm for Training Highly Sparse Neural Networks
A Brain-inspired Algorithm for Training Highly Sparse Neural Networks                                                                                  Joost Pieterse                                                                                  implemenation of A Brain-inspired Algorithm for Training Highly Sparse Neural Networks
A Brain-inspired Algorithm for Training Highly Sparse Neural Networks                                                                                  Zahra Atashgahi                                                                                  implemenation of A Brain-inspired Algorithm for Training Highly Sparse Neural Networks
A Brain-inspired Algorithm for Training Highly Sparse Neural Networks                                                                                  Decebal Constantin Mocanu                                                                                  implemenation of A Brain-inspired Algorithm for Training Highly Sparse Neural Networks
A Brain-inspired Algorithm for Training Highly Sparse Neural Networks                                                                                  Shiwei Liu                                                                                  implemenation of A Brain-inspired Algorithm for Training Highly Sparse Neural Networks
An Integrated Multi-Time-Scale Modeling for Solar Irradiance Forecasting Using Deep Learning                                                                                  Praveen Palanisamy                                                                                  implemenation of An Integrated Multi-Time-Scale Modeling for Solar Irradiance Forecasting Using Deep Learning
An Integrated Multi-Time-Scale Modeling for Solar Irradiance Forecasting Using Deep Learning                                                                                  Sakshi Mishra                                                                                  implemenation of An Integrated Multi-Time-Scale Modeling for Solar Irradiance Forecasting Using Deep Learning
A Rate-Distortion Framework for Explaining Neural Network Decisions                                                                                  Gitta Kutyniok                                                                                  implemenation of A Rate-Distortion Framework for Explaining Neural Network Decisions
A Rate-Distortion Framework for Explaining Neural Network Decisions                                                                                  Jan Macdonald                                                                                  implemenation of A Rate-Distortion Framework for Explaining Neural Network Decisions
A Rate-Distortion Framework for Explaining Neural Network Decisions                                                                                  Stephan Wäldchen                                                                                  implemenation of A Rate-Distortion Framework for Explaining Neural Network Decisions
A Rate-Distortion Framework for Explaining Neural Network Decisions                                                                                  Sascha Hauch                                                                                  implemenation of A Rate-Distortion Framework for Explaining Neural Network Decisions
Accuracy Improvement of Neural Network Training using Particle Swarm Optimization and its Stability Analysis for Classification                                                                                  Arijit Nandi                                                                                  implemenation of Accuracy Improvement of Neural Network Training using Particle Swarm Optimization and its Stability Analysis for Classification
Accuracy Improvement of Neural Network Training using Particle Swarm Optimization and its Stability Analysis for Classification                                                                                  Nanda Dulal Jana                                                                                  implemenation of Accuracy Improvement of Neural Network Training using Particle Swarm Optimization and its Stability Analysis for Classification
ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands                                                                                  Zhangyang Wang                                                                                  implemenation of ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands
ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands                                                                                  Julie Loisel                                                                                  implemenation of ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands
ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands                                                                                  Kate Von Ness                                                                                  implemenation of ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands
ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands                                                                                  Ziyu Jiang                                                                                  implemenation of ArcticNet: A Deep Learning Solution to Classify Arctic Wetlands
AutoAssist: A Framework to Accelerate Training of Deep Neural Networks                                                                                  Inderjit S. Dhillon                                                                                  implemenation of AutoAssist: A Framework to Accelerate Training of Deep Neural Networks
AutoAssist: A Framework to Accelerate Training of Deep Neural Networks                                                                                  Jiong Zhang                                                                                  implemenation of AutoAssist: A Framework to Accelerate Training of Deep Neural Networks
AutoAssist: A Framework to Accelerate Training of Deep Neural Networks                                                                                  Hsiang-Fu Yu                                                                                  implemenation of AutoAssist: A Framework to Accelerate Training of Deep Neural Networks
Automated Machine Learning: State-of-The-Art and Open Challenges                                                                                  Mohamed Maher                                                                                  implemenation of Automated Machine Learning: State-of-The-Art and Open Challenges
Automated Machine Learning: State-of-The-Art and Open Challenges                                                                                  Radwa Elshawi                                                                                  implemenation of Automated Machine Learning: State-of-The-Art and Open Challenges
Automated Machine Learning: State-of-The-Art and Open Challenges                                                                                  Sherif Sakr                                                                                  implemenation of Automated Machine Learning: State-of-The-Art and Open Challenges
A Graph Neural Network Approach for Scalable Wireless Power Control                                                                                  Jun Zhang                                                                                  implemenation of A Graph Neural Network Approach for Scalable Wireless Power Control
A Graph Neural Network Approach for Scalable Wireless Power Control                                                                                  Yuanming Shi                                                                                  implemenation of A Graph Neural Network Approach for Scalable Wireless Power Control
A Graph Neural Network Approach for Scalable Wireless Power Control                                                                                  Khaled B. Letaief                                                                                  implemenation of A Graph Neural Network Approach for Scalable Wireless Power Control
A Graph Neural Network Approach for Scalable Wireless Power Control                                                                                  Yifei Shen                                                                                  implemenation of A Graph Neural Network Approach for Scalable Wireless Power Control
AMI-Net+: A Novel Multi-Instance Neural Network for Medical Diagnosis from Incomplete and Imbalanced Data                                                                                  Simon Poon                                                                                  implemenation of AMI-Net+: A Novel Multi-Instance Neural Network for Medical Diagnosis from Incomplete and Imbalanced Data
AMI-Net+: A Novel Multi-Instance Neural Network for Medical Diagnosis from Incomplete and Imbalanced Data                                                                                  Josiah Poon                                                                                  implemenation of AMI-Net+: A Novel Multi-Instance Neural Network for Medical Diagnosis from Incomplete and Imbalanced Data
