Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_6.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
taskName                                                                          datasetName
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

18ProductivityPrediction                                                                                  18ProductivityPrediction
18ProductivityPrediction                                                                                  18ProductivityPrediction
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1DUltrasoundMuscleContractionData                                                                                  1DUltrasoundMuscleContractionData
1m                                                                                  1m
1m                                                                                  1m
1m                                                                                  1m
1m                                                                                  1m
1m                                                                                  1m
1m                                                                                  1m
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
20_newsgroups.drift                                                                                  20_newsgroups.drift
