Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_31.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                frequency
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_677                                                                                  FCFP6_1024_677 number of missing values                                                                                  1083
FCFP6_1024_354                                                                                  FCFP6_1024_354 data-type                                                                                  1083
FCFP6_1024_979                                                                                  FCFP6_1024_979 number of missing values                                                                                  1083
FCFP6_1024_170                                                                                  FCFP6_1024_170 number of missing values                                                                                  1083
FCFP6_1024_702                                                                                  FCFP6_1024_702 number of missing values                                                                                  1083
FCFP6_1024_439                                                                                  FCFP6_1024_439 data-type                                                                                  1083
FCFP6_1024_1013                                                                                  FCFP6_1024_1013 number of missing values                                                                                  1083
FCFP6_1024_886                                                                                  FCFP6_1024_886 number of missing values                                                                                  1083
FCFP6_1024_38                                                                                  FCFP6_1024_38 number of missing values                                                                                  1083
FCFP6_1024_453                                                                                  FCFP6_1024_453 data-type                                                                                  1083
FCFP6_1024_474                                                                                  FCFP6_1024_474 number of missing values                                                                                  1083
FCFP6_1024_65                                                                                  FCFP6_1024_65 number of missing values                                                                                  1083
FCFP6_1024_835                                                                                  FCFP6_1024_835 data-type                                                                                  1083
FCFP6_1024_12                                                                                  FCFP6_1024_12 number of missing values                                                                                  1083
FCFP6_1024_107                                                                                  FCFP6_1024_107 number of missing values                                                                                  1083
FCFP6_1024_396                                                                                  FCFP6_1024_396 data-type                                                                                  1083
FCFP6_1024_619                                                                                  FCFP6_1024_619 data-type                                                                                  1083
FCFP6_1024_1021                                                                                  FCFP6_1024_1021 data-type                                                                                  1083
FCFP6_1024_149                                                                                  FCFP6_1024_149 number of missing values                                                                                  1083
FCFP6_1024_998                                                                                  FCFP6_1024_998 data-type                                                                                  1083
FCFP6_1024_535                                                                                  FCFP6_1024_535 data-type                                                                                  1083
FCFP6_1024_562                                                                                  FCFP6_1024_562 data-type                                                                                  1083
FCFP6_1024_684                                                                                  FCFP6_1024_684 data-type                                                                                  1083
FCFP6_1024_963                                                                                  FCFP6_1024_963 data-type                                                                                  1083
FCFP6_1024_205                                                                                  FCFP6_1024_205 number of missing values                                                                                  1083
FCFP6_1024_869                                                                                  FCFP6_1024_869 data-type                                                                                  1083
FCFP6_1024_328                                                                                  FCFP6_1024_328 number of missing values                                                                                  1083
FCFP6_1024_598                                                                                  FCFP6_1024_598 number of missing values                                                                                  1083
FCFP6_1024_116                                                                                  FCFP6_1024_116 number of missing values                                                                                  1083
FCFP6_1024_818                                                                                  FCFP6_1024_818 data-type                                                                                  1083
FCFP6_1024_431                                                                                  FCFP6_1024_431 number of missing values                                                                                  1083
FCFP6_1024_986                                                                                  FCFP6_1024_986 number of missing values                                                                                  1083
FCFP6_1024_839                                                                                  FCFP6_1024_839 data-type                                                                                  1083
FCFP6_1024_957                                                                                  FCFP6_1024_957 data-type                                                                                  1083
FCFP6_1024_995                                                                                  FCFP6_1024_995 data-type                                                                                  1083
FCFP6_1024_526                                                                                  FCFP6_1024_526 data-type                                                                                  1083
FCFP6_1024_806                                                                                  FCFP6_1024_806 data-type                                                                                  1083
FCFP6_1024_335                                                                                  FCFP6_1024_335 number of missing values                                                                                  1083
FCFP6_1024_308                                                                                  FCFP6_1024_308 data-type                                                                                  1083
FCFP6_1024_765                                                                                  FCFP6_1024_765 number of missing values                                                                                  1083
FCFP6_1024_346                                                                                  FCFP6_1024_346 data-type                                                                                  1083
FCFP6_1024_880                                                                                  FCFP6_1024_880 number of missing values                                                                                  1083
FCFP6_1024_659                                                                                  FCFP6_1024_659 data-type                                                                                  1083
FCFP6_1024_346                                                                                  FCFP6_1024_346 number of missing values                                                                                  1083
FCFP6_1024_784                                                                                  FCFP6_1024_784 data-type                                                                                  1083
FCFP6_1024_222                                                                                  FCFP6_1024_222 data-type                                                                                  1083
FCFP6_1024_339                                                                                  FCFP6_1024_339 number of missing values                                                                                  1083
FCFP6_1024_45                                                                                  FCFP6_1024_45 number of missing values                                                                                  1083
FCFP6_1024_382                                                                                  FCFP6_1024_382 data-type                                                                                  1083
FCFP6_1024_212                                                                                  FCFP6_1024_212 data-type                                                                                  1083
FCFP6_1024_432                                                                                  FCFP6_1024_432 data-type                                                                                  1083
FCFP6_1024_222                                                                                  FCFP6_1024_222 number of missing values                                                                                  1083
FCFP6_1024_825                                                                                  FCFP6_1024_825 number of missing values                                                                                  1083
FCFP6_1024_812                                                                                  FCFP6_1024_812 data-type                                                                                  1083
FCFP6_1024_740                                                                                  FCFP6_1024_740 number of missing values                                                                                  1083
FCFP6_1024_364                                                                                  FCFP6_1024_364 number of missing values                                                                                  1083
FCFP6_1024_401                                                                                  FCFP6_1024_401 data-type                                                                                  1083
FCFP6_1024_294                                                                                  FCFP6_1024_294 data-type                                                                                  1083
FCFP6_1024_669                                                                                  FCFP6_1024_669 number of missing values                                                                                  1083
FCFP6_1024_496                                                                                  FCFP6_1024_496 number of missing values                                                                                  1083
FCFP6_1024_531                                                                                  FCFP6_1024_531 data-type                                                                                  1083
FCFP6_1024_117                                                                                  FCFP6_1024_117 number of missing values                                                                                  1083
FCFP6_1024_260                                                                                  FCFP6_1024_260 data-type                                                                                  1083
FCFP6_1024_251                                                                                  FCFP6_1024_251 data-type                                                                                  1083
FCFP6_1024_826                                                                                  FCFP6_1024_826 data-type                                                                                  1083
FCFP6_1024_818                                                                                  FCFP6_1024_818 number of missing values                                                                                  1083
FCFP6_1024_262                                                                                  FCFP6_1024_262 number of missing values                                                                                  1083
FCFP6_1024_424                                                                                  FCFP6_1024_424 number of missing values                                                                                  1083
FCFP6_1024_505                                                                                  FCFP6_1024_505 data-type                                                                                  1083
FCFP6_1024_61                                                                                  FCFP6_1024_61 data-type                                                                                  1083
FCFP6_1024_449                                                                                  FCFP6_1024_449 number of missing values                                                                                  1083
FCFP6_1024_537                                                                                  FCFP6_1024_537 number of missing values                                                                                  1083
FCFP6_1024_545                                                                                  FCFP6_1024_545 data-type                                                                                  1083
FCFP6_1024_287                                                                                  FCFP6_1024_287 data-type                                                                                  1083
FCFP6_1024_1012                                                                                  FCFP6_1024_1012 data-type                                                                                  1083
FCFP6_1024_878                                                                                  FCFP6_1024_878 number of missing values                                                                                  1083
FCFP6_1024_977                                                                                  FCFP6_1024_977 data-type                                                                                  1083
FCFP6_1024_911                                                                                  FCFP6_1024_911 number of missing values                                                                                  1083
FCFP6_1024_643                                                                                  FCFP6_1024_643 data-type                                                                                  1083
FCFP6_1024_173                                                                                  FCFP6_1024_173 data-type                                                                                  1083
FCFP6_1024_882                                                                                  FCFP6_1024_882 number of missing values                                                                                  1083
FCFP6_1024_997                                                                                  FCFP6_1024_997 number of missing values                                                                                  1083
FCFP6_1024_646                                                                                  FCFP6_1024_646 number of missing values                                                                                  1083
FCFP6_1024_847                                                                                  FCFP6_1024_847 number of missing values                                                                                  1083
FCFP6_1024_945                                                                                  FCFP6_1024_945 number of missing values                                                                                  1083
FCFP6_1024_719                                                                                  FCFP6_1024_719 data-type                                                                                  1083
FCFP6_1024_772                                                                                  FCFP6_1024_772 number of missing values                                                                                  1083
FCFP6_1024_591                                                                                  FCFP6_1024_591 data-type                                                                                  1083
FCFP6_1024_680                                                                                  FCFP6_1024_680 data-type                                                                                  1083
FCFP6_1024_512                                                                                  FCFP6_1024_512 number of missing values                                                                                  1083
FCFP6_1024_347                                                                                  FCFP6_1024_347 number of missing values                                                                                  1083
FCFP6_1024_791                                                                                  FCFP6_1024_791 data-type                                                                                  1083
FCFP6_1024_176                                                                                  FCFP6_1024_176 number of missing values                                                                                  1083
FCFP6_1024_989                                                                                  FCFP6_1024_989 number of missing values                                                                                  1083
FCFP6_1024_337                                                                                  FCFP6_1024_337 data-type                                                                                  1083
FCFP6_1024_580                                                                                  FCFP6_1024_580 data-type                                                                                  1083
FCFP6_1024_395                                                                                  FCFP6_1024_395 number of missing values                                                                                  1083
FCFP6_1024_471                                                                                  FCFP6_1024_471 number of missing values                                                                                  1083
FCFP6_1024_245                                                                                  FCFP6_1024_245 data-type                                                                                  1083
FCFP6_1024_952                                                                                  FCFP6_1024_952 data-type                                                                                  1083
FCFP6_1024_176                                                                                  FCFP6_1024_176 data-type                                                                                  1083
FCFP6_1024_759                                                                                  FCFP6_1024_759 data-type                                                                                  1083
FCFP6_1024_657                                                                                  FCFP6_1024_657 number of missing values                                                                                  1083
FCFP6_1024_281                                                                                  FCFP6_1024_281 number of missing values                                                                                  1083
FCFP6_1024_943                                                                                  FCFP6_1024_943 number of missing values                                                                                  1083
FCFP6_1024_1003                                                                                  FCFP6_1024_1003 number of missing values                                                                                  1083
FCFP6_1024_262                                                                                  FCFP6_1024_262 data-type                                                                                  1083
FCFP6_1024_417                                                                                  FCFP6_1024_417 number of missing values                                                                                  1083
FCFP6_1024_313                                                                                  FCFP6_1024_313 number of missing values                                                                                  1083
FCFP6_1024_466                                                                                  FCFP6_1024_466 data-type                                                                                  1083
FCFP6_1024_810                                                                                  FCFP6_1024_810 number of missing values                                                                                  1083
FCFP6_1024_318                                                                                  FCFP6_1024_318 data-type                                                                                  1083
FCFP6_1024_955                                                                                  FCFP6_1024_955 data-type                                                                                  1083
FCFP6_1024_1009                                                                                  FCFP6_1024_1009 number of missing values                                                                                  1083
FCFP6_1024_852                                                                                  FCFP6_1024_852 number of missing values                                                                                  1083
FCFP6_1024_965                                                                                  FCFP6_1024_965 number of missing values                                                                                  1083
FCFP6_1024_907                                                                                  FCFP6_1024_907 data-type                                                                                  1083
FCFP6_1024_603                                                                                  FCFP6_1024_603 number of missing values                                                                                  1083
FCFP6_1024_687                                                                                  FCFP6_1024_687 number of missing values                                                                                  1083
FCFP6_1024_835                                                                                  FCFP6_1024_835 number of missing values                                                                                  1083
FCFP6_1024_742                                                                                  FCFP6_1024_742 data-type                                                                                  1083
FCFP6_1024_813                                                                                  FCFP6_1024_813 number of missing values                                                                                  1083
FCFP6_1024_409                                                                                  FCFP6_1024_409 data-type                                                                                  1083
FCFP6_1024_135                                                                                  FCFP6_1024_135 number of missing values                                                                                  1083
FCFP6_1024_503                                                                                  FCFP6_1024_503 data-type                                                                                  1083
FCFP6_1024_599                                                                                  FCFP6_1024_599 number of missing values                                                                                  1083
FCFP6_1024_76                                                                                  FCFP6_1024_76 data-type                                                                                  1083
FCFP6_1024_955                                                                                  FCFP6_1024_955 number of missing values                                                                                  1083
FCFP6_1024_920                                                                                  FCFP6_1024_920 data-type                                                                                  1083
FCFP6_1024_356                                                                                  FCFP6_1024_356 data-type                                                                                  1083
FCFP6_1024_645                                                                                  FCFP6_1024_645 number of missing values                                                                                  1083
FCFP6_1024_5                                                                                  FCFP6_1024_5 data-type                                                                                  1083
FCFP6_1024_78                                                                                  FCFP6_1024_78 data-type                                                                                  1083
FCFP6_1024_296                                                                                  FCFP6_1024_296 data-type                                                                                  1083
FCFP6_1024_108                                                                                  FCFP6_1024_108 data-type                                                                                  1083
FCFP6_1024_864                                                                                  FCFP6_1024_864 data-type                                                                                  1083
FCFP6_1024_254                                                                                  FCFP6_1024_254 data-type                                                                                  1083
FCFP6_1024_310                                                                                  FCFP6_1024_310 number of missing values                                                                                  1083
FCFP6_1024_295                                                                                  FCFP6_1024_295 number of missing values                                                                                  1083
FCFP6_1024_1                                                                                  FCFP6_1024_1 data-type                                                                                  1083
FCFP6_1024_287                                                                                  FCFP6_1024_287 number of missing values                                                                                  1083
FCFP6_1024_748                                                                                  FCFP6_1024_748 data-type                                                                                  1083
FCFP6_1024_985                                                                                  FCFP6_1024_985 data-type                                                                                  1083
FCFP6_1024_474                                                                                  FCFP6_1024_474 data-type                                                                                  1083
FCFP6_1024_508                                                                                  FCFP6_1024_508 data-type                                                                                  1083
FCFP6_1024_473                                                                                  FCFP6_1024_473 data-type                                                                                  1083
FCFP6_1024_766                                                                                  FCFP6_1024_766 data-type                                                                                  1083
FCFP6_1024_662                                                                                  FCFP6_1024_662 number of missing values                                                                                  1083
FCFP6_1024_50                                                                                  FCFP6_1024_50 data-type                                                                                  1083
FCFP6_1024_111                                                                                  FCFP6_1024_111 number of missing values                                                                                  1083
FCFP6_1024_298                                                                                  FCFP6_1024_298 data-type                                                                                  1083
FCFP6_1024_350                                                                                  FCFP6_1024_350 number of missing values                                                                                  1083
FCFP6_1024_731                                                                                  FCFP6_1024_731 data-type                                                                                  1083
FCFP6_1024_914                                                                                  FCFP6_1024_914 number of missing values                                                                                  1083
FCFP6_1024_916                                                                                  FCFP6_1024_916 data-type                                                                                  1083
FCFP6_1024_203                                                                                  FCFP6_1024_203 data-type                                                                                  1083
FCFP6_1024_683                                                                                  FCFP6_1024_683 data-type                                                                                  1083
FCFP6_1024_683                                                                                  FCFP6_1024_683 number of missing values                                                                                  1083
FCFP6_1024_14                                                                                  FCFP6_1024_14 data-type                                                                                  1083
FCFP6_1024_515                                                                                  FCFP6_1024_515 number of missing values                                                                                  1083
FCFP6_1024_121                                                                                  FCFP6_1024_121 number of missing values                                                                                  1083
FCFP6_1024_138                                                                                  FCFP6_1024_138 number of missing values                                                                                  1083
FCFP6_1024_678                                                                                  FCFP6_1024_678 number of missing values                                                                                  1083
FCFP6_1024_249                                                                                  FCFP6_1024_249 data-type                                                                                  1083
FCFP6_1024_699                                                                                  FCFP6_1024_699 data-type                                                                                  1083
FCFP6_1024_349                                                                                  FCFP6_1024_349 data-type                                                                                  1083
FCFP6_1024_428                                                                                  FCFP6_1024_428 number of missing values                                                                                  1083
FCFP6_1024_982                                                                                  FCFP6_1024_982 data-type                                                                                  1083
FCFP6_1024_141                                                                                  FCFP6_1024_141 number of missing values                                                                                  1083
FCFP6_1024_639                                                                                  FCFP6_1024_639 data-type                                                                                  1083
FCFP6_1024_355                                                                                  FCFP6_1024_355 number of missing values                                                                                  1083
FCFP6_1024_729                                                                                  FCFP6_1024_729 number of missing values                                                                                  1083
FCFP6_1024_329                                                                                  FCFP6_1024_329 data-type                                                                                  1083
FCFP6_1024_102                                                                                  FCFP6_1024_102 number of missing values                                                                                  1083
FCFP6_1024_856                                                                                  FCFP6_1024_856 number of missing values                                                                                  1083
FCFP6_1024_770                                                                                  FCFP6_1024_770 number of missing values                                                                                  1083
