Result of /data/leuven/370/vsc37064/new_queries/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

A Study of Bayesian Neural Network Surrogates for Bayesian Optimization                                                                                  Andrew Gordon Wilson                                                                                  implemenation of A Study of Bayesian Neural Network Surrogates for Bayesian Optimization
A Study of Bayesian Neural Network Surrogates for Bayesian Optimization                                                                                  Yucen Lily Li                                                                                  implemenation of A Study of Bayesian Neural Network Surrogates for Bayesian Optimization
A Study of Bayesian Neural Network Surrogates for Bayesian Optimization                                                                                  Tim G. J. Rudner                                                                                  implemenation of A Study of Bayesian Neural Network Surrogates for Bayesian Optimization
2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning                                                                                  David Picard                                                                                  implemenation of 2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning
2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning                                                                                  Diogo C. Luvizon                                                                                  implemenation of 2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning
2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning                                                                                  Hedi Tabia                                                                                  implemenation of 2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning
A Polynomial-Based Approach for Architectural Design and Learning with Deep Neural Networks                                                                                  Clayton G. Webster                                                                                  implemenation of A Polynomial-Based Approach for Architectural Design and Learning with Deep Neural Networks
A Polynomial-Based Approach for Architectural Design and Learning with Deep Neural Networks                                                                                  Joseph Daws Jr.                                                                                  implemenation of A Polynomial-Based Approach for Architectural Design and Learning with Deep Neural Networks
A feedforward neural network for modelling of average pressure frequency response                                                                                  Andrey Karzhou                                                                                  implemenation of A feedforward neural network for modelling of average pressure frequency response
A feedforward neural network for modelling of average pressure frequency response                                                                                  Klas Pettersson                                                                                  implemenation of A feedforward neural network for modelling of average pressure frequency response
A feedforward neural network for modelling of average pressure frequency response                                                                                  Irina Pettersson                                                                                  implemenation of A feedforward neural network for modelling of average pressure frequency response
ALReLU: A different approach on Leaky ReLU activation function to improve Neural Networks Performance                                                                                  Stamatis Mastromichalakis                                                                                  implemenation of ALReLU: A different approach on Leaky ReLU activation function to improve Neural Networks Performance
Addressing machine learning concept drift reveals declining vaccine sentiment during the COVID-19 pandemic                                                                                  Marcel Salathé                                                                                  implemenation of Addressing machine learning concept drift reveals declining vaccine sentiment during the COVID-19 pandemic
Addressing machine learning concept drift reveals declining vaccine sentiment during the COVID-19 pandemic                                                                                  Martin Müller                                                                                  implemenation of Addressing machine learning concept drift reveals declining vaccine sentiment during the COVID-19 pandemic
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  DaCheng Tao                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Jing Zhang                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Wenqi Ren                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Yuan Cao                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Jun Zhang                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Xiaofeng Cong                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Jiuxin Cao                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning                                                                                  Jie Gui                                                                                  implemenation of A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain                                                                                  Jia Li                                                                                  implemenation of Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain                                                                                  Li Ma                                                                                  implemenation of Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain                                                                                  Yonghong Tian                                                                                  implemenation of Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain                                                                                  Guangyao Chen                                                                                  implemenation of Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain                                                                                  Peixi Peng                                                                                  implemenation of Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain                                                                                  Lin Du                                                                                  implemenation of Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Zhen Huang                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Houqiang Li                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Jianqiang Huang                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Xian-Sheng Hua                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Xinmei Tian                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Dixiu Xue                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
3D Local Convolutional Neural Networks for Gait Recognition                                                                                  Xu Shen                                                                                  implemenation of 3D Local Convolutional Neural Networks for Gait Recognition
A Machine Learning Approach for Employee Retention Prediction                                                                                  Mr. Majwega Jackson and Dr. Md. Golam Rabiul Alam                                                                                  implemenation of A Machine Learning Approach for Employee Retention Prediction
A Machine Learning Approach for Employee Retention Prediction                                                                                  Mr. Ggaliwango Marvin                                                                                  implemenation of A Machine Learning Approach for Employee Retention Prediction
Action detection using a neural network elucidates the genetics of mouse grooming behavior                                                                                  Gautam Sabnis                                                                                  implemenation of Action detection using a neural network elucidates the genetics of mouse grooming behavior
Action detection using a neural network elucidates the genetics of mouse grooming behavior                                                                                  Vivek M Philip                                                                                  implemenation of Action detection using a neural network elucidates the genetics of mouse grooming behavior
Action detection using a neural network elucidates the genetics of mouse grooming behavior                                                                                  Hao He                                                                                  implemenation of Action detection using a neural network elucidates the genetics of mouse grooming behavior
Action detection using a neural network elucidates the genetics of mouse grooming behavior                                                                                  Vivek Kumar                                                                                  implemenation of Action detection using a neural network elucidates the genetics of mouse grooming behavior
Action detection using a neural network elucidates the genetics of mouse grooming behavior                                                                                  Asaf Peer                                                                                  implemenation of Action detection using a neural network elucidates the genetics of mouse grooming behavior
Action detection using a neural network elucidates the genetics of mouse grooming behavior                                                                                  Brian Q Geuther                                                                                  implemenation of Action detection using a neural network elucidates the genetics of mouse grooming behavior
A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images                                                                                  FAIZAN AHMED                                                                                  implemenation of A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images
A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images                                                                                  SYED AHMAD CHAN BUKHARI                                                                                  implemenation of A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images
A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images                                                                                  FAZEL KESHTKAR                                                                                  implemenation of A Deep Learning Approach for COVID-19 & Viral Pneumonia Screening with X-ray Images
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Diandian Chen                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Keith M. Chugg                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Peter A. Beerel                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Kuan-Wen Huang                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Sourya Dey                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Souvik Kundu                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A Highly Parallel FPGA Implementation of Sparse Neural Network Training                                                                                  Zongyang Li                                                                                  implemenation of A Highly Parallel FPGA Implementation of Sparse Neural Network Training
A deep learning architecture to detect events in EEG signals during sleep                                                                                  Alexandre Gramfort                                                                                  implemenation of A deep learning architecture to detect events in EEG signals during sleep
A deep learning architecture to detect events in EEG signals during sleep                                                                                  Pierrick J. Arnal                                                                                  implemenation of A deep learning architecture to detect events in EEG signals during sleep
A deep learning architecture to detect events in EEG signals during sleep                                                                                  Valentin Thorey                                                                                  implemenation of A deep learning architecture to detect events in EEG signals during sleep
A deep learning architecture to detect events in EEG signals during sleep                                                                                  Stanislas Chambon                                                                                  implemenation of A deep learning architecture to detect events in EEG signals during sleep
A deep learning architecture to detect events in EEG signals during sleep                                                                                  Emmanuel Mignot                                                                                  implemenation of A deep learning architecture to detect events in EEG signals during sleep
3D Deep Learning on Medical Images: A Review                                                                                  Balázs Gulyás                                                                                  implemenation of 3D Deep Learning on Medical Images: A Review
3D Deep Learning on Medical Images: A Review                                                                                  Haveesh Goli                                                                                  implemenation of 3D Deep Learning on Medical Images: A Review
3D Deep Learning on Medical Images: A Review                                                                                  Satya P. Singh                                                                                  implemenation of 3D Deep Learning on Medical Images: A Review
3D Deep Learning on Medical Images: A Review                                                                                  Parasuraman Padmanabhan                                                                                  implemenation of 3D Deep Learning on Medical Images: A Review
3D Deep Learning on Medical Images: A Review                                                                                  Sukrit Gupta                                                                                  implemenation of 3D Deep Learning on Medical Images: A Review
3D Deep Learning on Medical Images: A Review                                                                                  Lipo Wang                                                                                  implemenation of 3D Deep Learning on Medical Images: A Review
A Machine Learning alternative to placebo-controlled clinical trials upon new diseases: A primer                                                                                  Ezequiel Alvarez                                                                                  implemenation of A Machine Learning alternative to placebo-controlled clinical trials upon new diseases: A primer
A Machine Learning alternative to placebo-controlled clinical trials upon new diseases: A primer                                                                                  Manuel Szewc                                                                                  implemenation of A Machine Learning alternative to placebo-controlled clinical trials upon new diseases: A primer
A Machine Learning alternative to placebo-controlled clinical trials upon new diseases: A primer                                                                                  Federico Lamagna                                                                                  implemenation of A Machine Learning alternative to placebo-controlled clinical trials upon new diseases: A primer
Ammunition Component Classification Using Deep Learning                                                                                  Hang Shi                                                                                  implemenation of Ammunition Component Classification Using Deep Learning
Ammunition Component Classification Using Deep Learning                                                                                  Hadi Ghahremannezhad                                                                                  implemenation of Ammunition Component Classification Using Deep Learning
Ammunition Component Classification Using Deep Learning                                                                                  Chengjun Liu                                                                                  implemenation of Ammunition Component Classification Using Deep Learning
A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds                                                                                  Hongxin Wang                                                                                  implemenation of A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds
A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds                                                                                  Jigen Peng                                                                                  implemenation of A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds
A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds                                                                                  Shigang Yue                                                                                  implemenation of A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds
Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples                                                                                  Andrew McCallum                                                                                  implemenation of Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples
Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples                                                                                  Haw-Shiuan Chang                                                                                  implemenation of Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples
Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples                                                                                  Erik Learned-Miller                                                                                  implemenation of Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples
An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach                                                                                  Ihsan Ullah                                                                                  implemenation of An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach
An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach                                                                                  Emad-ul-Haq Qazi                                                                                  implemenation of An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach
An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach                                                                                  Hatim AboAlSamh                                                                                  implemenation of An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach
An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach                                                                                  Muhammad Hussain                                                                                  implemenation of An Automated System for Epilepsy Detection using EEG Brain Signals based on Deep Learning Approach
An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery                                                                                  Emily B. Fox                                                                                  implemenation of An Interpretable and Sparse Neural Network Model for Nonlinear Granger Causality Discovery
