Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_31.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                frequency
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_1018                                                                                  FCFP6_1024_1018 data-type                                                                                  1083
FCFP6_1024_406                                                                                  FCFP6_1024_406 data-type                                                                                  1083
FCFP6_1024_642                                                                                  FCFP6_1024_642 number of missing values                                                                                  1083
FCFP6_1024_150                                                                                  FCFP6_1024_150 data-type                                                                                  1083
FCFP6_1024_346                                                                                  FCFP6_1024_346 number of missing values                                                                                  1083
FCFP6_1024_173                                                                                  FCFP6_1024_173 number of missing values                                                                                  1083
FCFP6_1024_749                                                                                  FCFP6_1024_749 data-type                                                                                  1083
FCFP6_1024_274                                                                                  FCFP6_1024_274 number of missing values                                                                                  1083
FCFP6_1024_859                                                                                  FCFP6_1024_859 data-type                                                                                  1083
FCFP6_1024_941                                                                                  FCFP6_1024_941 number of missing values                                                                                  1083
FCFP6_1024_342                                                                                  FCFP6_1024_342 number of missing values                                                                                  1083
FCFP6_1024_166                                                                                  FCFP6_1024_166 number of missing values                                                                                  1083
FCFP6_1024_381                                                                                  FCFP6_1024_381 data-type                                                                                  1083
FCFP6_1024_615                                                                                  FCFP6_1024_615 data-type                                                                                  1083
FCFP6_1024_323                                                                                  FCFP6_1024_323 number of missing values                                                                                  1083
FCFP6_1024_533                                                                                  FCFP6_1024_533 number of missing values                                                                                  1083
FCFP6_1024_1012                                                                                  FCFP6_1024_1012 number of missing values                                                                                  1083
FCFP6_1024_625                                                                                  FCFP6_1024_625 number of missing values                                                                                  1083
FCFP6_1024_802                                                                                  FCFP6_1024_802 number of missing values                                                                                  1083
FCFP6_1024_72                                                                                  FCFP6_1024_72 data-type                                                                                  1083
FCFP6_1024_963                                                                                  FCFP6_1024_963 number of missing values                                                                                  1083
FCFP6_1024_53                                                                                  FCFP6_1024_53 number of missing values                                                                                  1083
FCFP6_1024_712                                                                                  FCFP6_1024_712 number of missing values                                                                                  1083
FCFP6_1024_641                                                                                  FCFP6_1024_641 data-type                                                                                  1083
FCFP6_1024_826                                                                                  FCFP6_1024_826 data-type                                                                                  1083
FCFP6_1024_628                                                                                  FCFP6_1024_628 number of missing values                                                                                  1083
FCFP6_1024_764                                                                                  FCFP6_1024_764 number of missing values                                                                                  1083
FCFP6_1024_650                                                                                  FCFP6_1024_650 data-type                                                                                  1083
FCFP6_1024_823                                                                                  FCFP6_1024_823 number of missing values                                                                                  1083
FCFP6_1024_372                                                                                  FCFP6_1024_372 number of missing values                                                                                  1083
FCFP6_1024_951                                                                                  FCFP6_1024_951 number of missing values                                                                                  1083
FCFP6_1024_243                                                                                  FCFP6_1024_243 data-type                                                                                  1083
FCFP6_1024_987                                                                                  FCFP6_1024_987 number of missing values                                                                                  1083
FCFP6_1024_199                                                                                  FCFP6_1024_199 number of missing values                                                                                  1083
FCFP6_1024_430                                                                                  FCFP6_1024_430 number of missing values                                                                                  1083
FCFP6_1024_230                                                                                  FCFP6_1024_230 data-type                                                                                  1083
FCFP6_1024_806                                                                                  FCFP6_1024_806 data-type                                                                                  1083
FCFP6_1024_425                                                                                  FCFP6_1024_425 number of missing values                                                                                  1083
FCFP6_1024_407                                                                                  FCFP6_1024_407 data-type                                                                                  1083
FCFP6_1024_555                                                                                  FCFP6_1024_555 data-type                                                                                  1083
FCFP6_1024_852                                                                                  FCFP6_1024_852 number of missing values                                                                                  1083
FCFP6_1024_582                                                                                  FCFP6_1024_582 data-type                                                                                  1083
FCFP6_1024_113                                                                                  FCFP6_1024_113 number of missing values                                                                                  1083
FCFP6_1024_528                                                                                  FCFP6_1024_528 data-type                                                                                  1083
FCFP6_1024_199                                                                                  FCFP6_1024_199 data-type                                                                                  1083
FCFP6_1024_770                                                                                  FCFP6_1024_770 data-type                                                                                  1083
FCFP6_1024_457                                                                                  FCFP6_1024_457 number of missing values                                                                                  1083
FCFP6_1024_152                                                                                  FCFP6_1024_152 number of missing values                                                                                  1083
FCFP6_1024_797                                                                                  FCFP6_1024_797 number of missing values                                                                                  1083
FCFP6_1024_167                                                                                  FCFP6_1024_167 number of missing values                                                                                  1083
FCFP6_1024_208                                                                                  FCFP6_1024_208 number of missing values                                                                                  1083
FCFP6_1024_1013                                                                                  FCFP6_1024_1013 number of missing values                                                                                  1083
FCFP6_1024_727                                                                                  FCFP6_1024_727 number of missing values                                                                                  1083
FCFP6_1024_38                                                                                  FCFP6_1024_38 data-type                                                                                  1083
FCFP6_1024_336                                                                                  FCFP6_1024_336 data-type                                                                                  1083
FCFP6_1024_551                                                                                  FCFP6_1024_551 data-type                                                                                  1083
FCFP6_1024_831                                                                                  FCFP6_1024_831 number of missing values                                                                                  1083
FCFP6_1024_523                                                                                  FCFP6_1024_523 data-type                                                                                  1083
FCFP6_1024_374                                                                                  FCFP6_1024_374 data-type                                                                                  1083
FCFP6_1024_54                                                                                  FCFP6_1024_54 data-type                                                                                  1083
FCFP6_1024_131                                                                                  FCFP6_1024_131 data-type                                                                                  1083
FCFP6_1024_89                                                                                  FCFP6_1024_89 data-type                                                                                  1083
FCFP6_1024_543                                                                                  FCFP6_1024_543 number of missing values                                                                                  1083
FCFP6_1024_325                                                                                  FCFP6_1024_325 data-type                                                                                  1083
FCFP6_1024_530                                                                                  FCFP6_1024_530 data-type                                                                                  1083
FCFP6_1024_424                                                                                  FCFP6_1024_424 data-type                                                                                  1083
FCFP6_1024_390                                                                                  FCFP6_1024_390 number of missing values                                                                                  1083
FCFP6_1024_23                                                                                  FCFP6_1024_23 number of missing values                                                                                  1083
FCFP6_1024_62                                                                                  FCFP6_1024_62 data-type                                                                                  1083
FCFP6_1024_724                                                                                  FCFP6_1024_724 data-type                                                                                  1083
FCFP6_1024_217                                                                                  FCFP6_1024_217 number of missing values                                                                                  1083
FCFP6_1024_382                                                                                  FCFP6_1024_382 number of missing values                                                                                  1083
FCFP6_1024_823                                                                                  FCFP6_1024_823 data-type                                                                                  1083
FCFP6_1024_743                                                                                  FCFP6_1024_743 number of missing values                                                                                  1083
FCFP6_1024_362                                                                                  FCFP6_1024_362 data-type                                                                                  1083
FCFP6_1024_352                                                                                  FCFP6_1024_352 number of missing values                                                                                  1083
FCFP6_1024_15                                                                                  FCFP6_1024_15 data-type                                                                                  1083
FCFP6_1024_1017                                                                                  FCFP6_1024_1017 data-type                                                                                  1083
FCFP6_1024_655                                                                                  FCFP6_1024_655 data-type                                                                                  1083
FCFP6_1024_179                                                                                  FCFP6_1024_179 data-type                                                                                  1083
FCFP6_1024_854                                                                                  FCFP6_1024_854 number of missing values                                                                                  1083
FCFP6_1024_947                                                                                  FCFP6_1024_947 number of missing values                                                                                  1083
FCFP6_1024_756                                                                                  FCFP6_1024_756 number of missing values                                                                                  1083
FCFP6_1024_28                                                                                  FCFP6_1024_28 data-type                                                                                  1083
FCFP6_1024_888                                                                                  FCFP6_1024_888 number of missing values                                                                                  1083
FCFP6_1024_564                                                                                  FCFP6_1024_564 number of missing values                                                                                  1083
FCFP6_1024_369                                                                                  FCFP6_1024_369 number of missing values                                                                                  1083
FCFP6_1024_489                                                                                  FCFP6_1024_489 number of missing values                                                                                  1083
FCFP6_1024_293                                                                                  FCFP6_1024_293 data-type                                                                                  1083
FCFP6_1024_886                                                                                  FCFP6_1024_886 data-type                                                                                  1083
FCFP6_1024_512                                                                                  FCFP6_1024_512 number of missing values                                                                                  1083
FCFP6_1024_502                                                                                  FCFP6_1024_502 number of missing values                                                                                  1083
FCFP6_1024_506                                                                                  FCFP6_1024_506 data-type                                                                                  1083
FCFP6_1024_857                                                                                  FCFP6_1024_857 number of missing values                                                                                  1083
FCFP6_1024_674                                                                                  FCFP6_1024_674 data-type                                                                                  1083
FCFP6_1024_945                                                                                  FCFP6_1024_945 data-type                                                                                  1083
FCFP6_1024_28                                                                                  FCFP6_1024_28 number of missing values                                                                                  1083
FCFP6_1024_737                                                                                  FCFP6_1024_737 data-type                                                                                  1083
FCFP6_1024_347                                                                                  FCFP6_1024_347 number of missing values                                                                                  1083
FCFP6_1024_791                                                                                  FCFP6_1024_791 data-type                                                                                  1083
FCFP6_1024_824                                                                                  FCFP6_1024_824 data-type                                                                                  1083
FCFP6_1024_907                                                                                  FCFP6_1024_907 number of missing values                                                                                  1083
FCFP6_1024_211                                                                                  FCFP6_1024_211 data-type                                                                                  1083
FCFP6_1024_364                                                                                  FCFP6_1024_364 data-type                                                                                  1083
FCFP6_1024_898                                                                                  FCFP6_1024_898 data-type                                                                                  1083
FCFP6_1024_562                                                                                  FCFP6_1024_562 number of missing values                                                                                  1083
FCFP6_1024_300                                                                                  FCFP6_1024_300 data-type                                                                                  1083
FCFP6_1024_982                                                                                  FCFP6_1024_982 data-type                                                                                  1083
FCFP6_1024_92                                                                                  FCFP6_1024_92 data-type                                                                                  1083
FCFP6_1024_459                                                                                  FCFP6_1024_459 number of missing values                                                                                  1083
FCFP6_1024_835                                                                                  FCFP6_1024_835 data-type                                                                                  1083
FCFP6_1024_372                                                                                  FCFP6_1024_372 data-type                                                                                  1083
FCFP6_1024_183                                                                                  FCFP6_1024_183 number of missing values                                                                                  1083
FCFP6_1024_96                                                                                  FCFP6_1024_96 number of missing values                                                                                  1083
FCFP6_1024_625                                                                                  FCFP6_1024_625 data-type                                                                                  1083
FCFP6_1024_483                                                                                  FCFP6_1024_483 data-type                                                                                  1083
FCFP6_1024_358                                                                                  FCFP6_1024_358 data-type                                                                                  1083
FCFP6_1024_537                                                                                  FCFP6_1024_537 number of missing values                                                                                  1083
FCFP6_1024_464                                                                                  FCFP6_1024_464 data-type                                                                                  1083
FCFP6_1024_88                                                                                  FCFP6_1024_88 data-type                                                                                  1083
FCFP6_1024_221                                                                                  FCFP6_1024_221 data-type                                                                                  1083
FCFP6_1024_110                                                                                  FCFP6_1024_110 number of missing values                                                                                  1083
FCFP6_1024_932                                                                                  FCFP6_1024_932 data-type                                                                                  1083
FCFP6_1024_313                                                                                  FCFP6_1024_313 number of missing values                                                                                  1083
FCFP6_1024_898                                                                                  FCFP6_1024_898 number of missing values                                                                                  1083
FCFP6_1024_243                                                                                  FCFP6_1024_243 number of missing values                                                                                  1083
FCFP6_1024_150                                                                                  FCFP6_1024_150 number of missing values                                                                                  1083
FCFP6_1024_783                                                                                  FCFP6_1024_783 number of missing values                                                                                  1083
FCFP6_1024_512                                                                                  FCFP6_1024_512 data-type                                                                                  1083
FCFP6_1024_848                                                                                  FCFP6_1024_848 data-type                                                                                  1083
FCFP6_1024_1                                                                                  FCFP6_1024_1 number of missing values                                                                                  1083
FCFP6_1024_850                                                                                  FCFP6_1024_850 number of missing values                                                                                  1083
FCFP6_1024_119                                                                                  FCFP6_1024_119 data-type                                                                                  1083
FCFP6_1024_299                                                                                  FCFP6_1024_299 data-type                                                                                  1083
FCFP6_1024_29                                                                                  FCFP6_1024_29 data-type                                                                                  1083
FCFP6_1024_929                                                                                  FCFP6_1024_929 data-type                                                                                  1083
FCFP6_1024_357                                                                                  FCFP6_1024_357 number of missing values                                                                                  1083
FCFP6_1024_893                                                                                  FCFP6_1024_893 data-type                                                                                  1083
FCFP6_1024_591                                                                                  FCFP6_1024_591 number of missing values                                                                                  1083
FCFP6_1024_853                                                                                  FCFP6_1024_853 data-type                                                                                  1083
FCFP6_1024_134                                                                                  FCFP6_1024_134 data-type                                                                                  1083
FCFP6_1024_309                                                                                  FCFP6_1024_309 data-type                                                                                  1083
FCFP6_1024_659                                                                                  FCFP6_1024_659 data-type                                                                                  1083
FCFP6_1024_841                                                                                  FCFP6_1024_841 data-type                                                                                  1083
FCFP6_1024_157                                                                                  FCFP6_1024_157 data-type                                                                                  1083
FCFP6_1024_492                                                                                  FCFP6_1024_492 number of missing values                                                                                  1083
FCFP6_1024_388                                                                                  FCFP6_1024_388 number of missing values                                                                                  1083
FCFP6_1024_448                                                                                  FCFP6_1024_448 data-type                                                                                  1083
FCFP6_1024_540                                                                                  FCFP6_1024_540 number of missing values                                                                                  1083
FCFP6_1024_31                                                                                  FCFP6_1024_31 data-type                                                                                  1083
FCFP6_1024_402                                                                                  FCFP6_1024_402 data-type                                                                                  1083
FCFP6_1024_474                                                                                  FCFP6_1024_474 number of missing values                                                                                  1083
FCFP6_1024_265                                                                                  FCFP6_1024_265 data-type                                                                                  1083
FCFP6_1024_671                                                                                  FCFP6_1024_671 data-type                                                                                  1083
FCFP6_1024_159                                                                                  FCFP6_1024_159 number of missing values                                                                                  1083
FCFP6_1024_413                                                                                  FCFP6_1024_413 number of missing values                                                                                  1083
FCFP6_1024_285                                                                                  FCFP6_1024_285 data-type                                                                                  1083
FCFP6_1024_76                                                                                  FCFP6_1024_76 data-type                                                                                  1083
FCFP6_1024_783                                                                                  FCFP6_1024_783 data-type                                                                                  1083
FCFP6_1024_812                                                                                  FCFP6_1024_812 data-type                                                                                  1083
FCFP6_1024_40                                                                                  FCFP6_1024_40 data-type                                                                                  1083
FCFP6_1024_202                                                                                  FCFP6_1024_202 data-type                                                                                  1083
FCFP6_1024_387                                                                                  FCFP6_1024_387 number of missing values                                                                                  1083
FCFP6_1024_249                                                                                  FCFP6_1024_249 number of missing values                                                                                  1083
FCFP6_1024_203                                                                                  FCFP6_1024_203 number of missing values                                                                                  1083
FCFP6_1024_333                                                                                  FCFP6_1024_333 data-type                                                                                  1083
FCFP6_1024_948                                                                                  FCFP6_1024_948 data-type                                                                                  1083
FCFP6_1024_544                                                                                  FCFP6_1024_544 number of missing values                                                                                  1083
FCFP6_1024_409                                                                                  FCFP6_1024_409 number of missing values                                                                                  1083
FCFP6_1024_598                                                                                  FCFP6_1024_598 number of missing values                                                                                  1083
FCFP6_1024_844                                                                                  FCFP6_1024_844 data-type                                                                                  1083
FCFP6_1024_169                                                                                  FCFP6_1024_169 number of missing values                                                                                  1083
FCFP6_1024_554                                                                                  FCFP6_1024_554 number of missing values                                                                                  1083
FCFP6_1024_683                                                                                  FCFP6_1024_683 number of missing values                                                                                  1083
FCFP6_1024_371                                                                                  FCFP6_1024_371 number of missing values                                                                                  1083
FCFP6_1024_863                                                                                  FCFP6_1024_863 data-type                                                                                  1083
