Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_132 number of missing values                                                                                  1083
FCFP6_1024_134 number of missing values                                                                                  1083
FCFP6_1024_156 number of missing values                                                                                  1083
FCFP6_1024_167 number of missing values                                                                                  1083
FCFP6_1024_181 number of missing values                                                                                  1083
FCFP6_1024_1 data-type                                                                                  1083
FCFP6_1024_19 data-type                                                                                  1083
FCFP6_1024_218 data-type                                                                                  1083
FCFP6_1024_218 number of missing values                                                                                  1083
FCFP6_1024_257 number of missing values                                                                                  1083
FCFP6_1024_288 data-type                                                                                  1083
FCFP6_1024_30 number of missing values                                                                                  1083
FCFP6_1024_316 data-type                                                                                  1083
FCFP6_1024_320 data-type                                                                                  1083
FCFP6_1024_322 data-type                                                                                  1083
FCFP6_1024_322 number of missing values                                                                                  1083
FCFP6_1024_324 data-type                                                                                  1083
FCFP6_1024_352 data-type                                                                                  1083
FCFP6_1024_356 data-type                                                                                  1083
FCFP6_1024_365 data-type                                                                                  1083
FCFP6_1024_384 data-type                                                                                  1083
FCFP6_1024_408 number of missing values                                                                                  1083
FCFP6_1024_40 data-type                                                                                  1083
FCFP6_1024_417 data-type                                                                                  1083
FCFP6_1024_421 data-type                                                                                  1083
FCFP6_1024_424 data-type                                                                                  1083
FCFP6_1024_429 data-type                                                                                  1083
FCFP6_1024_433 data-type                                                                                  1083
FCFP6_1024_433 number of missing values                                                                                  1083
FCFP6_1024_443 data-type                                                                                  1083
FCFP6_1024_443 number of missing values                                                                                  1083
FCFP6_1024_466 number of missing values                                                                                  1083
FCFP6_1024_471 data-type                                                                                  1083
FCFP6_1024_475 number of missing values                                                                                  1083
FCFP6_1024_493 number of missing values                                                                                  1083
FCFP6_1024_517 number of missing values                                                                                  1083
FCFP6_1024_522 number of missing values                                                                                  1083
FCFP6_1024_556 number of missing values                                                                                  1083
FCFP6_1024_567 data-type                                                                                  1083
FCFP6_1024_579 number of missing values                                                                                  1083
FCFP6_1024_586 data-type                                                                                  1083
FCFP6_1024_59 data-type                                                                                  1083
FCFP6_1024_600 number of missing values                                                                                  1083
FCFP6_1024_611 number of missing values                                                                                  1083
FCFP6_1024_618 data-type                                                                                  1083
FCFP6_1024_61 data-type                                                                                  1083
FCFP6_1024_61 number of missing values                                                                                  1083
FCFP6_1024_636 data-type                                                                                  1083
FCFP6_1024_638 number of missing values                                                                                  1083
FCFP6_1024_649 data-type                                                                                  1083
FCFP6_1024_649 number of missing values                                                                                  1083
FCFP6_1024_687 number of missing values                                                                                  1083
FCFP6_1024_699 data-type                                                                                  1083
FCFP6_1024_722 data-type                                                                                  1083
FCFP6_1024_723 data-type                                                                                  1083
FCFP6_1024_765 data-type                                                                                  1083
FCFP6_1024_776 data-type                                                                                  1083
FCFP6_1024_796 data-type                                                                                  1083
FCFP6_1024_829 number of missing values                                                                                  1083
FCFP6_1024_841 data-type                                                                                  1083
FCFP6_1024_841 number of missing values                                                                                  1083
FCFP6_1024_863 data-type                                                                                  1083
FCFP6_1024_875 data-type                                                                                  1083
