Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

A Machine Learning Approach Towards SKILL Code Autocompletion                                                                                  Bappaditya Dey                                                                                  implemenation of A Machine Learning Approach Towards SKILL Code Autocompletion
A Machine Learning Approach Towards SKILL Code Autocompletion                                                                                  Enrique Dehaerne                                                                                  implemenation of A Machine Learning Approach Towards SKILL Code Autocompletion
A Machine Learning Approach Towards SKILL Code Autocompletion                                                                                  Wannes Meert                                                                                  implemenation of A Machine Learning Approach Towards SKILL Code Autocompletion
A Review of Hybrid and Ensemble in Deep Learning for Natural Language Processing                                                                                  Wen Liang                                                                                  implemenation of A Review of Hybrid and Ensemble in Deep Learning for Natural Language Processing
A Review of Hybrid and Ensemble in Deep Learning for Natural Language Processing                                                                                  Youzhi Liang                                                                                  implemenation of A Review of Hybrid and Ensemble in Deep Learning for Natural Language Processing
A Review of Hybrid and Ensemble in Deep Learning for Natural Language Processing                                                                                  Jianguo Jia                                                                                  implemenation of A Review of Hybrid and Ensemble in Deep Learning for Natural Language Processing
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Anne-Mieke Vandamme                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Valeria Ghisetti                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Maurizio Zazzi                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Fabrizio Silvestri                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Valerio Guarrasi                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Laura Palagi                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Federico Siciliano                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Anders Sönnerborg                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1                                                                                  Giulia Di Teodoro                                                                                  implemenation of A graph neural network-based model with Out-of-Distribution Robustness for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1
Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies                                                                                  Benjamin Coleman                                                                                  implemenation of Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies
Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies                                                                                  Shabnam Daghaghi                                                                                  implemenation of Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies
Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies                                                                                  Benito Geordie                                                                                  implemenation of Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies
Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies                                                                                  Anshumali Shrivastava                                                                                  implemenation of Adaptive Sampling for Deep Learning via Efficient Nonparametric Proxies
Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling                                                                                  Ali Alfatemi                                                                                  implemenation of Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling
Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling                                                                                  Sarah ALJamal                                                                                  implemenation of Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling
Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling                                                                                  Yufeng Xin                                                                                  implemenation of Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling
Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling                                                                                  Ruhul Amin                                                                                  implemenation of Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling
Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling                                                                                  Mohamed Rahouti                                                                                  implemenation of Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling
Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling                                                                                  Kaiqi Xiong                                                                                  implemenation of Advancing DDoS Attack Detection: A Synergistic Approach Using Deep Residual Neural Networks and Synthetic Oversampling
Adversarial Attacks on LoRa Device Identification and Rogue Signal Detection with Deep Learning                                                                                  Yalin E. Sagduyu                                                                                  implemenation of Adversarial Attacks on LoRa Device Identification and Rogue Signal Detection with Deep Learning
Adversarial Attacks on LoRa Device Identification and Rogue Signal Detection with Deep Learning                                                                                  Tugba Erpek                                                                                  implemenation of Adversarial Attacks on LoRa Device Identification and Rogue Signal Detection with Deep Learning
An Interpretable Deep Learning Approach for Skin Cancer Categorization                                                                                  Faysal Mahmud                                                                                  implemenation of An Interpretable Deep Learning Approach for Skin Cancer Categorization
An Interpretable Deep Learning Approach for Skin Cancer Categorization                                                                                  Md. Mahin Mahfiz                                                                                  implemenation of An Interpretable Deep Learning Approach for Skin Cancer Categorization
An Interpretable Deep Learning Approach for Skin Cancer Categorization                                                                                  Md. Zobayer Ibna Kabir                                                                                  implemenation of An Interpretable Deep Learning Approach for Skin Cancer Categorization
An Interpretable Deep Learning Approach for Skin Cancer Categorization                                                                                  Yusha Abdullah                                                                                  implemenation of An Interpretable Deep Learning Approach for Skin Cancer Categorization
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Erwan Martin                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Luisa H. B. Liboni                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Lyle E. Muller                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Samuel Mestern                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Roberto C. Budzinski                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Alexandra N. Busch                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Federico W. Pasini                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Ján Mináč                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Todd Coleman                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network                                                                                  Wataru Inoue                                                                                  implemenation of An exact mathematical description of computation with transient spatiotemporal dynamics in a complex-valued neural network
Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems                                                                                  N. V. Brilliantov                                                                                  implemenation of Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems
Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems                                                                                  R. R. Zagidullin                                                                                  implemenation of Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems
Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems                                                                                  M. A. Larchenko                                                                                  implemenation of Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems
Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems                                                                                  V. V. Palyulin                                                                                  implemenation of Application of machine learning technique for a fast forecast of aggregation kinetics in space-inhomogeneous systems
CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs                                                                                  Yilun Liu                                                                                  implemenation of CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs
CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs                                                                                  Yanran Tang                                                                                  implemenation of CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs
CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs                                                                                  Zi Huang                                                                                  implemenation of CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs
CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs                                                                                  Ruihong Qiu                                                                                  implemenation of CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs
CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs                                                                                  Xue Li                                                                                  implemenation of CaseGNN: Graph Neural Networks for Legal Case Retrieval with Text-Attributed Graphs
Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System                                                                                  Chollette Olisah                                                                                  implemenation of Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System
Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System                                                                                  Lawrence Morolake                                                                                  implemenation of Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System
Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System                                                                                  Osi Ojukwu                                                                                  implemenation of Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System
Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System                                                                                  Lyndon Smith                                                                                  implemenation of Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System
Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System                                                                                  Melvyn Smith                                                                                  implemenation of Corn Yield Prediction Model with Deep Neural Networks for Smallholder Farmer Decision Support System
Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection                                                                                  Lanxin Zhang                                                                                  implemenation of Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection
Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection                                                                                  Arkady Zgonnikov                                                                                  implemenation of Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection
Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection                                                                                  Bart van Arem                                                                                  implemenation of Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection
Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection                                                                                  Haneen Farah                                                                                  implemenation of Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection
Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection                                                                                  Yongqi Dong                                                                                  implemenation of Data-driven Semi-supervised Machine Learning with Surrogate Safety Measures for Abnormal Driving Behavior Detection
Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems                                                                                  Junyi Yang                                                                                  implemenation of Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems
Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems                                                                                  Xingqin Lin                                                                                  implemenation of Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems
Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems                                                                                  Meixia Tao                                                                                  implemenation of Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems
Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems                                                                                  Shu Sun                                                                                  implemenation of Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems
Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems                                                                                  Xiaofeng Li                                                                                  implemenation of Deep Learning for Joint Design of Pilot, Channel Feedback, and Hybrid Beamforming in FDD Massive MIMO-OFDM Systems
