Result of /data/leuven/370/vsc37064/new_queries/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_9 data-type                                                                                  1083
FCFP6_1024_1000 data-type                                                                                  1083
FCFP6_1024_1000 number of missing values                                                                                  1083
FCFP6_1024_1005 data-type                                                                                  1083
FCFP6_1024_1006 data-type                                                                                  1083
FCFP6_1024_1011 data-type                                                                                  1083
FCFP6_1024_1011 number of missing values                                                                                  1083
FCFP6_1024_1013 data-type                                                                                  1083
FCFP6_1024_1015 data-type                                                                                  1083
FCFP6_1024_1015 number of missing values                                                                                  1083
FCFP6_1024_101 number of missing values                                                                                  1083
FCFP6_1024_1022 data-type                                                                                  1083
MEDIAN_PXC50 data-type                                                                                  1083
MEDIAN_PXC50 number of missing values                                                                                  1083
FCFP6_1024_103 number of missing values                                                                                  1083
FCFP6_1024_104 data-type                                                                                  1083
FCFP6_1024_105 data-type                                                                                  1083
FCFP6_1024_105 number of missing values                                                                                  1083
FCFP6_1024_111 number of missing values                                                                                  1083
FCFP6_1024_117 data-type                                                                                  1083
FCFP6_1024_117 number of missing values                                                                                  1083
FCFP6_1024_11 data-type                                                                                  1083
FCFP6_1024_119 number of missing values                                                                                  1083
FCFP6_1024_120 data-type                                                                                  1083
FCFP6_1024_126 number of missing values                                                                                  1083
FCFP6_1024_136 number of missing values                                                                                  1083
FCFP6_1024_144 data-type                                                                                  1083
FCFP6_1024_145 data-type                                                                                  1083
FCFP6_1024_14 data-type                                                                                  1083
FCFP6_1024_14 number of missing values                                                                                  1083
FCFP6_1024_150 data-type                                                                                  1083
FCFP6_1024_157 data-type                                                                                  1083
FCFP6_1024_157 number of missing values                                                                                  1083
FCFP6_1024_161 number of missing values                                                                                  1083
FCFP6_1024_163 number of missing values                                                                                  1083
FCFP6_1024_171 number of missing values                                                                                  1083
FCFP6_1024_178 data-type                                                                                  1083
FCFP6_1024_184 number of missing values                                                                                  1083
FCFP6_1024_187 data-type                                                                                  1083
FCFP6_1024_187 number of missing values                                                                                  1083
FCFP6_1024_188 number of missing values                                                                                  1083
FCFP6_1024_191 data-type                                                                                  1083
FCFP6_1024_204 data-type                                                                                  1083
FCFP6_1024_205 data-type                                                                                  1083
FCFP6_1024_205 number of missing values                                                                                  1083
FCFP6_1024_209 data-type                                                                                  1083
FCFP6_1024_210 data-type                                                                                  1083
FCFP6_1024_229 data-type                                                                                  1083
FCFP6_1024_232 data-type                                                                                  1083
FCFP6_1024_239 data-type                                                                                  1083
FCFP6_1024_250 data-type                                                                                  1083
FCFP6_1024_250 number of missing values                                                                                  1083
FCFP6_1024_258 data-type                                                                                  1083
FCFP6_1024_258 number of missing values                                                                                  1083
FCFP6_1024_266 data-type                                                                                  1083
FCFP6_1024_266 number of missing values                                                                                  1083
FCFP6_1024_267 data-type                                                                                  1083
FCFP6_1024_26 data-type                                                                                  1083
FCFP6_1024_26 number of missing values                                                                                  1083
FCFP6_1024_270 number of missing values                                                                                  1083
FCFP6_1024_271 number of missing values                                                                                  1083
FCFP6_1024_274 data-type                                                                                  1083
FCFP6_1024_291 data-type                                                                                  1083
