Result of /data/leuven/370/vsc37064/new_queries/query_35.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
runName                                                                           result
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

run of 0.8% Nyquist computational ghost imaging via non-experimental deep learning                                                                                  http://w3id.org/mlsea/pwc/model/0.8%25%20Nyquist%20computational%20ghost%20imaging%20via%20non-experimental%20deep%20learning/FiE
run of 0.8% Nyquist computational ghost imaging via non-experimental deep learning                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/0.8%25%20Nyquist%20computational%20ghost%20imaging%20via%20non-experimental%20deep%20learning/FiE/Exact%20Match
run of 0.8% Nyquist computational ghost imaging via non-experimental deep learning                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/0.8%25%20Nyquist%20computational%20ghost%20imaging%20via%20non-experimental%20deep%20learning/FiE/EM
run of A Novel Deep Arrhythmia-Diagnosis Network for Atrial Fibrillation Classification Using Electrocardiogram Signals                                                                                  http://w3id.org/mlsea/pwc/model/A%20Novel%20Deep%20Arrhythmia-Diagnosis%20Network%20for%20Atrial%20Fibrillation%20Classification%20Using%20Electrocardiogram%20Signals/CNN-BLSTM
run of A Novel Deep Arrhythmia-Diagnosis Network for Atrial Fibrillation Classification Using Electrocardiogram Signals                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/A%20Novel%20Deep%20Arrhythmia-Diagnosis%20Network%20for%20Atrial%20Fibrillation%20Classification%20Using%20Electrocardiogram%20Signals/CNN-BLSTM/Accuracy
run of A method for detection of atrial fibrillation using RR intervals                                                                                  http://w3id.org/mlsea/pwc/model/A%20method%20for%20detection%20of%20atrial%20fibrillation%20using%20RR%20intervals/%2Fspl%20Delta%2FRR%20intervals
run of A method for detection of atrial fibrillation using RR intervals                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/A%20method%20for%20detection%20of%20atrial%20fibrillation%20using%20RR%20intervals/%2Fspl%20Delta%2FRR%20intervals/Accuracy
run of An Experimental Study of the Transferability of Spectral Graph Networks                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/An%20Experimental%20Study%20of%20the%20Transferability%20of%20Spectral%20Graph%20Networks/ChebNet/MAE
run of An Experimental Study of the Transferability of Spectral Graph Networks                                                                                  http://w3id.org/mlsea/pwc/model/An%20Experimental%20Study%20of%20the%20Transferability%20of%20Spectral%20Graph%20Networks/ChebNet
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/DeBERTa/Accuracy
run of Analysis of the Evolution of Advanced Transformer-Based Language Models: Experiments on Opinion Mining                                                                                  http://w3id.org/mlsea/pwc/modelEvaluation/Analysis%20of%20the%20Evolution%20of%20Advanced%20Transformer-Based%20Language%20Models%3A%20Experiments%20on%20Opinion%20Mining/DeBERTa/F1
