Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_1.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
algorithm                                                                         algorithmType
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/pwc/algorithm/%282%2B1%29D%20Convolution                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/(2+1)DConvolution
http://w3id.org/mlsea/pwc/algorithm/1-bit%20Adam                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/1-bitAdam
http://w3id.org/mlsea/pwc/algorithm/1D%20CNN                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/1DCNN
http://w3id.org/mlsea/pwc/algorithm/1cycle                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/1cycle
http://w3id.org/mlsea/pwc/algorithm/1x1%20Convolution                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/1x1Convolution
http://w3id.org/mlsea/pwc/algorithm/3D%20Convolution                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/3DConvolution
http://w3id.org/mlsea/pwc/algorithm/A2C                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/A2C
http://w3id.org/mlsea/pwc/algorithm/A3C                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/A3C
http://w3id.org/mlsea/pwc/algorithm/ACER                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ACER
http://w3id.org/mlsea/pwc/algorithm/ACTKR                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ACTKR
http://w3id.org/mlsea/pwc/algorithm/ADMM                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ADMM
http://w3id.org/mlsea/pwc/algorithm/AE                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AE
http://w3id.org/mlsea/pwc/algorithm/AGCN                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AGCN
http://w3id.org/mlsea/pwc/algorithm/ALI                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ALI
http://w3id.org/mlsea/pwc/algorithm/AM                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AM
http://w3id.org/mlsea/pwc/algorithm/ARiA                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ARiA
http://w3id.org/mlsea/pwc/algorithm/ASPP                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ASPP
http://w3id.org/mlsea/pwc/algorithm/AWD-LSTM                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AWD-LSTM
http://w3id.org/mlsea/pwc/algorithm/Absolute%20Position%20Encodings                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AbsolutePositionEncodings
http://w3id.org/mlsea/pwc/algorithm/Accumulating%20Eligibility%20Trace                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AccumulatingEligibilityTrace
http://w3id.org/mlsea/pwc/algorithm/Activation%20Regularization                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ActivationRegularization
http://w3id.org/mlsea/pwc/algorithm/Active%20Convolution                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/ActiveConvolution
http://w3id.org/mlsea/pwc/algorithm/AdaDelta                                                                                  http://w3id.org/mlso/vocab/ml_algorithm/AdaDelta
