Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_11.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
paperTitle                                                                        datasetName                                                                       implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

#phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter                                                                                                                                                                    implemenation of #phramacovigilance - Exploring Deep Learning Techniques for Identifying Mentions of Medication Intake from Twitter
$ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning                                                                                                                                                                    implemenation of $ boldsymbolγ$-Net: Superresolving SAR Tomographic Inversion via Deep Learning
$ textbf{A}^2 textbf{CiD}^2$: Accelerating Asynchronous Communication in Decentralized Deep Learning                                                                                                                                                                    implemenation of $ textbf{A}^2 textbf{CiD}^2$: Accelerating Asynchronous Communication in Decentralized Deep Learning
$C^3DRec$: Cloud-Client Cooperative Deep Learning for Temporal Recommendation in the Post-GDPR Era                                                                                                                                                                    implemenation of $C^3DRec$: Cloud-Client Cooperative Deep Learning for Temporal Recommendation in the Post-GDPR Era
$S^{2}$-LBI: Stochastic Split Linearized Bregman Iterations for Parsimonious Deep Learning                                                                                                                                                                    implemenation of $S^{2}$-LBI: Stochastic Split Linearized Bregman Iterations for Parsimonious Deep Learning
$k$-Mixup Regularization for Deep Learning via Optimal Transport                                                                                                                                                                    implemenation of $k$-Mixup Regularization for Deep Learning via Optimal Transport
$r-$Adaptive Deep Learning Method for Solving Partial Differential Equations                                                                                                                                                                    implemenation of $r-$Adaptive Deep Learning Method for Solving Partial Differential Equations
$μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning                                                                                                                                                                    implemenation of $μ$GUIDE: a framework for microstructure imaging via generalized uncertainty-driven inference using deep learning
$μ$VulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection                                                                                                                                                                    implemenation of $μ$VulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection
$ν$-net: Deep Learning for Generalized Biventricular Cardiac Mass and Function Parameters                                                                                                                                                                    implemenation of $ν$-net: Deep Learning for Generalized Biventricular Cardiac Mass and Function Parameters
$π$VAE: a stochastic process prior for Bayesian deep learning with MCMC                                                                                                                                                                    implemenation of $π$VAE: a stochastic process prior for Bayesian deep learning with MCMC
'Hello, It's Me': Deep Learning-based Speech Synthesis Attacks in the Real World                                                                                                                                                                    implemenation of 'Hello, It's Me': Deep Learning-based Speech Synthesis Attacks in the Real World
'Name that manufacturer'. Relating image acquisition bias with task complexity when training deep learning models: experiments on head CT                                                                                                                                                                    implemenation of 'Name that manufacturer'. Relating image acquisition bias with task complexity when training deep learning models: experiments on head CT
'Prompt-Gamma Neutron Activation Analysis (PGNAA)' Metal Spectral Classification using Deep Learning Method                                                                                                                                                                    implemenation of 'Prompt-Gamma Neutron Activation Analysis (PGNAA)' Metal Spectral Classification using Deep Learning Method
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                                                                                                    implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'The Human Body is a Black Box': Supporting Clinical Decision-Making with Deep Learning                                                                                                                                                                    implemenation of 'The Human Body is a Black Box': Supporting Clinical Decision-Making with Deep Learning
