Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_2.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
dataset                                                                           task
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/kaggle/dataset/1109157                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1158796                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1221167                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1256325                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1374500                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1421014                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1444956                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1444972                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1448606                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1487340                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1521497                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1605476                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1633438                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1633465                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1633466                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1634084                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1641123                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1648776                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1657317                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1696005                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1827611                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1827691                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1830872                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1854220                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1888972                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1889055                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1900886                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1909659                                                                                  http://w3id.org/mlsea/openml/task/10
http://w3id.org/mlsea/kaggle/dataset/1910780                                                                                  http://w3id.org/mlsea/openml/task/10
