Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_31.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                frequency
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_600                                                                                  FCFP6_1024_600 number of missing values                                                                                  1083
FCFP6_1024_265                                                                                  FCFP6_1024_265 number of missing values                                                                                  1083
FCFP6_1024_266                                                                                  FCFP6_1024_266 data-type                                                                                  1083
FCFP6_1024_719                                                                                  FCFP6_1024_719 number of missing values                                                                                  1083
FCFP6_1024_372                                                                                  FCFP6_1024_372 number of missing values                                                                                  1083
FCFP6_1024_366                                                                                  FCFP6_1024_366 number of missing values                                                                                  1083
FCFP6_1024_60                                                                                  FCFP6_1024_60 data-type                                                                                  1083
FCFP6_1024_765                                                                                  FCFP6_1024_765 number of missing values                                                                                  1083
FCFP6_1024_394                                                                                  FCFP6_1024_394 number of missing values                                                                                  1083
FCFP6_1024_912                                                                                  FCFP6_1024_912 data-type                                                                                  1083
FCFP6_1024_296                                                                                  FCFP6_1024_296 number of missing values                                                                                  1083
FCFP6_1024_925                                                                                  FCFP6_1024_925 number of missing values                                                                                  1083
FCFP6_1024_292                                                                                  FCFP6_1024_292 number of missing values                                                                                  1083
FCFP6_1024_953                                                                                  FCFP6_1024_953 number of missing values                                                                                  1083
FCFP6_1024_263                                                                                  FCFP6_1024_263 data-type                                                                                  1083
FCFP6_1024_450                                                                                  FCFP6_1024_450 data-type                                                                                  1083
FCFP6_1024_805                                                                                  FCFP6_1024_805 data-type                                                                                  1083
FCFP6_1024_509                                                                                  FCFP6_1024_509 data-type                                                                                  1083
FCFP6_1024_485                                                                                  FCFP6_1024_485 number of missing values                                                                                  1083
FCFP6_1024_802                                                                                  FCFP6_1024_802 number of missing values                                                                                  1083
FCFP6_1024_478                                                                                  FCFP6_1024_478 number of missing values                                                                                  1083
FCFP6_1024_947                                                                                  FCFP6_1024_947 number of missing values                                                                                  1083
FCFP6_1024_988                                                                                  FCFP6_1024_988 data-type                                                                                  1083
FCFP6_1024_120                                                                                  FCFP6_1024_120 number of missing values                                                                                  1083
FCFP6_1024_586                                                                                  FCFP6_1024_586 number of missing values                                                                                  1083
FCFP6_1024_327                                                                                  FCFP6_1024_327 number of missing values                                                                                  1083
FCFP6_1024_1006                                                                                  FCFP6_1024_1006 number of missing values                                                                                  1083
FCFP6_1024_779                                                                                  FCFP6_1024_779 number of missing values                                                                                  1083
FCFP6_1024_178                                                                                  FCFP6_1024_178 data-type                                                                                  1083
FCFP6_1024_354                                                                                  FCFP6_1024_354 number of missing values                                                                                  1083
FCFP6_1024_1013                                                                                  FCFP6_1024_1013 number of missing values                                                                                  1083
FCFP6_1024_1010                                                                                  FCFP6_1024_1010 data-type                                                                                  1083
FCFP6_1024_71                                                                                  FCFP6_1024_71 number of missing values                                                                                  1083
FCFP6_1024_80                                                                                  FCFP6_1024_80 data-type                                                                                  1083
FCFP6_1024_604                                                                                  FCFP6_1024_604 number of missing values                                                                                  1083
FCFP6_1024_458                                                                                  FCFP6_1024_458 data-type                                                                                  1083
FCFP6_1024_621                                                                                  FCFP6_1024_621 data-type                                                                                  1083
FCFP6_1024_35                                                                                  FCFP6_1024_35 number of missing values                                                                                  1083
FCFP6_1024_1019                                                                                  FCFP6_1024_1019 number of missing values                                                                                  1083
FCFP6_1024_814                                                                                  FCFP6_1024_814 data-type                                                                                  1083
FCFP6_1024_431                                                                                  FCFP6_1024_431 number of missing values                                                                                  1083
FCFP6_1024_412                                                                                  FCFP6_1024_412 data-type                                                                                  1083
FCFP6_1024_701                                                                                  FCFP6_1024_701 number of missing values                                                                                  1083
FCFP6_1024_729                                                                                  FCFP6_1024_729 number of missing values                                                                                  1083
FCFP6_1024_786                                                                                  FCFP6_1024_786 data-type                                                                                  1083
FCFP6_1024_540                                                                                  FCFP6_1024_540 number of missing values                                                                                  1083
FCFP6_1024_551                                                                                  FCFP6_1024_551 data-type                                                                                  1083
FCFP6_1024_779                                                                                  FCFP6_1024_779 data-type                                                                                  1083
FCFP6_1024_618                                                                                  FCFP6_1024_618 data-type                                                                                  1083
FCFP6_1024_639                                                                                  FCFP6_1024_639 data-type                                                                                  1083
FCFP6_1024_169                                                                                  FCFP6_1024_169 number of missing values                                                                                  1083
FCFP6_1024_1018                                                                                  FCFP6_1024_1018 number of missing values                                                                                  1083
FCFP6_1024_90                                                                                  FCFP6_1024_90 data-type                                                                                  1083
FCFP6_1024_377                                                                                  FCFP6_1024_377 data-type                                                                                  1083
FCFP6_1024_556                                                                                  FCFP6_1024_556 number of missing values                                                                                  1083
FCFP6_1024_768                                                                                  FCFP6_1024_768 data-type                                                                                  1083
FCFP6_1024_964                                                                                  FCFP6_1024_964 number of missing values                                                                                  1083
FCFP6_1024_667                                                                                  FCFP6_1024_667 data-type                                                                                  1083
FCFP6_1024_824                                                                                  FCFP6_1024_824 number of missing values                                                                                  1083
FCFP6_1024_865                                                                                  FCFP6_1024_865 data-type                                                                                  1083
FCFP6_1024_534                                                                                  FCFP6_1024_534 data-type                                                                                  1083
FCFP6_1024_809                                                                                  FCFP6_1024_809 number of missing values                                                                                  1083
FCFP6_1024_416                                                                                  FCFP6_1024_416 data-type                                                                                  1083
FCFP6_1024_256                                                                                  FCFP6_1024_256 data-type                                                                                  1083
FCFP6_1024_302                                                                                  FCFP6_1024_302 data-type                                                                                  1083
FCFP6_1024_579                                                                                  FCFP6_1024_579 data-type                                                                                  1083
FCFP6_1024_1002                                                                                  FCFP6_1024_1002 data-type                                                                                  1083
FCFP6_1024_1004                                                                                  FCFP6_1024_1004 data-type                                                                                  1083
FCFP6_1024_309                                                                                  FCFP6_1024_309 number of missing values                                                                                  1083
FCFP6_1024_819                                                                                  FCFP6_1024_819 data-type                                                                                  1083
FCFP6_1024_1019                                                                                  FCFP6_1024_1019 data-type                                                                                  1083
FCFP6_1024_932                                                                                  FCFP6_1024_932 number of missing values                                                                                  1083
FCFP6_1024_936                                                                                  FCFP6_1024_936 data-type                                                                                  1083
FCFP6_1024_849                                                                                  FCFP6_1024_849 data-type                                                                                  1083
FCFP6_1024_113                                                                                  FCFP6_1024_113 data-type                                                                                  1083
FCFP6_1024_550                                                                                  FCFP6_1024_550 number of missing values                                                                                  1083
FCFP6_1024_25                                                                                  FCFP6_1024_25 data-type                                                                                  1083
FCFP6_1024_489                                                                                  FCFP6_1024_489 number of missing values                                                                                  1083
FCFP6_1024_749                                                                                  FCFP6_1024_749 number of missing values                                                                                  1083
FCFP6_1024_919                                                                                  FCFP6_1024_919 data-type                                                                                  1083
FCFP6_1024_646                                                                                  FCFP6_1024_646 number of missing values                                                                                  1083
FCFP6_1024_221                                                                                  FCFP6_1024_221 data-type                                                                                  1083
FCFP6_1024_497                                                                                  FCFP6_1024_497 number of missing values                                                                                  1083
MEDIAN_PXC50                                                                                  MEDIAN_PXC50 data-type                                                                                  1083
FCFP6_1024_143                                                                                  FCFP6_1024_143 number of missing values                                                                                  1083
FCFP6_1024_447                                                                                  FCFP6_1024_447 data-type                                                                                  1083
FCFP6_1024_401                                                                                  FCFP6_1024_401 data-type                                                                                  1083
FCFP6_1024_784                                                                                  FCFP6_1024_784 data-type                                                                                  1083
FCFP6_1024_562                                                                                  FCFP6_1024_562 data-type                                                                                  1083
FCFP6_1024_327                                                                                  FCFP6_1024_327 data-type                                                                                  1083
FCFP6_1024_495                                                                                  FCFP6_1024_495 data-type                                                                                  1083
FCFP6_1024_1000                                                                                  FCFP6_1024_1000 data-type                                                                                  1083
FCFP6_1024_204                                                                                  FCFP6_1024_204 number of missing values                                                                                  1083
FCFP6_1024_290                                                                                  FCFP6_1024_290 number of missing values                                                                                  1083
FCFP6_1024_165                                                                                  FCFP6_1024_165 number of missing values                                                                                  1083
FCFP6_1024_531                                                                                  FCFP6_1024_531 data-type                                                                                  1083
FCFP6_1024_112                                                                                  FCFP6_1024_112 data-type                                                                                  1083
FCFP6_1024_466                                                                                  FCFP6_1024_466 data-type                                                                                  1083
FCFP6_1024_858                                                                                  FCFP6_1024_858 number of missing values                                                                                  1083
FCFP6_1024_831                                                                                  FCFP6_1024_831 data-type                                                                                  1083
FCFP6_1024_393                                                                                  FCFP6_1024_393 data-type                                                                                  1083
FCFP6_1024_427                                                                                  FCFP6_1024_427 number of missing values                                                                                  1083
FCFP6_1024_785                                                                                  FCFP6_1024_785 data-type                                                                                  1083
FCFP6_1024_940                                                                                  FCFP6_1024_940 data-type                                                                                  1083
FCFP6_1024_827                                                                                  FCFP6_1024_827 data-type                                                                                  1083
FCFP6_1024_783                                                                                  FCFP6_1024_783 number of missing values                                                                                  1083
FCFP6_1024_661                                                                                  FCFP6_1024_661 number of missing values                                                                                  1083
FCFP6_1024_186                                                                                  FCFP6_1024_186 data-type                                                                                  1083
FCFP6_1024_634                                                                                  FCFP6_1024_634 data-type                                                                                  1083
FCFP6_1024_519                                                                                  FCFP6_1024_519 data-type                                                                                  1083
FCFP6_1024_690                                                                                  FCFP6_1024_690 data-type                                                                                  1083
FCFP6_1024_958                                                                                  FCFP6_1024_958 data-type                                                                                  1083
FCFP6_1024_337                                                                                  FCFP6_1024_337 data-type                                                                                  1083
FCFP6_1024_154                                                                                  FCFP6_1024_154 data-type                                                                                  1083
FCFP6_1024_400                                                                                  FCFP6_1024_400 data-type                                                                                  1083
FCFP6_1024_271                                                                                  FCFP6_1024_271 data-type                                                                                  1083
FCFP6_1024_125                                                                                  FCFP6_1024_125 data-type                                                                                  1083
FCFP6_1024_195                                                                                  FCFP6_1024_195 data-type                                                                                  1083
FCFP6_1024_233                                                                                  FCFP6_1024_233 number of missing values                                                                                  1083
FCFP6_1024_508                                                                                  FCFP6_1024_508 data-type                                                                                  1083
FCFP6_1024_636                                                                                  FCFP6_1024_636 number of missing values                                                                                  1083
FCFP6_1024_816                                                                                  FCFP6_1024_816 data-type                                                                                  1083
FCFP6_1024_272                                                                                  FCFP6_1024_272 data-type                                                                                  1083
FCFP6_1024_268                                                                                  FCFP6_1024_268 number of missing values                                                                                  1083
FCFP6_1024_375                                                                                  FCFP6_1024_375 data-type                                                                                  1083
FCFP6_1024_713                                                                                  FCFP6_1024_713 data-type                                                                                  1083
FCFP6_1024_91                                                                                  FCFP6_1024_91 data-type                                                                                  1083
FCFP6_1024_911                                                                                  FCFP6_1024_911 data-type                                                                                  1083
FCFP6_1024_551                                                                                  FCFP6_1024_551 number of missing values                                                                                  1083
FCFP6_1024_541                                                                                  FCFP6_1024_541 data-type                                                                                  1083
FCFP6_1024_811                                                                                  FCFP6_1024_811 data-type                                                                                  1083
FCFP6_1024_97                                                                                  FCFP6_1024_97 number of missing values                                                                                  1083
FCFP6_1024_138                                                                                  FCFP6_1024_138 data-type                                                                                  1083
FCFP6_1024_654                                                                                  FCFP6_1024_654 number of missing values                                                                                  1083
FCFP6_1024_117                                                                                  FCFP6_1024_117 number of missing values                                                                                  1083
FCFP6_1024_844                                                                                  FCFP6_1024_844 number of missing values                                                                                  1083
FCFP6_1024_916                                                                                  FCFP6_1024_916 data-type                                                                                  1083
FCFP6_1024_796                                                                                  FCFP6_1024_796 data-type                                                                                  1083
FCFP6_1024_149                                                                                  FCFP6_1024_149 data-type                                                                                  1083
FCFP6_1024_841                                                                                  FCFP6_1024_841 data-type                                                                                  1083
FCFP6_1024_368                                                                                  FCFP6_1024_368 number of missing values                                                                                  1083
FCFP6_1024_971                                                                                  FCFP6_1024_971 data-type                                                                                  1083
FCFP6_1024_85                                                                                  FCFP6_1024_85 data-type                                                                                  1083
FCFP6_1024_381                                                                                  FCFP6_1024_381 number of missing values                                                                                  1083
FCFP6_1024_298                                                                                  FCFP6_1024_298 number of missing values                                                                                  1083
FCFP6_1024_597                                                                                  FCFP6_1024_597 number of missing values                                                                                  1083
FCFP6_1024_910                                                                                  FCFP6_1024_910 number of missing values                                                                                  1083
FCFP6_1024_245                                                                                  FCFP6_1024_245 data-type                                                                                  1083
FCFP6_1024_145                                                                                  FCFP6_1024_145 data-type                                                                                  1083
FCFP6_1024_419                                                                                  FCFP6_1024_419 data-type                                                                                  1083
FCFP6_1024_426                                                                                  FCFP6_1024_426 data-type                                                                                  1083
FCFP6_1024_444                                                                                  FCFP6_1024_444 data-type                                                                                  1083
FCFP6_1024_378                                                                                  FCFP6_1024_378 data-type                                                                                  1083
FCFP6_1024_855                                                                                  FCFP6_1024_855 data-type                                                                                  1083
FCFP6_1024_730                                                                                  FCFP6_1024_730 data-type                                                                                  1083
FCFP6_1024_39                                                                                  FCFP6_1024_39 data-type                                                                                  1083
FCFP6_1024_760                                                                                  FCFP6_1024_760 data-type                                                                                  1083
FCFP6_1024_427                                                                                  FCFP6_1024_427 data-type                                                                                  1083
FCFP6_1024_774                                                                                  FCFP6_1024_774 data-type                                                                                  1083
FCFP6_1024_469                                                                                  FCFP6_1024_469 data-type                                                                                  1083
FCFP6_1024_124                                                                                  FCFP6_1024_124 data-type                                                                                  1083
FCFP6_1024_365                                                                                  FCFP6_1024_365 data-type                                                                                  1083
FCFP6_1024_544                                                                                  FCFP6_1024_544 data-type                                                                                  1083
FCFP6_1024_161                                                                                  FCFP6_1024_161 number of missing values                                                                                  1083
FCFP6_1024_609                                                                                  FCFP6_1024_609 number of missing values                                                                                  1083
FCFP6_1024_415                                                                                  FCFP6_1024_415 data-type                                                                                  1083
FCFP6_1024_407                                                                                  FCFP6_1024_407 data-type                                                                                  1083
FCFP6_1024_400                                                                                  FCFP6_1024_400 number of missing values                                                                                  1083
FCFP6_1024_934                                                                                  FCFP6_1024_934 data-type                                                                                  1083
FCFP6_1024_543                                                                                  FCFP6_1024_543 number of missing values                                                                                  1083
FCFP6_1024_330                                                                                  FCFP6_1024_330 number of missing values                                                                                  1083
FCFP6_1024_16                                                                                  FCFP6_1024_16 number of missing values                                                                                  1083
FCFP6_1024_974                                                                                  FCFP6_1024_974 data-type                                                                                  1083
FCFP6_1024_878                                                                                  FCFP6_1024_878 number of missing values                                                                                  1083
FCFP6_1024_731                                                                                  FCFP6_1024_731 data-type                                                                                  1083
FCFP6_1024_506                                                                                  FCFP6_1024_506 data-type                                                                                  1083
