Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_0 number of missing values                                                                                  1083
FCFP6_1024_1000 data-type                                                                                  1083
FCFP6_1024_1000 number of missing values                                                                                  1083
FCFP6_1024_1004 number of missing values                                                                                  1083
FCFP6_1024_1005 number of missing values                                                                                  1083
FCFP6_1024_1006 number of missing values                                                                                  1083
FCFP6_1024_1008 data-type                                                                                  1083
FCFP6_1024_1009 number of missing values                                                                                  1083
FCFP6_1024_1012 number of missing values                                                                                  1083
FCFP6_1024_1014 data-type                                                                                  1083
FCFP6_1024_1015 data-type                                                                                  1083
FCFP6_1024_1015 number of missing values                                                                                  1083
FCFP6_1024_1016 data-type                                                                                  1083
FCFP6_1024_1016 number of missing values                                                                                  1083
FCFP6_1024_1017 data-type                                                                                  1083
FCFP6_1024_1017 number of missing values                                                                                  1083
FCFP6_1024_101 number of missing values                                                                                  1083
FCFP6_1024_1019 data-type                                                                                  1083
FCFP6_1024_1021 number of missing values                                                                                  1083
FCFP6_1024_1022 number of missing values                                                                                  1083
FCFP6_1024_1023 data-type                                                                                  1083
FCFP6_1024_1023 number of missing values                                                                                  1083
MEDIAN_PXC50 number of missing values                                                                                  1083
FCFP6_1024_102 data-type                                                                                  1083
FCFP6_1024_104 data-type                                                                                  1083
FCFP6_1024_106 data-type                                                                                  1083
FCFP6_1024_106 number of missing values                                                                                  1083
FCFP6_1024_107 data-type                                                                                  1083
FCFP6_1024_107 number of missing values                                                                                  1083
FCFP6_1024_108 data-type                                                                                  1083
FCFP6_1024_109 data-type                                                                                  1083
FCFP6_1024_109 number of missing values                                                                                  1083
FCFP6_1024_114 number of missing values                                                                                  1083
FCFP6_1024_115 data-type                                                                                  1083
FCFP6_1024_115 number of missing values                                                                                  1083
FCFP6_1024_116 data-type                                                                                  1083
FCFP6_1024_117 data-type                                                                                  1083
FCFP6_1024_117 number of missing values                                                                                  1083
FCFP6_1024_118 data-type                                                                                  1083
FCFP6_1024_11 data-type                                                                                  1083
FCFP6_1024_120 data-type                                                                                  1083
FCFP6_1024_121 data-type                                                                                  1083
FCFP6_1024_122 number of missing values                                                                                  1083
FCFP6_1024_124 number of missing values                                                                                  1083
FCFP6_1024_125 number of missing values                                                                                  1083
FCFP6_1024_127 data-type                                                                                  1083
FCFP6_1024_127 number of missing values                                                                                  1083
FCFP6_1024_129 data-type                                                                                  1083
FCFP6_1024_131 data-type                                                                                  1083
FCFP6_1024_131 number of missing values                                                                                  1083
FCFP6_1024_132 data-type                                                                                  1083
FCFP6_1024_132 number of missing values                                                                                  1083
FCFP6_1024_135 number of missing values                                                                                  1083
FCFP6_1024_136 data-type                                                                                  1083
FCFP6_1024_137 number of missing values                                                                                  1083
FCFP6_1024_139 data-type                                                                                  1083
FCFP6_1024_139 number of missing values                                                                                  1083
FCFP6_1024_142 data-type                                                                                  1083
FCFP6_1024_142 number of missing values                                                                                  1083
FCFP6_1024_143 data-type                                                                                  1083
FCFP6_1024_143 number of missing values                                                                                  1083
