Result of /data/leuven/370/vsc37064/new_queries_named_graph_predicate/query_37.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
workTitle                                                                         authorName                                                                        implementationName
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization                                                                                  Xu Ouyang                                                                                  implemenation of 'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization
'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization                                                                                  Zhangyang Wang                                                                                  implemenation of 'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization
'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization                                                                                  Zhiqiang Shen                                                                                  implemenation of 'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization
'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization                                                                                  Zechun Liu                                                                                  implemenation of 'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization
'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization                                                                                  Tianlong Chen                                                                                  implemenation of 'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization
'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization                                                                                  Zhenyu Zhang                                                                                  implemenation of 'BNN - BN = ?': Training Binary Neural Networks without Batch Normalization
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  Dheeraj Pailla                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  Himanshu Bhatia                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  Manish Gupta                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  Manish Shrivastava                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  Ponnurangam Kumaraguru                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  Mohit Chandra                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning                                                                                  AadilMehdi Sanchawala                                                                                  implemenation of 'Subverting the Jewtocracy': Online Antisemitism Detection Using Multimodal Deep Learning
(ASNA) An Attention-based Siamese-Difference Neural Network with Surrogate Ranking Loss function for Perceptual Image Quality Assessment                                                                                  Ali Royat                                                                                  implemenation of (ASNA) An Attention-based Siamese-Difference Neural Network with Surrogate Ranking Loss function for Perceptual Image Quality Assessment
(ASNA) An Attention-based Siamese-Difference Neural Network with Surrogate Ranking Loss function for Perceptual Image Quality Assessment                                                                                  Seyed Mehdi Ayyoubzadeh                                                                                  implemenation of (ASNA) An Attention-based Siamese-Difference Neural Network with Surrogate Ranking Loss function for Perceptual Image Quality Assessment
[Re] Neural Networks Fail to Learn Periodic Functions and How to Fix It                                                                                  Mayur Arvind                                                                                  implemenation of [Re] Neural Networks Fail to Learn Periodic Functions and How to Fix It
[Re] Neural Networks Fail to Learn Periodic Functions and How to Fix It                                                                                  Mustansir Mama                                                                                  implemenation of [Re] Neural Networks Fail to Learn Periodic Functions and How to Fix It
[Re] Parameterized Explainer for Graph Neural Network                                                                                  Lysander de Jong                                                                                  implemenation of [Re] Parameterized Explainer for Graph Neural Network
[Re] Parameterized Explainer for Graph Neural Network                                                                                  Maarten Boon                                                                                  implemenation of [Re] Parameterized Explainer for Graph Neural Network
[Re] Parameterized Explainer for Graph Neural Network                                                                                  Stijn Henckens                                                                                  implemenation of [Re] Parameterized Explainer for Graph Neural Network
[Re] Parameterized Explainer for Graph Neural Network                                                                                  Lars Holdijk                                                                                  implemenation of [Re] Parameterized Explainer for Graph Neural Network
[Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'                                                                                  Alko Knijff                                                                                  implemenation of [Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'
[Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'                                                                                  Arsen Sheverdin                                                                                  implemenation of [Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'
[Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'                                                                                  Georg Lange                                                                                  implemenation of [Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'
[Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'                                                                                  Noud Corten                                                                                  implemenation of [Re] Reproducibility report of 'Interpretable Complex-Valued Neural Networks for Privacy Protection'
[Re] Training Binary Neural Networks using the Bayesian Learning Rule                                                                                  Lakshya Singhal                                                                                  implemenation of [Re] Training Binary Neural Networks using the Bayesian Learning Rule
[Re] Training Binary Neural Networks using the Bayesian Learning Rule                                                                                  Ashish Sardana                                                                                  implemenation of [Re] Training Binary Neural Networks using the Bayesian Learning Rule
[Re] Training Binary Neural Networks using the Bayesian Learning Rule                                                                                  Prateek Garg                                                                                  implemenation of [Re] Training Binary Neural Networks using the Bayesian Learning Rule
[Re] Warm-Starting Neural Network Training                                                                                  Klim Kireev                                                                                  implemenation of [Re] Warm-Starting Neural Network Training
[Re] Warm-Starting Neural Network Training                                                                                  Amirkeivan Mohtashami                                                                                  implemenation of [Re] Warm-Starting Neural Network Training
[Re] Warm-Starting Neural Network Training                                                                                  Ehsan Pajouheshgar                                                                                  implemenation of [Re] Warm-Starting Neural Network Training
``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism                                                                                  Buru Chang                                                                                  implemenation of ``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism
``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism                                                                                  Inggeol Lee                                                                                  implemenation of ``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism
``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism                                                                                  Jaewoo Kang                                                                                  implemenation of ``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism
``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism                                                                                  Hyunjae Kim                                                                                  implemenation of ``Killing Me'' Is Not a Spoiler: Spoiler Detection Model using Graph Neural Networks with Dependency Relation-Aware Attention Mechanism
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Bohong Chen                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Mingbao Lin                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Fei Chao                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Mengdi Wang                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Rongrong Ji                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Shen Li                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Yonghong Tian                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Yuchao Li                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
1xN Pattern for Pruning Convolutional Neural Networks                                                                                  Yuxin Zhang                                                                                  implemenation of 1xN Pattern for Pruning Convolutional Neural Networks
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Cheryl A. Olman                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Essa Yacoub                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  John Strupp                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Logan Dowdle                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Luca Vizioli                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Burhaneddin Yaman                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Kâmil Uğurbil                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Mehmet Akçakaya                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Steen Moeller                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction                                                                                  Omer Burak Demirel                                                                                  implemenation of 20-fold Accelerated 7T fMRI Using Referenceless Self-Supervised Deep Learning Reconstruction
3D Convolution Neural Network based Person Identification using Gait cycles                                                                                  Ravi Shekhar Tiwari                                                                                  implemenation of 3D Convolution Neural Network based Person Identification using Gait cycles
3D Convolution Neural Network based Person Identification using Gait cycles                                                                                  Supraja P                                                                                  implemenation of 3D Convolution Neural Network based Person Identification using Gait cycles
3D Convolution Neural Network based Person Identification using Gait cycles                                                                                  Rijo Jackson Tom                                                                                  implemenation of 3D Convolution Neural Network based Person Identification using Gait cycles
3D Convolutional Neural Networks for Stalled Brain Capillary Detection                                                                                  Tatiana Gabruseva                                                                                  implemenation of 3D Convolutional Neural Networks for Stalled Brain Capillary Detection
3D Convolutional Neural Networks for Stalled Brain Capillary Detection                                                                                  Alexandr A. Kalinin                                                                                  implemenation of 3D Convolutional Neural Networks for Stalled Brain Capillary Detection
3D Convolutional Neural Networks for Stalled Brain Capillary Detection                                                                                  Roman Solovyev                                                                                  implemenation of 3D Convolutional Neural Networks for Stalled Brain Capillary Detection
3D Convolutional Neural Networks for Ultrasound-Based Silent Speech Interfaces                                                                                  Amin Honarmandi Shandiz                                                                                  implemenation of 3D Convolutional Neural Networks for Ultrasound-Based Silent Speech Interfaces
3D Convolutional Neural Networks for Ultrasound-Based Silent Speech Interfaces                                                                                  László Tóth                                                                                  implemenation of 3D Convolutional Neural Networks for Ultrasound-Based Silent Speech Interfaces
3D Tensor-based Deep Learning Models for Predicting Option Price                                                                                  Boping Tian                                                                                  implemenation of 3D Tensor-based Deep Learning Models for Predicting Option Price
3D Tensor-based Deep Learning Models for Predicting Option Price                                                                                  Muyang Ge                                                                                  implemenation of 3D Tensor-based Deep Learning Models for Predicting Option Price
3D Tensor-based Deep Learning Models for Predicting Option Price                                                                                  Shen Zhou                                                                                  implemenation of 3D Tensor-based Deep Learning Models for Predicting Option Price
3D Tensor-based Deep Learning Models for Predicting Option Price                                                                                  Shijun Luo                                                                                  implemenation of 3D Tensor-based Deep Learning Models for Predicting Option Price
3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions                                                                                  Batuhan Cengiz                                                                                  implemenation of 3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions
3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions                                                                                  Doga Gunduzalp                                                                                  implemenation of 3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions
3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions                                                                                  Isa Yildirim                                                                                  implemenation of 3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions
3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions                                                                                  Mehmet Ozan Unal                                                                                  implemenation of 3D U-NetR: Low Dose Computed Tomography Reconstruction via Deep Learning and 3 Dimensional Convolutions
5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning                                                                                  Aldebaro Klautau                                                                                  implemenation of 5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning
5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning                                                                                  Pedro Batista                                                                                  implemenation of 5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning
5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning                                                                                  Robert W. Heath Jr                                                                                  implemenation of 5G MIMO Data for Machine Learning: Application to Beam-Selection using Deep Learning
