Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_2.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
dataset                                                                           task
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/1727
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/1731
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2126
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2127
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2128
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2129
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2130
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2131
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2132
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2133
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2134
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2149
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2150
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2151
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2152
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2153
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2154
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2155
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2156
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2157
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2158
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2159
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2160
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2162
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2163
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2164
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2165
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2167
http://w3id.org/mlsea/kaggle/dataset/10031                                                                                  http://w3id.org/mlsea/openml/task/2168
