Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_1001 data-type                                                                                  1083
FCFP6_1024_1001 number of missing values                                                                                  1083
FCFP6_1024_1005 data-type                                                                                  1083
FCFP6_1024_1005 number of missing values                                                                                  1083
FCFP6_1024_1006 number of missing values                                                                                  1083
FCFP6_1024_1007 data-type                                                                                  1083
FCFP6_1024_1008 data-type                                                                                  1083
FCFP6_1024_1008 number of missing values                                                                                  1083
FCFP6_1024_1010 data-type                                                                                  1083
FCFP6_1024_1010 number of missing values                                                                                  1083
FCFP6_1024_1011 data-type                                                                                  1083
FCFP6_1024_1012 data-type                                                                                  1083
FCFP6_1024_1012 number of missing values                                                                                  1083
FCFP6_1024_1014 data-type                                                                                  1083
FCFP6_1024_1015 number of missing values                                                                                  1083
FCFP6_1024_1017 data-type                                                                                  1083
FCFP6_1024_1017 number of missing values                                                                                  1083
FCFP6_1024_1019 number of missing values                                                                                  1083
FCFP6_1024_1020 data-type                                                                                  1083
FCFP6_1024_1020 number of missing values                                                                                  1083
FCFP6_1024_1022 data-type                                                                                  1083
FCFP6_1024_1022 number of missing values                                                                                  1083
MEDIAN_PXC50 data-type                                                                                  1083
MEDIAN_PXC50 number of missing values                                                                                  1083
FCFP6_1024_103 data-type                                                                                  1083
FCFP6_1024_103 number of missing values                                                                                  1083
FCFP6_1024_107 data-type                                                                                  1083
FCFP6_1024_108 data-type                                                                                  1083
FCFP6_1024_108 number of missing values                                                                                  1083
FCFP6_1024_109 data-type                                                                                  1083
FCFP6_1024_109 number of missing values                                                                                  1083
FCFP6_1024_112 data-type                                                                                  1083
FCFP6_1024_115 data-type                                                                                  1083
FCFP6_1024_115 number of missing values                                                                                  1083
FCFP6_1024_116 data-type                                                                                  1083
FCFP6_1024_116 number of missing values                                                                                  1083
FCFP6_1024_117 data-type                                                                                  1083
FCFP6_1024_117 number of missing values                                                                                  1083
FCFP6_1024_120 data-type                                                                                  1083
FCFP6_1024_121 data-type                                                                                  1083
FCFP6_1024_121 number of missing values                                                                                  1083
FCFP6_1024_122 data-type                                                                                  1083
FCFP6_1024_122 number of missing values                                                                                  1083
FCFP6_1024_123 data-type                                                                                  1083
FCFP6_1024_123 number of missing values                                                                                  1083
FCFP6_1024_124 data-type                                                                                  1083
FCFP6_1024_125 data-type                                                                                  1083
FCFP6_1024_126 data-type                                                                                  1083
FCFP6_1024_126 number of missing values                                                                                  1083
FCFP6_1024_127 data-type                                                                                  1083
FCFP6_1024_128 data-type                                                                                  1083
FCFP6_1024_130 data-type                                                                                  1083
FCFP6_1024_130 number of missing values                                                                                  1083
FCFP6_1024_131 number of missing values                                                                                  1083
FCFP6_1024_134 data-type                                                                                  1083
FCFP6_1024_135 number of missing values                                                                                  1083
FCFP6_1024_136 data-type                                                                                  1083
FCFP6_1024_136 number of missing values                                                                                  1083
FCFP6_1024_13 number of missing values                                                                                  1083
FCFP6_1024_144 data-type                                                                                  1083
FCFP6_1024_144 number of missing values                                                                                  1083
FCFP6_1024_145 data-type                                                                                  1083
