Result of /data/leuven/370/vsc37064/new_queries/query_2.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
dataset                                                                           task
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

http://w3id.org/mlsea/kaggle/dataset/369295                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/370637                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/370978                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/371185                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/371262                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/371459                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/371520                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/371845                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/371861                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372002                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372038                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372045                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372092                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372117                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372134                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372249                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372295                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372340                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372357                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372446                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372507                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372519                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372539                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372546                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372585                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372612                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372753                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372771                                                                                  http://w3id.org/mlsea/openml/task/3913
http://w3id.org/mlsea/kaggle/dataset/372798                                                                                  http://w3id.org/mlsea/openml/task/3913
