
query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out
1513,1881,1750,342,23916,153,197,1322,55,10604,4696,111329,41084,39372,702,410,3601,82,60,6639,50,159,482,95,109,242,574,158,376,1328,16708,33,275,2052,571,57,756,99,108,198,334,40,38211
29,22,1191,305,9124,58,34,234,42,83,187,19797,39274,39735,517,125,1885,81,22,3149,24,28,90,35,90,222,559,148,352,1197,16310,37,258,1563,565,44,578,81,108,174,306,23,38600
29,21,1175,312,9067,59,32,230,42,83,190,19725,40944,39835,525,118,1891,81,21,3043,24,28,90,34,90,223,568,139,356,1167,16197,31,251,1484,575,45,573,82,106,178,324,23,39325
29,20,1175,320,9178,56,32,234,42,84,195,19497,39007,39722,518,116,1888,80,22,3107,23,29,88,33,90,220,568,157,356,1179,16314,36,253,1544,577,44,584,83,107,177,309,22,39225
28,30,1204,299,8860,56,31,231,42,83,188,20754,40300,40785,511,113,1890,81,23,3132,23,29,91,35,90,216,563,147,350,1195,16236,34,252,1525,563,45,580,83,108,176,321,24,38012
29,21,1175,293,9004,56,33,231,44,83,191,19130,39617,39955,522,123,1892,81,23,3086,23,28,90,33,90,226,570,139,345,1205,16348,36,250,1513,586,43,585,82,107,177,301,22,38632
30,21,1175,294,8940,56,31,238,43,83,193,19552,40626,41329,517,121,1870,80,22,3082,22,28,92,34,91,226,581,147,357,1186,16378,65,253,1486,570,43,582,81,105,177,323,22,38434
29,21,1176,314,9155,56,32,228,41,84,190,19399,40608,40263,534,128,1888,80,22,3097,24,28,90,34,91,231,571,138,354,1189,16251,31,248,1541,574,44,579,83,106,179,300,22,37464
28,23,1175,315,8932,55,31,225,40,82,184,19459,40024,40472,511,135,1873,82,22,3127,27,28,89,34,92,220,561,150,345,1219,16262,31,249,1591,565,41,580,81,105,168,299,23,40664
30,20,1174,309,8909,55,32,233,42,85,196,19552,40691,39502,513,116,1886,83,24,3079,22,27,89,34,92,225,564,145,350,1194,16409,34,255,1562,561,42,582,81,105,168,307,22,38678
