query_1_time.out,query_2_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out
28386,6577,1315,6315,3097,136,6924,16110,45734,14674
18008,4210,1265,127,2223,99,811,16029,16104,16206
17865,4087,1268,115,2210,97,755,15954,15988,15958
17883,4078,1222,124,2208,176,772,15964,15939,15976
17818,4084,1249,112,2190,96,732,15926,15940,15935
17804,4135,1258,111,2192,90,747,15945,15883,15860
17866,4070,1263,114,2190,106,707,15853,15879,15768
17915,4115,1271,115,2207,95,740,15982,15906,15882
17815,4115,1276,115,2191,88,699,15916,15961,15775
17841,4119,1235,114,2211,88,744,15917,15889,15759


Query	Average Time (ms)
query_1_time.out	18030.6
query_2_time.out	4369.0
query_4_time.out	1262.6
query_5_time.out	1470.3
query_6_time.out	2203.9
query_7_time.out	107.1
query_8_time.out	7835.1
query_9_time.out	15929.7
query_10_time.out	20392.0
query_11_time.out	15939.4
