query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out,query_45_time.out,query_46_time.out,query_47_time.out,query_48_time.out,query_49_time.out,query_50_time.out,query_51_time.out,query_52_time.out,query_53_time.out
133,927,2077,3086,18774,82,385,1877,141,1727,2087,445986,616766,603074,13792,2203,11367,298,296,50500,222,444,4044,3858,525,832567,14496,21263,1271,325156,14321,2902,4046,412,169841,15241,3332,10545,306,147,863,993,16,19511,5577,2346,11876,4924,156,42613,44112,15721,15731
1886,1051,2076,2471,9498,112,93,1844,338,340,1252,414356,613128,646878,15299,1884,7400,223,209,42060,89,533,2147,6787,549,865488,12803,20972,1250,308289,14009,2838,4078,276,169602,16059,3523,11390,133,143,926,939,17,10089,5352,1038,9839,3287,148,32076,45987,15604,15682
2524,908,2172,2751,10289,108,84,1802,202,666,1232,430618,680275,730720,15591,2038,7239,179,200,41024,104,498,1861,6831,537,889031,12804,24472,1598,351292,15914,2626,4431,364,183570,18978,4293,11527,230,145,988,952,16,9986,5507,1018,10352,3282,147,33299,47688,15625,15726
2507,848,2272,2746,9997,97,99,1752,237,568,1273,453910,671615,660132,14067,1653,6625,219,209,39612,107,469,1920,6402,548,873879,18328,25875,1475,370175,16598,2671,4679,281,201188,17487,3847,11727,296,147,982,906,16,10705,5405,1049,11209,3196,150,37935,51037,16203,16327
2830,1285,2186,2614,10481,124,96,1781,314,770,1212,501074,790676,799548,18726,2687,8314,250,384,44961,111,595,1882,7566,548,934709,13884,24958,1656,361992,16736,2606,4914,381,211268,18764,4332,12418,600,142,858,933,16,10433,5630,1092,12014,3195,149,38679,49280,16563,16633
2538,975,2131,2974,10314,94,136,2028,369,723,1236,479218,747256,770207,16941,2102,7450,179,315,40456,89,470,1833,7124,535,917861,15544,24772,1481,357892,16169,2587,4608,345,203139,18027,4190,12225,273,148,969,968,17,9946,5375,1085,10842,3191,150,37523,49811,16605,16601
2560,853,2095,2414,10486,106,69,1828,416,892,1232,477268,697822,712057,15043,1794,6728,159,216,40495,75,436,1919,6748,553,874787,13206,21243,1296,335255,14748,2630,4376,398,196008,18175,3647,11745,242,142,779,893,18,10244,5498,1054,10801,3850,149,35503,48671,16553,16645
2551,922,2466,2755,10195,105,87,1840,239,709,1246,466239,699430,789369,14697,2075,7089,165,245,40542,142,476,1741,7060,531,915257,15582,25283,1834,358022,17005,2634,4693,442,207410,19391,4292,11890,373,151,937,906,18,10693,5747,1066,11021,3234,151,38136,51230,16534,16544
2773,725,2335,2181,9910,99,83,1798,243,745,1192,519332,689482,574624,11565,1594,6293,141,131,36913,75,512,1861,5374,541,851463,17460,32945,1994,343085,14224,2582,3886,256,166740,15248,3153,11229,224,142,776,896,17,10302,5328,1049,9366,3309,150,31215,45069,16599,16633
2374,880,1818,2639,10175,120,77,1790,745,656,1238,428396,629140,644073,14297,1788,6653,192,204,41346,88,378,1649,6560,540,866421,12268,19986,1245,319459,14145,2603,4061,363,182257,17708,4330,11484,374,143,862,900,19,9877,5331,1093,10920,3184,148,36316,48612,16526,16585
