Result of /data/leuven/370/vsc37064/new_queries_named_graph_openml/query_32.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
characteristicName                                                                featureCount
LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_2 number of missing values                                                                                  1083
FCFP6_1024_321 number of missing values                                                                                  1083
FCFP6_1024_39 data-type                                                                                  1083
FCFP6_1024_449 data-type                                                                                  1083
FCFP6_1024_544 data-type                                                                                  1083
FCFP6_1024_546 number of missing values                                                                                  1083
FCFP6_1024_830 number of missing values                                                                                  1083
FCFP6_1024_998 data-type                                                                                  1083
FCFP6_1024_114 number of missing values                                                                                  1083
FCFP6_1024_146 number of missing values                                                                                  1083
FCFP6_1024_237 number of missing values                                                                                  1083
FCFP6_1024_284 data-type                                                                                  1083
FCFP6_1024_462 data-type                                                                                  1083
FCFP6_1024_477 data-type                                                                                  1083
FCFP6_1024_67 number of missing values                                                                                  1083
FCFP6_1024_687 data-type                                                                                  1083
FCFP6_1024_687 number of missing values                                                                                  1083
FCFP6_1024_787 data-type                                                                                  1083
FCFP6_1024_788 number of missing values                                                                                  1083
FCFP6_1024_879 number of missing values                                                                                  1083
FCFP6_1024_977 data-type                                                                                  1083
FCFP6_1024_995 data-type                                                                                  1083
FCFP6_1024_266 data-type                                                                                  1083
FCFP6_1024_284 number of missing values                                                                                  1083
FCFP6_1024_505 number of missing values                                                                                  1083
FCFP6_1024_730 data-type                                                                                  1083
FCFP6_1024_744 data-type                                                                                  1083
FCFP6_1024_882 number of missing values                                                                                  1083
FCFP6_1024_141 data-type                                                                                  1083
FCFP6_1024_184 number of missing values                                                                                  1083
FCFP6_1024_185 number of missing values                                                                                  1083
FCFP6_1024_331 number of missing values                                                                                  1083
FCFP6_1024_478 data-type                                                                                  1083
FCFP6_1024_483 data-type                                                                                  1083
FCFP6_1024_590 data-type                                                                                  1083
FCFP6_1024_626 data-type                                                                                  1083
FCFP6_1024_64 number of missing values                                                                                  1083
FCFP6_1024_677 data-type                                                                                  1083
FCFP6_1024_832 number of missing values                                                                                  1083
FCFP6_1024_102 data-type                                                                                  1083
FCFP6_1024_230 data-type                                                                                  1083
FCFP6_1024_31 number of missing values                                                                                  1083
FCFP6_1024_329 number of missing values                                                                                  1083
FCFP6_1024_389 data-type                                                                                  1083
FCFP6_1024_634 data-type                                                                                  1083
FCFP6_1024_918 number of missing values                                                                                  1083
FCFP6_1024_58 number of missing values                                                                                  1083
FCFP6_1024_214 number of missing values                                                                                  1083
FCFP6_1024_339 data-type                                                                                  1083
FCFP6_1024_472 number of missing values                                                                                  1083
FCFP6_1024_901 data-type                                                                                  1083
FCFP6_1024_645 number of missing values                                                                                  1083
FCFP6_1024_212 data-type                                                                                  1083
FCFP6_1024_359 data-type                                                                                  1083
FCFP6_1024_118 data-type                                                                                  1083
FCFP6_1024_169 data-type                                                                                  1083
FCFP6_1024_169 number of missing values                                                                                  1083
FCFP6_1024_206 data-type                                                                                  1083
FCFP6_1024_206 number of missing values                                                                                  1083
FCFP6_1024_289 data-type                                                                                  1083
FCFP6_1024_309 number of missing values                                                                                  1083
FCFP6_1024_362 data-type                                                                                  1083
FCFP6_1024_484 number of missing values                                                                                  1083
