Result of /data/leuven/370/vsc37064/new_queries_named_graph_openml/query_38.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                characteristicValue                                                               relationshipType
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

Away_Shots_on_Target                                                                                  Away_Shots_on_Target data-type                                                                                  numeric                                                                                  hasQuality
Away_Shots_on_Target                                                                                  Away_Shots_on_Target data-type                                                                                  numeric                                                                                  http://purl.org/dc/terms/title
Away_Shots_on_Target                                                                                  Away_Shots_on_Target data-type                                                                                  numeric                                                                                  hasQuality
Away_Shots_on_Target                                                                                  Away_Shots_on_Target data-type                                                                                  numeric                                                                                  label
Away_Shots_on_Target                                                                                  Away_Shots_on_Target data-type                                                                                  numeric                                                                                  type
Away_Shots_on_Target                                                                                  Away_Shots_on_Target number of missing values                                                                                  0                                                                                  http://purl.org/dc/terms/title
Away_Shots_on_Target                                                                                  Away_Shots_on_Target number of missing values                                                                                  0                                                                                  label
Away_Shots_on_Target                                                                                  Away_Shots_on_Target number of missing values                                                                                  0                                                                                  hasQuality
Away_Shots_on_Target                                                                                  Away_Shots_on_Target number of missing values                                                                                  0                                                                                  type
Away_Shots_on_Target                                                                                  Away_Shots_on_Target number of missing values                                                                                  0                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  type
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  label
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  http://purl.org/dc/terms/title
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
ERRLOWOUTPUT                                                                                  ERRLOWOUTPUT data-type                                                                                  nominal                                                                                  hasQuality
